Order#,Style#,fStyle#,Customer,Ordered,Picked/Shipped,Open,Order Date,Quoted Date,Ship Date,Price,Status
ORD010052,STY0193,FSTY0116,Customer33,297,387,72,2025-08-20,2025-08-25,2025-08-25,44.29,Complete
ORD010053,STY0043,FSTY0171,Customer22,845,729,16,2025-01-14,2025-01-29,2025-01-29,96.4,Open
ORD010054,STY0190,FSTY0125,Customer25,873,611,77,2024-11-30,2024-12-30,2024-12-30,17.16,Shipped
ORD010055,STY0122,FSTY0235,Customer09,667,593,5,2024-12-09,2025-01-04,2025-01-04,110.0,Partial
ORD010056,STY0123,FSTY0001,Customer07,678,52,68,2025-01-18,2025-01-24,2025-01-24,54.72,Complete
ORD010057,STY0161,FSTY0063,Customer07,278,15,76,2024-10-17,2024-11-09,2024-11-09,154.61,Open
ORD010058,STY0009,FSTY0205,Customer46,583,493,33,2024-09-16,2024-10-11,2024-10-11,121.09,Open
ORD010059,STY0108,FSTY0162,Customer36,142,187,3,2025-03-16,2025-03-21,2025-03-21,53.36,Open
ORD010060,STY0216,FSTY0147,Customer07,678,115,96,2025-05-19,2025-05-31,2025-05-31,66.46,Shipped
ORD010061,STY0210,FSTY0112,Customer21,555,897,54,2025-04-29,2025-05-14,2025-05-14,32.94,Partial
ORD010062,STY0179,FSTY0193,Customer08,729,73,58,2025-02-26,2025-03-05,2025-03-05,16.36,Complete
ORD010063,STY0070,FSTY0132,Customer44,495,571,30,2025-03-05,2025-03-14,2025-03-14,49.39,Open
ORD010064,STY0232,FSTY0021,Customer04,63,360,35,2025-03-28,2025-04-10,2025-04-10,186.11,Open
ORD010065,STY0042,FSTY0133,Customer10,979,166,52,2025-02-05,2025-02-16,2025-02-16,48.61,Partial
ORD010066,STY0190,FSTY0201,Customer17,400,235,99,2024-09-20,2024-10-09,2024-10-09,156.53,Shipped
ORD010067,STY0118,FSTY0269,Customer49,147,507,66,2025-03-28,2025-04-13,2025-04-13,132.62,Complete
ORD010068,STY0231,FSTY0207,Customer47,249,726,75,2025-03-03,2025-03-26,2025-03-26,163.81,Shipped
ORD010069,STY0231,FSTY0143,Customer47,80,59,2,2025-05-23,2025-06-06,2025-06-06,191.73,Shipped
ORD010070,STY0001,FSTY0274,Customer07,967,696,18,2025-02-02,2025-02-22,2025-02-22,21.8,Partial
ORD010071,STY0063,FSTY0120,Customer06,808,618,75,2025-07-01,2025-07-07,2025-07-07,109.18,Shipped
ORD010072,STY0233,FSTY0131,Customer11,792,190,47,2025-04-03,2025-04-19,2025-04-19,193.62,Shipped
ORD010073,STY0149,FSTY0112,Customer27,269,89,51,2025-05-16,2025-05-28,2025-05-28,136.73,Complete
ORD010074,STY0021,FSTY0185,Customer02,568,531,97,2025-03-02,2025-03-17,2025-03-17,179.22,Open
ORD010075,STY0154,FSTY0059,Customer33,671,511,32,2024-11-01,2024-11-22,2024-11-22,119.2,Shipped
ORD010076,STY0136,FSTY0043,Customer30,820,822,55,2025-05-10,2025-05-28,2025-05-28,124.18,Partial
ORD010077,STY0235,FSTY0257,Customer26,409,779,85,2025-01-12,2025-01-26,2025-01-26,64.8,Complete
ORD010078,STY0115,FSTY0242,Customer06,664,527,55,2025-06-22,2025-07-22,2025-07-22,85.14,Shipped
ORD010079,STY0139,FSTY0076,Customer50,185,897,86,2025-04-09,2025-04-14,2025-04-14,193.97,Shipped
ORD010080,STY0195,FSTY0263,Customer43,845,649,30,2025-01-03,2025-02-02,2025-02-02,113.59,Complete
ORD010081,STY0247,FSTY0109,Customer49,807,419,90,2025-07-30,2025-08-16,2025-08-16,99.15,Open
ORD010082,STY0260,FSTY0017,Customer27,14,474,52,2025-01-07,2025-02-06,2025-02-06,129.55,Open
ORD010083,STY0276,FSTY0271,Customer40,708,712,79,2025-04-16,2025-05-05,2025-05-05,84.53,Partial
ORD010084,STY0159,FSTY0110,Customer33,291,372,70,2025-03-28,2025-04-20,2025-04-20,117.81,Open
ORD010085,STY0190,FSTY0183,Customer22,350,570,84,2024-11-30,2024-12-14,2024-12-14,177.8,Partial
ORD010086,STY0058,FSTY0271,Customer50,816,835,77,2025-01-19,2025-02-03,2025-02-03,51.65,Complete
ORD010087,STY0235,FSTY0230,Customer37,368,726,29,2025-07-24,2025-08-08,2025-08-08,177.48,Shipped
ORD010088,STY0248,FSTY0206,Customer48,686,707,32,2024-11-07,2024-11-20,2024-11-20,53.33,Open
ORD010089,STY0075,FSTY0139,Customer29,99,245,55,2025-03-06,2025-04-03,2025-04-03,90.4,Shipped
ORD010090,STY0079,FSTY0096,Customer40,884,754,79,2024-10-11,2024-10-24,2024-10-24,38.58,Partial
ORD010091,STY0245,FSTY0205,Customer12,735,166,40,2024-11-03,2024-11-07,2024-11-07,196.55,Partial
ORD010092,STY0233,FSTY0253,Customer28,749,99,84,2025-01-14,2025-01-15,2025-01-15,31.1,Complete
ORD010093,STY0134,FSTY0183,Customer43,864,813,16,2025-08-21,2025-09-02,2025-09-02,110.15,Partial
ORD010094,STY0198,FSTY0233,Customer39,672,204,34,2024-11-12,2024-11-22,2024-11-22,175.87,Shipped
ORD010095,STY0043,FSTY0277,Customer48,811,459,14,2024-10-12,2024-10-26,2024-10-26,105.09,Open
ORD010096,STY0282,FSTY0162,Customer45,164,722,60,2024-11-08,2024-12-05,2024-12-05,124.56,Partial
ORD010097,STY0223,FSTY0040,Customer33,259,47,88,2025-06-09,2025-06-20,2025-06-20,65.15,Complete
ORD010098,STY0013,FSTY0066,Customer22,968,849,68,2025-06-27,2025-07-02,2025-07-02,148.28,Partial
ORD010099,STY0155,FSTY0247,Customer18,632,753,47,2025-08-10,2025-09-07,2025-09-07,174.16,Complete
ORD010100,STY0195,FSTY0058,Customer32,467,793,55,2025-01-28,2025-02-06,2025-02-06,55.76,Shipped
ORD010101,STY0189,FSTY0110,Customer30,605,111,0,2025-05-19,2025-06-14,2025-06-14,18.34,Complete
ORD010102,STY0089,FSTY0274,Customer19,140,832,97,2025-07-24,2025-08-08,2025-08-08,170.08,Shipped
ORD010103,STY0259,FSTY0157,Customer10,858,534,47,2025-08-21,2025-08-27,2025-08-27,135.58,Complete
ORD010104,STY0260,FSTY0053,Customer18,421,846,23,2024-09-09,2024-09-12,2024-09-12,154.46,Open
ORD010105,STY0125,FSTY0046,Customer24,926,642,89,2025-05-22,2025-06-15,2025-06-15,190.06,Complete
ORD010106,STY0117,FSTY0142,Customer11,455,96,99,2024-09-04,2024-09-30,2024-09-30,26.43,Complete
ORD010107,STY0056,FSTY0063,Customer05,893,396,15,2025-05-26,2025-05-31,2025-05-31,127.64,Shipped
ORD010108,STY0033,FSTY0087,Customer08,983,342,53,2024-12-10,2024-12-22,2024-12-22,92.47,Complete
ORD010109,STY0076,FSTY0191,Customer44,935,546,49,2025-03-24,2025-04-08,2025-04-08,85.89,Open
ORD010110,STY0037,FSTY0148,Customer46,263,786,61,2024-09-11,2024-10-11,2024-10-11,171.34,Complete
ORD010111,STY0082,FSTY0101,Customer50,102,284,69,2025-03-13,2025-03-14,2025-03-14,104.98,Open
ORD010112,STY0099,FSTY0076,Customer24,766,201,84,2025-03-09,2025-03-13,2025-03-13,185.49,Shipped
ORD010113,STY0267,FSTY0226,Customer49,191,337,65,2024-11-12,2024-11-23,2024-11-23,131.24,Complete
ORD010114,STY0198,FSTY0224,Customer13,491,334,94,2025-05-09,2025-05-18,2025-05-18,83.6,Open
ORD010115,STY0247,FSTY0279,Customer34,86,481,65,2025-05-28,2025-06-17,2025-06-17,180.38,Complete
ORD010116,STY0127,FSTY0274,Customer21,117,337,96,2024-09-05,2024-10-04,2024-10-04,46.99,Shipped
ORD010117,STY0146,FSTY0119,Customer16,550,9,71,2025-01-30,2025-02-09,2025-02-09,132.0,Partial
ORD010118,STY0073,FSTY0235,Customer09,996,548,39,2025-06-06,2025-06-23,2025-06-23,99.5,Complete
ORD010119,STY0112,FSTY0204,Customer19,877,546,100,2025-01-23,2025-02-06,2025-02-06,77.43,Shipped
ORD010120,STY0031,FSTY0139,Customer44,802,772,21,2025-03-11,2025-03-25,2025-03-25,76.37,Open
ORD010121,STY0215,FSTY0264,Customer11,212,235,32,2025-06-09,2025-06-19,2025-06-19,187.75,Partial
ORD010122,STY0011,FSTY0103,Customer48,648,868,51,2025-03-11,2025-03-23,2025-03-23,174.76,Shipped
ORD010123,STY0290,FSTY0246,Customer13,819,340,17,2025-08-08,2025-08-28,2025-08-28,73.84,Shipped
ORD010124,STY0071,FSTY0098,Customer50,746,572,98,2024-11-02,2024-11-09,2024-11-09,137.27,Partial
ORD010125,STY0120,FSTY0287,Customer23,791,687,71,2025-01-08,2025-01-18,2025-01-18,100.0,Open
ORD010126,STY0115,FSTY0279,Customer47,292,499,56,2025-05-07,2025-06-03,2025-06-03,87.9,Complete
ORD010127,STY0269,FSTY0055,Customer48,938,594,28,2024-11-17,2024-12-12,2024-12-12,177.76,Complete
ORD010128,STY0249,FSTY0001,Customer18,643,279,86,2025-08-08,2025-08-14,2025-08-14,11.5,Partial
ORD010129,STY0206,FSTY0009,Customer45,388,407,22,2024-12-02,2024-12-18,2024-12-18,63.43,Complete
ORD010130,STY0204,FSTY0085,Customer27,425,241,34,2024-11-21,2024-12-15,2024-12-15,74.85,Complete
ORD010131,STY0160,FSTY0116,Customer05,159,207,37,2025-04-09,2025-05-07,2025-05-07,12.76,Complete
ORD010132,STY0200,FSTY0211,Customer20,144,183,5,2025-07-02,2025-07-15,2025-07-15,30.41,Open
ORD010133,STY0024,FSTY0211,Customer18,939,454,43,2025-03-26,2025-04-12,2025-04-12,85.42,Complete
ORD010134,STY0054,FSTY0042,Customer07,149,565,85,2025-05-25,2025-06-04,2025-06-04,51.23,Shipped
ORD010135,STY0185,FSTY0255,Customer46,369,529,46,2025-01-07,2025-01-29,2025-01-29,14.17,Complete
ORD010136,STY0045,FSTY0100,Customer12,423,778,98,2025-02-13,2025-02-20,2025-02-20,172.74,Shipped
ORD010137,STY0073,FSTY0108,Customer16,898,649,26,2025-05-21,2025-06-18,2025-06-18,59.09,Partial
ORD010138,STY0283,FSTY0028,Customer01,899,830,21,2024-11-26,2024-12-12,2024-12-12,30.41,Complete
ORD010139,STY0213,FSTY0158,Customer06,441,588,29,2025-01-16,2025-02-15,2025-02-15,23.22,Shipped
ORD010140,STY0151,FSTY0147,Customer36,849,406,61,2024-09-14,2024-10-10,2024-10-10,102.01,Partial
ORD010141,STY0170,FSTY0267,Customer22,197,339,78,2025-03-12,2025-03-29,2025-03-29,48.87,Shipped
ORD010142,STY0091,FSTY0218,Customer03,200,690,68,2025-06-27,2025-07-24,2025-07-24,80.09,Shipped
ORD010143,STY0300,FSTY0018,Customer44,64,257,45,2025-04-09,2025-05-03,2025-05-03,36.13,Complete
ORD010144,STY0074,FSTY0284,Customer27,21,674,15,2025-04-14,2025-05-14,2025-05-14,157.59,Complete
ORD010145,STY0065,FSTY0024,Customer17,810,387,19,2025-02-19,2025-02-22,2025-02-22,118.22,Shipped
ORD010146,STY0011,FSTY0204,Customer25,161,498,99,2025-07-26,2025-07-31,2025-07-31,129.32,Shipped
ORD010147,STY0279,FSTY0295,Customer08,609,278,78,2025-01-10,2025-01-31,2025-01-31,111.65,Partial
ORD010148,STY0107,FSTY0233,Customer32,550,684,47,2024-11-30,2024-12-15,2024-12-15,67.55,Partial
ORD010149,STY0053,FSTY0100,Customer38,984,437,41,2025-03-10,2025-04-02,2025-04-02,136.06,Partial
ORD010150,STY0173,FSTY0053,Customer43,802,682,23,2024-11-04,2024-11-13,2024-11-13,192.09,Complete
ORD010151,STY0245,FSTY0062,Customer27,845,168,42,2024-09-13,2024-09-22,2024-09-22,59.0,Partial
ORD010152,STY0156,FSTY0191,Customer27,939,33,52,2025-03-12,2025-04-07,2025-04-07,88.78,Open
ORD010153,STY0022,FSTY0124,Customer42,660,332,62,2024-12-20,2025-01-09,2025-01-09,170.51,Shipped
ORD010154,STY0278,FSTY0018,Customer33,117,599,65,2025-02-05,2025-02-23,2025-02-23,35.68,Partial
ORD010155,STY0017,FSTY0122,Customer04,70,181,62,2024-09-09,2024-09-27,2024-09-27,193.02,Complete
ORD010156,STY0104,FSTY0015,Customer43,234,137,84,2025-07-15,2025-07-23,2025-07-23,29.88,Open
ORD010157,STY0003,FSTY0065,Customer34,567,701,55,2024-11-18,2024-12-10,2024-12-10,136.32,Complete
ORD010158,STY0055,FSTY0223,Customer24,512,768,17,2025-04-09,2025-04-29,2025-04-29,136.32,Complete
ORD010159,STY0045,FSTY0291,Customer12,258,439,97,2024-12-05,2024-12-19,2024-12-19,109.21,Partial
ORD010160,STY0121,FSTY0217,Customer24,903,778,24,2024-12-07,2024-12-26,2024-12-26,59.64,Shipped
ORD010161,STY0093,FSTY0249,Customer32,483,273,100,2025-06-16,2025-06-29,2025-06-29,100.05,Partial
ORD010162,STY0177,FSTY0217,Customer45,819,193,37,2025-08-06,2025-08-31,2025-08-31,56.28,Partial
ORD010163,STY0161,FSTY0233,Customer34,22,500,70,2025-08-18,2025-09-09,2025-09-09,195.24,Complete
ORD010164,STY0192,FSTY0072,Customer09,625,456,75,2025-04-16,2025-04-23,2025-04-23,125.72,Open
ORD010165,STY0248,FSTY0298,Customer10,474,217,50,2025-07-13,2025-07-29,2025-07-29,171.68,Complete
ORD010166,STY0199,FSTY0248,Customer23,623,287,3,2025-06-09,2025-06-19,2025-06-19,132.96,Shipped
ORD010167,STY0263,FSTY0216,Customer01,393,248,51,2025-03-19,2025-04-03,2025-04-03,143.34,Partial
ORD010168,STY0220,FSTY0021,Customer25,526,582,21,2024-11-09,2024-11-16,2024-11-16,35.28,Complete
ORD010169,STY0236,FSTY0164,Customer06,805,498,77,2025-08-17,2025-09-10,2025-09-10,177.03,Open
ORD010170,STY0091,FSTY0095,Customer50,485,363,4,2025-05-18,2025-06-13,2025-06-13,49.3,Complete
ORD010171,STY0111,FSTY0158,Customer36,99,375,24,2024-10-30,2024-11-24,2024-11-24,56.4,Shipped
ORD010172,STY0217,FSTY0240,Customer17,454,399,18,2024-11-10,2024-11-28,2024-11-28,113.97,Open
ORD010173,STY0227,FSTY0205,Customer01,832,281,1,2025-03-31,2025-04-03,2025-04-03,83.41,Shipped
ORD010174,STY0132,FSTY0137,Customer06,801,817,39,2025-08-06,2025-09-04,2025-09-04,164.38,Open
ORD010175,STY0223,FSTY0033,Customer42,22,125,4,2025-01-06,2025-01-27,2025-01-27,184.83,Open
ORD010176,STY0082,FSTY0157,Customer18,138,180,75,2025-06-25,2025-07-19,2025-07-19,82.49,Open
ORD010177,STY0039,FSTY0207,Customer26,282,643,11,2025-04-23,2025-05-01,2025-05-01,45.27,Partial
ORD010178,STY0199,FSTY0002,Customer12,449,743,88,2024-09-09,2024-09-26,2024-09-26,153.73,Shipped
ORD010179,STY0294,FSTY0004,Customer23,466,734,38,2025-03-28,2025-04-07,2025-04-07,26.45,Open
ORD010180,STY0131,FSTY0001,Customer18,658,899,6,2024-10-21,2024-10-23,2024-10-23,162.7,Open
ORD010181,STY0157,FSTY0170,Customer04,611,811,37,2025-04-30,2025-05-15,2025-05-15,134.63,Open
ORD010182,STY0267,FSTY0259,Customer33,804,465,77,2025-07-15,2025-08-07,2025-08-07,36.77,Shipped
ORD010183,STY0013,FSTY0206,Customer39,216,448,90,2025-04-03,2025-04-05,2025-04-05,160.99,Partial
ORD010184,STY0234,FSTY0284,Customer03,421,148,56,2025-08-14,2025-09-01,2025-09-01,80.24,Open
ORD010185,STY0212,FSTY0202,Customer38,777,283,5,2025-07-07,2025-07-25,2025-07-25,126.59,Open
ORD010186,STY0101,FSTY0244,Customer28,269,580,32,2024-11-22,2024-12-09,2024-12-09,191.95,Shipped
ORD010187,STY0157,FSTY0204,Customer10,985,412,64,2025-08-25,2025-09-18,2025-09-18,131.95,Open
ORD010188,STY0062,FSTY0297,Customer19,712,556,96,2025-07-27,2025-08-25,2025-08-25,26.67,Open
ORD010189,STY0153,FSTY0005,Customer41,342,28,96,2025-08-22,2025-08-26,2025-08-26,117.65,Partial
ORD010190,STY0266,FSTY0175,Customer14,522,316,53,2025-05-12,2025-06-08,2025-06-08,47.01,Open
ORD010191,STY0156,FSTY0074,Customer50,170,247,87,2025-07-15,2025-08-04,2025-08-04,142.14,Partial
ORD010192,STY0014,FSTY0216,Customer35,803,591,17,2024-09-04,2024-09-15,2024-09-15,25.18,Open
ORD010193,STY0165,FSTY0147,Customer29,277,792,21,2024-11-27,2024-12-14,2024-12-14,41.09,Partial
ORD010194,STY0242,FSTY0111,Customer05,815,732,90,2025-02-15,2025-02-17,2025-02-17,89.32,Shipped
ORD010195,STY0237,FSTY0217,Customer33,403,353,38,2024-11-04,2024-12-02,2024-12-02,99.51,Shipped
ORD010196,STY0062,FSTY0014,Customer41,37,276,78,2025-03-29,2025-04-05,2025-04-05,55.11,Complete
ORD010197,STY0098,FSTY0118,Customer12,662,406,39,2025-05-28,2025-06-03,2025-06-03,40.76,Complete
ORD010198,STY0252,FSTY0086,Customer49,880,837,39,2025-04-06,2025-05-04,2025-05-04,11.99,Complete
ORD010199,STY0212,FSTY0156,Customer42,629,109,0,2025-07-25,2025-08-02,2025-08-02,134.87,Open
ORD010200,STY0293,FSTY0225,Customer42,331,896,36,2024-10-21,2024-11-17,2024-11-17,128.15,Open
ORD010201,STY0290,FSTY0222,Customer43,306,216,73,2025-03-10,2025-04-04,2025-04-04,18.33,Open
ORD010202,STY0155,FSTY0170,Customer43,763,228,0,2025-03-05,2025-03-21,2025-03-21,26.5,Complete
ORD010203,STY0066,FSTY0228,Customer16,37,448,11,2025-08-18,2025-08-24,2025-08-24,86.08,Shipped
ORD010204,STY0153,FSTY0154,Customer02,953,819,46,2025-07-15,2025-07-27,2025-07-27,150.88,Open
ORD010205,STY0009,FSTY0215,Customer34,871,491,31,2025-02-07,2025-02-10,2025-02-10,74.37,Complete
ORD010206,STY0128,FSTY0086,Customer38,921,323,28,2025-06-28,2025-07-15,2025-07-15,174.37,Shipped
ORD010207,STY0065,FSTY0250,Customer27,351,578,100,2024-10-26,2024-11-16,2024-11-16,149.78,Partial
ORD010208,STY0023,FSTY0145,Customer05,178,302,19,2025-02-04,2025-02-14,2025-02-14,157.9,Shipped
ORD010209,STY0291,FSTY0059,Customer37,162,702,99,2025-07-08,2025-07-16,2025-07-16,155.21,Partial
ORD010210,STY0209,FSTY0149,Customer09,183,506,2,2024-10-17,2024-11-12,2024-11-12,148.26,Partial
ORD010211,STY0202,FSTY0066,Customer30,95,247,23,2025-06-15,2025-06-17,2025-06-17,32.77,Open
ORD010212,STY0136,FSTY0052,Customer16,248,838,73,2025-06-18,2025-06-21,2025-06-21,132.51,Complete
ORD010213,STY0061,FSTY0170,Customer11,937,403,40,2024-12-15,2024-12-21,2024-12-21,54.76,Complete
ORD010214,STY0240,FSTY0103,Customer37,491,611,30,2025-07-18,2025-08-13,2025-08-13,162.08,Partial
ORD010215,STY0183,FSTY0246,Customer36,879,813,45,2025-03-29,2025-04-06,2025-04-06,168.49,Open
ORD010216,STY0092,FSTY0038,Customer08,205,119,20,2025-04-19,2025-04-25,2025-04-25,190.92,Shipped
ORD010217,STY0171,FSTY0154,Customer39,359,65,56,2025-05-15,2025-06-03,2025-06-03,171.91,Open
ORD010218,STY0199,FSTY0162,Customer23,20,829,84,2025-01-19,2025-01-20,2025-01-20,86.73,Complete
ORD010219,STY0210,FSTY0214,Customer26,784,890,37,2024-12-18,2024-12-25,2024-12-25,81.35,Complete
ORD010220,STY0294,FSTY0165,Customer09,873,205,71,2024-08-31,2024-09-13,2024-09-13,35.22,Open
ORD010221,STY0095,FSTY0247,Customer31,661,721,2,2024-12-22,2025-01-04,2025-01-04,33.4,Partial
ORD010222,STY0241,FSTY0040,Customer09,121,185,5,2025-08-18,2025-08-24,2025-08-24,148.59,Partial
ORD010223,STY0128,FSTY0289,Customer18,442,477,41,2024-11-06,2024-11-27,2024-11-27,86.01,Complete
ORD010224,STY0073,FSTY0147,Customer43,375,717,96,2025-02-21,2025-03-02,2025-03-02,118.04,Partial
ORD010225,STY0201,FSTY0260,Customer09,66,718,48,2024-11-28,2024-12-26,2024-12-26,40.82,Partial
ORD010226,STY0286,FSTY0039,Customer32,489,447,25,2024-12-26,2024-12-31,2024-12-31,195.75,Shipped
ORD010227,STY0124,FSTY0102,Customer20,266,363,66,2025-03-11,2025-03-18,2025-03-18,65.33,Shipped
ORD010228,STY0167,FSTY0014,Customer04,792,58,1,2025-02-23,2025-02-28,2025-02-28,98.82,Open
ORD010229,STY0157,FSTY0283,Customer45,115,650,61,2024-11-07,2024-11-19,2024-11-19,33.74,Shipped
ORD010230,STY0244,FSTY0014,Customer15,965,644,73,2025-08-04,2025-08-06,2025-08-06,42.26,Complete
ORD010231,STY0037,FSTY0193,Customer39,991,353,56,2024-10-28,2024-11-03,2024-11-03,119.04,Partial
ORD010232,STY0080,FSTY0064,Customer20,208,288,44,2024-09-12,2024-09-24,2024-09-24,39.54,Open
ORD010233,STY0065,FSTY0021,Customer24,296,198,89,2024-10-06,2024-11-05,2024-11-05,96.26,Partial
ORD010234,STY0158,FSTY0168,Customer01,930,505,48,2024-11-02,2024-11-19,2024-11-19,76.62,Partial
ORD010235,STY0281,FSTY0193,Customer48,469,309,70,2025-07-04,2025-07-15,2025-07-15,170.47,Partial
ORD010236,STY0029,FSTY0250,Customer13,556,89,69,2025-04-23,2025-05-11,2025-05-11,38.3,Partial
ORD010237,STY0131,FSTY0193,Customer20,952,32,72,2025-05-25,2025-06-11,2025-06-11,31.81,Complete
ORD010238,STY0066,FSTY0212,Customer22,944,730,13,2024-11-15,2024-12-07,2024-12-07,193.16,Shipped
