Yarn Demand Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Yarn,Supplier,Description,Color,Monday Inventory,Balance,Balance This Week,Balance Week 38,Balance Week 39,Balance Week 40,Balance Week 41,Balance Week 42,Balance Week 43,Balance Week 44,Balance Week 45,Balance Later
18293,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester MAR ROYAL 4015-01240 ,MAR ROYAL,768 ,930 ,768 ,768 ,768 ,768 ,768 ,768 ,768 ,768 ,768 ,90 
19066,UNIFI,1/300/68 100% Polyester Natural Set ,Natural,771 ,770 ,771 ,771 ,771 ,771 ,771 ,771 ,771 ,771 ,771 ,770 
18419,UNIFI,1/70/34 100% Nylon Tan 5902P ,Tan,829 ,829 ,829 ,829 ,829 ,829 ,829 ,829 ,829 ,829 ,829 ,829 
18861,HILL SPINNING MILL,24/1 100% Combed Cotton Natural RS,Natural,880 ,880 ,880 ,880 ,880 ,880 ,880 ,880 ,880 ,880 ,880 ,880 
18133,OMARA TEXTILES,1/150/36 100% Polyester MOKKA J133 ,MOKKA,891 ,891 ,891 ,891 ,891 ,891 ,891 ,891 ,891 ,891 ,891 ,891 
18732,COAT,30/1 50/30/20 Modacrylic/Tencel/Para Aramid Grey Protex C - A100 - Kolon para aramid RS,Grey,894 ,893 ,894 ,894 ,894 ,894 ,894 ,894 ,894 ,894 ,894 ,893 
19081,MOVEINA,27/1 100% Kevlar Black S RS,Black,903 ,155 ,903 ,903 ,903 ,903 ,903 ,903 ,903 ,903 ,903 ,155 
19082,MOVEINA,27/1 100% Kevlar Black Z RS,Black,904 ,157 ,904 ,904 ,904 ,904 ,904 ,904 ,904 ,904 ,904 ,157 
18745,UNIFI,2/70/72 100% Polyester Natural 56TSTS ,Natural,907 ,860 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,860 
19096,MERIDIAN SPECIALTY YARN GROUP INC,30/1 100% Polyester M Anil RS,M Anil,0 ,"1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 "
18795,BUHLER QUALITY YARNS CORP,36/1 55/35/10 Modacrylic/Tencel/Twaron Natural Protex C - G100 - Natural Twaron MVS,Natural,"1,003 ","1,003 ","1,003 ","1,003 ","1,003 ","1,003 ","1,003 ","1,003 ","1,003 ","1,003 ","1,003 ","1,003 "
18605,R BELDA LLORENS,30/1 50/50 Polyester/Reclaimed Cotton Lino recycled polyester/recycled cotton 155 RS,Lino,"1,011 ",975 ,"1,011 ","1,011 ","1,011 ","1,011 ","1,011 ","1,011 ","1,011 ","1,011 ","1,011 ",975 
19020,R BELDA LLORENS,30/1 55/45 Recycled Polyester/Recycled Cotton Indigo V 169 RS,Indigo,"1,016 ","(2,983)","1,016 ","1,016 ","1,016 ","1,016 ","1,016 ","1,016 ","1,016 ","1,016 ","1,016 ","(2,983)"
18824,CS AMERICA,2/75/72 100% Polyester Semi Dull ,Semi Dull,"1,018 ","1,015 ","1,018 ","1,018 ","1,018 ","1,018 ","1,018 ","1,018 ","1,018 ","1,018 ","1,018 ","1,015 "
18307,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester IRIS ,IRIS,"1,048 ",128 ,"1,048 ","1,048 ","1,048 ","1,048 ","1,048 ","1,048 ","1,048 ","1,048 ","1,048 ",65 
18679,UNIFI,1/70/68 100% Polyester Semi Dull 100% Celliant Repreve ,Semi Dull,"1,068 ",626 ,"1,068 ","1,068 ","1,068 ","1,068 ","1,068 ","1,068 ","1,068 ","1,068 ","1,068 ",626 
19033,VERTEX,1/300/120 100% Polyethylene Black ,Black,"1,115 ","3,006 ","1,115 ","1,115 ","1,115 ","1,115 ","1,115 ","1,115 ","1,115 ","1,115 ","1,115 ","1,086 "
12397,PARKDALE YARN MILLS,36/1 100% Combed Cotton Natural ORGANI ,Natural,"1,140 ","1,140 ","1,140 ","1,140 ","1,140 ","1,140 ","1,140 ","1,140 ","1,140 ","1,140 ","1,140 ","1,140 "
18776,VERTEX,1/300/120 100% Polyethylene Argent Melange ,Argent,"1,161 ","1,132 ","1,151 ","1,132 ","1,132 ","1,132 ","1,132 ","1,132 ","1,132 ","1,132 ","1,132 ","1,132 "
18184,OMARA TEXTILES,1/150/36 100% Polyester Capri U640 ,Capri,"1,176 ","2,195 ","1,176 ","1,176 ","1,176 ","1,176 ","1,176 ","1,176 ","1,176 ","1,176 ","1,176 ","1,176 "
18929,The LYCRA Company LLC,1/40 100% Lycra Bright Non-Compliant ,Bright,"1,183 ","1,571 ","1,183 ","1,181 ","1,958 ","1,937 ","1,932 ","2,732 ","2,732 ","2,732 ","3,532 ","1,595 "
18785,VERTEX,1/300/120 100% Polyethylene Dark Grey ,Dark Grey,"1,200 ","10,343 ","1,191 ","1,191 ","1,191 ","1,191 ","1,191 ","1,191 ","1,191 ","1,191 ","1,191 ","1,191 "
18555,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester Blush 4015-01461-A ,Blush,"1,200 ","1,196 ","1,200 ","1,200 ","1,200 ","1,200 ","1,200 ","1,200 ","1,200 ","1,200 ","1,200 ","1,196 "
19095,UNIFI,1/150/96 100% Polyester Natural Repreve ,Natural,"1,212 ","(1,429)","1,212 ","1,212 ","1,212 ","1,212 ","1,212 ","1,212 ","1,212 ","1,212 ","1,212 ","(1,429)"
9296,UNIFI,1/150/34 100% Polyester Black SATURA ,Black,"1,567 ",909 ,"1,271 ",976 ,909 ,909 ,909 ,909 ,909 ,909 ,909 ,909 
19062,PARKDALE YARN MILLS,50/1 100% Combed Cotton Natural Yeager waxed RS,Natural,"1,284 ",632 ,"1,284 ","1,284 ","1,284 ","1,284 ","1,284 ","1,284 ","1,284 ","1,284 ","1,284 ",632 
18320,PREMIERE FIBERS INC,1/70/34 100% Nylon Semi Dull FLAT ,Semi Dull,"1,299 ",(211),"1,299 ","1,299 ","1,299 ","1,299 ","1,299 ","1,299 ","1,299 ","1,299 ","1,299 ",(211)
12243,The LYCRA Company LLC,1/20 100% Lycra BRT 162B ,BRT,"1,323 ","1,282 ","1,323 ","1,323 ","1,323 ","1,323 ","1,323 ","1,323 ","1,323 ","1,323 ","1,323 ","1,282 "
13545,The LYCRA Company LLC,1/40 100% Lycra Semi Bright 582L ,Semi Bright,"1,343 ","1,306 ","1,343 ","1,311 ","1,311 ","1,311 ","1,311 ","1,311 ","1,311 ","1,311 ","1,311 ","1,306 "
18794,DECA GLOBAL,2/300/96 100% Polyester Black S&Z BSD DH HIM ,Black,"1,368 ","1,356 ","1,368 ","1,368 ","1,368 ","1,368 ","1,368 ","1,368 ","1,368 ","1,368 ","1,368 ","1,356 "
18893,DECA GLOBAL,1/150/48 100% Polyester Connect Blue ,Connect Blue,"1,385 ","10,560 ","1,385 ","1,385 ","1,385 ","1,385 ","1,385 ","1,385 ","1,385 ","1,385 ","1,385 ","1,096 "
18344,UNIFI,1/70/36 100%RFLX Polyester Natural z Non TS STRNTS ,Natural,"1,396 ","1,347 ","1,396 ","1,396 ","1,396 ","1,396 ","1,396 ","1,396 ","1,396 ","1,396 ","1,396 ","1,347 "
18726,PARKDALE YARN MILLS,8/1 100% Karded Cotton Natural OE,Natural,"1,401 ","1,401 ","1,401 ","1,401 ","1,401 ","1,401 ","1,401 ","1,401 ","1,401 ","1,401 ","1,401 ","1,401 "
18767,UNIFI,1/150/34 100% Polyester Black SETNTS ,Black,"1,414 ","1,408 ","1,414 ","1,414 ","1,414 ","1,414 ","1,414 ","1,414 ","1,414 ","1,414 ","1,414 ","1,408 "
10402,UNIFI,1/150/96 100% Polyester Natural T56NTS ,Natural,"1,479 ",863 ,"1,479 ","1,479 ","1,479 ","1,479 ","1,479 ","1,479 ","1,479 ","1,479 ","1,479 ",863 
12047,OMARA TEXTILES,1/150/36 100%L44 Polyester Silver FLTBRT ,Silver,"1,483 ","1,897 ","1,483 ","1,483 ","1,483 ","1,483 ","1,483 ","1,483 ","1,483 ","1,483 ","1,483 ",319 
18553,SPUNLAB,28/1 80/20 Celliant/Polyester Natural RS,Natural,"1,508 ",(507),"1,508 ","1,508 ","1,508 ","1,508 ","1,508 ","1,508 ","1,508 ","1,508 ","1,508 ",(507)
18282,SAPONA,1/70/68 100% Nylon Natural ,Natural,"1,611 ","1,498 ","1,611 ","1,611 ","1,611 ","1,611 ","1,611 ","1,611 ","1,611 ","1,611 ","1,611 ","1,498 "
18756,VERTEX,1/300/120 100% Polyethylene Sky Blue Melange ,Sky Blue,"1,634 ","1,624 ","1,624 ","1,624 ","1,624 ","1,624 ","1,624 ","1,624 ","1,624 ","1,624 ","1,624 ","1,624 "
18758,PREMIERE FIBERS INC,1/100/34 100% Nylon Semi Dull RNDFDY ,Semi Dull,"1,730 ","1,730 ","1,730 ","1,730 ","1,730 ","1,730 ","1,730 ","1,730 ","1,730 ","1,730 ","1,730 ","1,730 "
13561,The LYCRA Company LLC,1/30 100% Lycra Semi Bright 582L ,Semi Bright,"1,752 ","1,751 ","1,752 ","1,752 ","1,752 ","1,752 ","1,752 ","1,752 ","1,752 ","1,752 ","1,752 ","1,751 "
18669,CS AMERICA,1/75/72 100% Polyester Natural ,Natural,"1,770 ",(579),"1,770 ",(217),(282),(282),(282),(282),(282),(282),(282),(579)
18904,CS AMERICA,1/150/36 100% Polyester China Grey Set ,China Grey,"1,902 ","(8,707)","1,902 ","1,902 ","1,416 ",981 ,887 ,887 ,887 ,887 ,887 ,"(8,707)"
18164,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester GLACRGREY ,GLACRGREY,"1,962 ","1,172 ","1,962 ","1,962 ","1,962 ","1,962 ","1,962 ","1,962 ","1,962 ","1,962 ","1,962 ","1,172 "
19030,DUNAWAY YARNS INC,30/1 100% Polyester Natural RS,Natural,"1,980 ",340 ,"1,980 ","1,980 ","1,980 ","1,980 ","1,980 ","1,980 ","1,980 ","1,980 ","1,980 ",340 
18208,UNIFI,2/70/130 100% Polyester Heather SET TS ,Heather,"2,006 ","1,740 ","2,006 ","2,006 ","2,006 ","2,006 ","2,006 ","2,006 ","2,006 ","2,006 ","2,006 ","1,740 "
8351,UNIFI,1/100/36 100% Polyester Natural SETNTS ,Natural,"2,162 ","2,161 ","2,162 ","2,162 ","2,162 ","2,162 ","2,162 ","2,162 ","2,162 ","2,162 ","2,162 ","2,161 "
18569,DECA GLOBAL,1/200/192 100% Polyester Semi Dull ,Semi Dull,"2,253 ","2,249 ","2,253 ","2,253 ","2,253 ","2,253 ","2,253 ","2,253 ","2,253 ","2,253 ","2,253 ","2,249 "
18415,UNIFI,1/50/68 100% Polyester CON BLACK 9458P ,CON BLACK,"2,286 ","2,281 ","2,286 ","2,286 ","2,286 ","2,286 ","2,286 ","2,286 ","2,286 ","2,286 ","2,286 ","2,281 "
18696,"B&W Fiber Glass, Inc",1/198 100% Glass Natural ,Natural,"2,293 ","2,852 ","2,293 ","2,293 ","2,293 ","3,893 ","3,893 ","3,893 ","5,493 ","5,493 ","5,493 ","2,852 "
18363,PROMPTEX YARNS INC,1/75/36 100% Polyester BLK SOLDY STRLTS ,BLK SOLDY,"2,294 ","2,294 ","2,294 ","2,294 ","2,294 ","2,294 ","2,294 ","2,294 ","2,294 ","2,294 ","2,294 ","2,294 "
18770,SPUNLAB,28/1 78/22 Modacrylic/Rayon Natural FR Rayon RS,Natural,"2,345 ",(913),"2,345 ","2,345 ","2,345 ","2,345 ","2,345 ","2,345 ","2,345 ","2,345 ","2,345 ",(913)
18991,INMAN MILLS,14/1 100% FRL-PZ Rayon Natural AJ,Natural,"2,382 ","4,650 ","2,382 ","2,382 ","2,382 ","2,382 ","2,382 ","2,382 ","2,382 ","2,382 ","2,382 ","2,382 "
18312,PROMPTEX YARNS INC,30/1 100% Polyester OB RS,OB,"2,418 ","2,370 ","2,418 ","2,407 ","2,407 ","2,407 ","2,407 ","2,407 ","2,407 ","2,407 ","2,407 ","2,370 "
18891,"EDPA USA, LLC",30/1 50/50 Polyester/Cotton Evening Haze ,Evening Haze,"2,441 ","2,436 ","2,436 ","2,436 ","2,436 ","2,436 ","2,436 ","2,436 ","2,436 ","2,436 ","2,436 ","2,436 "
18575,PARKDALE YARN MILLS,30/1 100% Combed Cotton Natural z RS,Natural,"2,453 ","1,747 ","2,453 ","2,453 ","2,453 ","2,453 ","2,453 ","2,453 ","2,453 ","2,453 ","2,453 ","1,747 "
18900,PARKDALE YARN MILLS,30/1 96/4 Polyester Ashe 4% MVS,Ashe 4%,"2,663 ","2,007 ","2,663 ","2,663 ","2,663 ","2,663 ","2,663 ","2,663 ","2,663 ","2,663 ","2,663 ","2,007 "
18737,MUTU GADING TEKSTIL,1/150/48 100% Polyester Cashmere PL5402-01 ,Cashmere,"2,677 ","1,087 ","2,677 ","2,677 ","2,274 ","1,914 ","1,836 ","1,836 ","1,836 ","1,836 ","1,836 ","(6,088)"
18961,OMARA TEXTILES,1/150/34 100% Polyester Dawn Grey ,Dawn Grey,"2,786 ","12,368 ","2,786 ","2,786 ","2,786 ","2,786 ","2,786 ","2,786 ","4,286 ","5,786 ","7,286 ","11,441 "
18712,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester ST LUCIA 4015-01684-A  ,ST LUCIA,828 ,"7,364 ","2,828 ","2,828 ","4,828 ","4,828 ","6,828 ","6,828 ","6,828 ","6,828 ","6,828 ","3,364 "
18708,UNIFI,1/150/34 100% Polyester Natural Set - Sorbtek ,Natural,"2,851 ","1,186 ","2,851 ","2,851 ","2,851 ","2,851 ","2,851 ","2,851 ","2,851 ","2,851 ","2,851 ",(573)
18341,UNIFI,1/70/36 100%RFLX Polyester Semi Dull S Non TS STRNTS ,Semi Dull,"2,857 ","2,810 ","2,857 ","2,857 ","2,857 ","2,857 ","2,857 ","2,857 ","2,857 ","2,857 ","2,857 ","2,810 "
11759,UNIFI,1/150/34 100% Polyester Natural SETNTS ,Natural,"2,936 ","2,928 ","2,936 ","2,936 ","2,936 ","2,936 ","2,936 ","2,936 ","2,936 ","2,936 ","2,936 ","2,928 "
18454,MERIDIAN SPECIALTY YARN GROUP INC,1/150/34 100% Polyester MOCHA ,MOCHA,"2,963 ","2,901 ","2,963 ","2,963 ","2,963 ","2,963 ","2,963 ","2,963 ","2,963 ","2,963 ","2,963 ","2,901 "
18475,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester China Grey ,China Grey,245 ,"14,645 ","3,045 ","5,845 ","8,645 ","9,845 ","11,045 ","12,245 ","13,445 ","14,645 ","14,645 ","14,645 "
12526,UNIFI,1/300/68 100% Polyester Natural Non-Compliant STRNTS ,Natural,"3,079 ","3,173 ","3,079 ","3,058 ","2,579 ","22,152 ","22,059 ","22,059 ","22,059 ","22,059 ","22,059 ","3,173 "
18993,DECA GLOBAL,1/75/36 100% Polyester Black ,Black,"3,116 ","35,862 ","3,116 ","3,116 ","3,116 ","3,116 ","3,116 ","3,116 ","3,116 ","3,116 ","3,116 ","1,322 "
18910,PARKDALE YARN MILLS,30/1 99/1 Polyester Black 1% 99%natural poly/1%black poly MVS,Black 1%,"3,149 ","3,148 ","3,149 ","4,149 ","4,149 ","4,149 ","5,149 ","5,149 ","5,149 ","6,149 ","6,149 ","3,410 "
18788,CS AMERICA,1/75/48 100% Polyester Semi Dull DTY 2H SET SIM ,Semi Dull,"3,158 ",(804),"3,158 ","2,879 ","1,853 ",828 ,(197),(322),(322),(322),(322),(804)
19057,BUHLER QUALITY YARNS CORP,28/1 78/22 Modacrylic/Rayon Natural FR RS,Natural,"3,189 ","8,738 ","3,189 ","3,189 ","3,189 ","3,189 ","3,189 ","3,189 ","3,189 ","3,189 ","3,189 ",106 
19076,COMTRADE,24/1 100% Combed Cotton Natural RS,Natural,"3,206 ","11,175 ","3,206 ","6,356 ","11,206 ","11,206 ","11,206 ","11,206 ","11,206 ","11,206 ","11,206 ","11,175 "
18673,DECA GLOBAL,1/150/48 100% Polyester Cool Grey 7445-02 ,Cool Grey,"3,265 ","2,983 ","3,265 ","3,265 ","3,265 ","3,265 ","3,265 ","3,265 ","3,265 ","3,265 ","3,265 ","2,983 "
