serial_number,split_from,sched_enter_by,status,ship_to,qty_ordered,related_dye_order_plan,sched_done_by,purchase_order,bki,unit_cost_yarn,machine,knit_version,modified,knit_price,costing_exception_overridden,customer_service_rep,ship_to_processor,active,schedule_status,seconds,instructions,sched_done_dt,balance,qty_received,knit_start,sched_enter_dt,note,created_date,internal_notes,close_dt,knit_style_base,created_by,job,quoted_date,qty_G00,uom,requested_date,qty_shipped,id,knitter,updated_by
K2509027,,9,Open,,200,,,,,9.39097,519,"{'created_date': '2025-09-05', 'version': '2', 'id': 6358, 'active': 1, 'knit_style_base': 1089, 'act_yard_cut_wt': None, 'roll_size': '50', 'foreign_id': 8530, 'modified': '2025-09-10 09:04:20.781456', 'price': '1.10', 'target_yard_cut_wt': '10.6', 'created_time': '11:33:55.229649'}",2025-09-10 09:05:28.493991,1.10,0,1,4.0,1,Required,,,,200,0,2025-09-11,2025-09-10 09:05:28.493991,,2025-09-10 09:05:28.493991,,,"{'active': 1, 'id': 1089, 'foreign_id': 2261, 'base_style': 'CF1088N', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",9,34394,,,lbs,2025-09-19,,6622,1,9
K2509026,,52,Open,,4000,9106.0,,,45471,1.53623,201,"{'id': 6365, 'active': 1, 'version': '1D', 'created_date': '2025-09-09', 'act_yard_cut_wt': '42.60', 'knit_style_base': 2130, 'foreign_id': 8538, 'roll_size': '250', 'created_time': '16:14:46.574802', 'target_yard_cut_wt': '42.00', 'price': '1.25', 'modified': '2025-09-12 15:26:04.074752'}",2025-09-12 15:28:16.983884,1.25,0,19,,1,Required,,,,4000,0,2025-09-11,2025-09-09 16:53:00.772706,,2025-09-09 16:53:00.772706,,,"{'base_style': 'CEE2838', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'foreign_id': 3694, 'active': 1, 'id': 2130}",52,34389,,,lbs,2025-10-02,,6621,1,52
K2509025,,52,Open,,5000,9103.0,,,,1.53724,212,"{'knit_style_base': 2395, 'act_yard_cut_wt': '40.80', 'created_date': '2025-09-09', 'version': '1P', 'id': 6361, 'active': 1, 'modified': '2025-09-09 13:36:57.161446', 'price': '1.25', 'target_yard_cut_wt': '39.60', 'created_time': '11:08:19.132651', 'roll_size': '250', 'foreign_id': 8534}",2025-09-12 17:36:18.526648,1.25,0,19,,1,Required,,,,4247,753,2025-09-09,2025-09-09 13:29:58.49298,,2025-09-09 13:29:58.49298,,,"{'foreign_id': 4009, 'active': 1, 'id': 2395, 'base_style': 'CEE2840', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",52,34369,,505,lbs,2025-09-23,248,6620,1,52
K2509024,,52,Open,,14750,9102.0,,,,1.52919,135,"{'created_date': '2025-08-27', 'version': '1D', 'active': 1, 'id': 6346, 'knit_style_base': 2257, 'act_yard_cut_wt': '31.70', 'roll_size': '250', 'foreign_id': 8516, 'modified': '2025-08-28 08:55:59.555743', 'price': '1.25', 'target_yard_cut_wt': '31.00', 'created_time': '14:14:12.407594'}",2025-09-12 19:26:18.313341,1.25,0,19,,1,Required,,,,13865,885,2025-09-09,2025-09-09 11:11:46.443514,,2025-09-09 11:11:46.443514,,,"{'base_style': 'CEE3050', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 2257, 'foreign_id': 3841}",52,34366,,443,lbs,2025-10-07,442,6619,1,52
K2509023,,80,Open,,50,,,,45463,2.22212,15,"{'foreign_id': 8532, 'roll_size': '50', 'created_time': '11:34:25.198091', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-08 13:12:35.988836', 'id': 6359, 'active': 1, 'version': '1', 'created_date': '2025-09-08', 'act_yard_cut_wt': None, 'knit_style_base': 3529}",2025-09-08 13:24:55.302958,1.25,0,16,,1,Required,,,,50,0,2025-09-10,2025-09-08 13:16:20.294973,,2025-09-08 13:16:20.294973,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4811A', 'foreign_id': 5487, 'active': 1, 'id': 3529}",80,34343,,,lbs,2025-09-12,,6618,1,80
K2509022,,9,Open,,500,9094.0,,,,4.29878,37,"{'id': 5317, 'active': 1, 'version': '0', 'created_date': '2024-05-14', 'act_yard_cut_wt': '26.04', 'knit_style_base': 2982, 'foreign_id': 7318, 'roll_size': '80', 'created_time': '13:46:46.971027', 'target_yard_cut_wt': '23.50', 'price': '1.25', 'modified': '2025-02-11 13:53:19.809013'}",2025-09-06 11:02:09.057392,1.25,0,1,3.0,1,Required,,,,500,0,2025-09-22,2025-09-06 11:01:39.576378,,2025-09-06 11:01:39.576378,,,"{'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '1SM0824-60', 'id': 2982, 'active': 1, 'foreign_id': 4795}",9,34335,,,lbs,2025-09-26,,6617,1,9
K2509021,,9,Open,,1500,9093.0,,,,3.90837,84,"{'created_date': '2018-03-26', 'version': '0', 'active': 1, 'id': 1307, 'knit_style_base': 749, 'act_yard_cut_wt': '23.48', 'roll_size': '100', 'foreign_id': 61, 'modified': '2025-01-13 11:38:49.932044', 'price': '1.50', 'target_yard_cut_wt': '23.50', 'created_time': '10:25:49.325466'}",2025-09-06 11:00:37.521606,1.50,0,1,3.0,1,Required,,,,1500,0,2025-09-15,2025-09-06 11:00:18.515454,,2025-09-06 11:00:18.515454,,,"{'base_style': '661SM0781', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 749, 'active': 1, 'foreign_id': 61}",9,34334,,,lbs,2025-09-26,,6616,1,9
K2509020,,9,Open,,9900,9092.0,,,,3.3911,45,"{'modified': '2023-11-29 22:58:58.768231', 'price': '1.25', 'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493', 'roll_size': '125', 'foreign_id': 290, 'knit_style_base': 542, 'act_yard_cut_wt': '28.36', 'created_date': '2018-06-22', 'version': '1', 'id': 1045, 'active': 1}",2025-09-06 10:59:03.51279,1.25,0,1,3.0,1,Required,,,,9900,0,2025-10-06,2025-09-06 10:58:39.482546,,2025-09-06 10:58:39.482546,,,"{'base_style': '751SM0780', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 542, 'active': 1, 'foreign_id': 290}",9,34333,,,lbs,2025-11-07,,6615,1,9
K2509019,,9,Open,,1700,9091.0,,,,4.13447,45,"{'active': 1, 'id': 1767, 'version': '1', 'created_date': '2020-08-25', 'act_yard_cut_wt': '29.04', 'knit_style_base': 691, 'foreign_id': 2912, 'roll_size': '80', 'created_time': '11:46:10.770839', 'target_yard_cut_wt': '24.5', 'price': '0.60', 'modified': '2024-02-22 08:45:10.369645'}",2025-09-06 10:57:17.320269,0.60,0,1,3.0,1,Required,,,,1700,0,2025-09-29,2025-09-06 10:56:42.562156,,2025-09-06 10:56:42.562156,,,"{'active': 1, 'id': 691, 'foreign_id': 221, 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '721SM0627'}",9,34332,,,lbs,2025-10-17,,6614,1,9
K2509018,,9,Open,,3400,9090.0,,,,4.19,45,"{'act_yard_cut_wt': '25.98', 'knit_style_base': 657, 'active': 1, 'id': 1207, 'version': 'U', 'created_date': '2018-07-20', 'created_time': '16:48:33.114705', 'target_yard_cut_wt': '27.00', 'price': '0.60', 'modified': '2023-12-08 14:23:47.553408', 'foreign_id': 389, 'roll_size': '80'}",2025-09-06 10:55:52.969565,0.60,0,1,3.0,1,Required,,,,3400,0,2025-10-06,2025-09-06 10:55:24.987491,,2025-09-06 10:55:24.987491,,,"{'foreign_id': 399, 'id': 657, 'active': 1, 'base_style': '721SM0470', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",9,34331,,,lbs,2025-10-31,,6613,1,9
K2509017,,9,Open,,1300,9089.0,,,,4.29989,45,"{'roll_size': '80', 'foreign_id': 2611, 'price': '1.25', 'modified': '2025-09-02 13:46:58.952881', 'created_time': '09:54:48.123885', 'target_yard_cut_wt': '26.40', 'version': '0', 'created_date': '2020-05-08', 'id': 1545, 'active': 1, 'knit_style_base': 891, 'act_yard_cut_wt': '25.72'}",2025-09-06 10:54:28.465274,1.25,0,1,3.0,1,Required,,,,1300,0,2025-09-29,2025-09-06 10:53:45.715029,,2025-09-06 10:53:45.715029,,,"{'foreign_id': 1875, 'id': 891, 'active': 1, 'base_style': '701SM0824', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None}",9,34330,,,lbs,2025-10-13,,6612,1,9
K2509016,,9,Open,,800,9088.0,,,,4.3046,37,"{'act_yard_cut_wt': '24.38', 'knit_style_base': 693, 'id': 1245, 'active': 1, 'version': '0', 'created_date': '2018-05-31', 'created_time': '11:55:52.834119', 'target_yard_cut_wt': '22', 'price': '0.50', 'modified': '2024-02-22 08:40:28.19768', 'foreign_id': 214, 'roll_size': '80'}",2025-09-06 10:52:39.637087,0.50,0,1,3.0,1,Required,,,,800,0,2025-09-29,2025-09-06 10:52:06.979902,,2025-09-06 10:52:06.979902,,,"{'foreign_id': 218, 'id': 693, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '641SM0693'}",9,34329,,,lbs,2025-10-17,,6611,1,9
K2509015,,9,Open,,3100,9087.0,,,,4.33042,37,"{'knit_style_base': 505, 'act_yard_cut_wt': '26.20', 'created_date': '2018-11-06', 'version': '2', 'active': 1, 'id': 996, 'modified': '2023-11-29 22:59:16.399766', 'price': '0.80', 'target_yard_cut_wt': '29.00', 'created_time': '14:51:33.186626', 'roll_size': '80', 'foreign_id': 844}",2025-09-06 10:51:11.111761,0.80,0,1,3.0,1,Required,,,,3100,0,2025-09-29,2025-09-06 10:50:17.855538,,2025-09-06 10:50:17.855538,,,"{'base_style': '601SM0654', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 198, 'active': 1, 'id': 505}",9,34328,,,lbs,2025-11-07,,6610,1,9
K2509014,,9,Open,,1500,9086.0,,,,4.24132,37,"{'foreign_id': 3301, 'roll_size': '100', 'target_yard_cut_wt': '32.80', 'created_time': '15:37:10.015726', 'modified': '2025-02-07 09:00:11.655141', 'price': '0.50', 'active': 1, 'id': 1997, 'created_date': '2021-02-04', 'version': 'M2', 'act_yard_cut_wt': '30.38', 'knit_style_base': 211}",2025-09-06 10:49:02.176866,0.50,0,1,3.0,1,Required,,,,1500,0,2025-09-29,2025-09-06 10:48:22.389714,,2025-09-06 10:48:22.389714,,,"{'base_style': '601SM0312', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 211, 'foreign_id': 1064}",9,34327,,,lbs,2025-11-07,,6609,1,9
K2509013,,9,Open,,11000,9085.0,,,,4.19,127,"{'act_yard_cut_wt': '22.58', 'knit_style_base': 422, 'id': 860, 'active': 1, 'version': '30G', 'created_date': '2018-10-03', 'created_time': '16:46:28.100415', 'target_yard_cut_wt': '19.70', 'price': '0.60', 'modified': '2023-11-29 22:59:37.035053', 'foreign_id': 692, 'roll_size': '100'}",2025-09-08 22:37:40.15819,0.60,0,1,3.0,1,Required,,,,11000,0,2025-09-24,2025-09-06 10:46:24.61912,,2025-09-06 10:46:24.61912,,,"{'active': 1, 'id': 422, 'foreign_id': 644, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '1SM0470'}",9,34326,,,lbs,2025-11-07,,6608,1,5
K2509012,,52,Open,,1000,9084.0,,,,1.7488,,"{'id': 6071, 'active': 1, 'version': '1L', 'created_date': '2025-04-22', 'act_yard_cut_wt': '22.10', 'knit_style_base': 3003, 'foreign_id': 8183, 'roll_size': '250', 'created_time': '16:28:28.004098', 'target_yard_cut_wt': '24.32', 'price': '0.85', 'modified': '2025-04-30 09:40:24.735752'}",2025-09-05 11:36:02.096144,0.85,0,19,,1,,,Serta,,1000,0,2025-09-08,2025-09-05 11:34:41.291269,,2025-09-05 11:34:41.291269,,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4378A', 'id': 3003, 'active': 1, 'foreign_id': 4826}",52,34305,,,lbs,2025-10-03,,6607,1,52
K2509011,,52,Open,,5000,9083.0,,,,1.5356,211,"{'price': '1.25', 'modified': '2025-09-05 16:17:30.780139', 'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'roll_size': '250', 'foreign_id': 8529, 'knit_style_base': 2131, 'act_yard_cut_wt': '41.82', 'version': '1DE', 'created_date': '2025-09-05', 'id': 6357, 'active': 1}",2025-09-12 18:46:08.909077,1.25,0,19,,1,Required,48.7,,,3781.7,1218.3,2025-09-05,2025-09-05 10:07:33.075352,,2025-09-05 10:07:33.075352,,,"{'foreign_id': 3695, 'id': 2131, 'active': 1, 'base_style': 'CEE2839', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING'}",52,34304,,449.3,lbs,2025-09-26,769,6606,1,5
K2509010,,80,Open,,450,9081.0,,,45452,0.95,538,"{'modified': '2025-09-12 14:50:04.531069', 'price': '1.00', 'target_yard_cut_wt': '17.5', 'created_time': '16:54:03.026868', 'roll_size': '50', 'foreign_id': 8524, 'knit_style_base': 3528, 'act_yard_cut_wt': '17.555', 'created_date': '2025-09-02', 'version': '0', 'id': 6354, 'active': 1}",2025-09-04 15:57:21.719595,1.00,0,16,,1,Required,,,,450,0,2025-09-11,2025-09-04 15:47:29.371355,,2025-09-04 15:47:29.371355,,,"{'base_style': 'CT4808', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'foreign_id': 5484, 'active': 1, 'id': 3528}",80,34295,,,lbs,2025-09-22,,6605,1,80
K2509009,,9,Open,,5000,9080.0,,,,3.3911,100,"{'knit_style_base': 542, 'act_yard_cut_wt': '28.36', 'created_date': '2018-06-22', 'version': '1', 'id': 1045, 'active': 1, 'modified': '2023-11-29 22:58:58.768231', 'price': '1.25', 'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493', 'roll_size': '125', 'foreign_id': 290}",2025-09-08 22:48:26.458205,1.25,0,1,3.0,1,Required,,,,5000,0,2025-09-15,2025-09-04 13:20:09.308775,,2025-09-04 13:20:09.308775,,,"{'foreign_id': 290, 'id': 542, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '751SM0780'}",9,34287,,,lbs,2025-10-10,,6604,1,5
K2509008,,9,Open,,4320,9078.0,,,,4.59504,542,"{'target_yard_cut_wt': '7.50', 'created_time': '09:45:52.30056', 'modified': '2025-09-05 16:45:04.392268', 'price': '1.00', 'foreign_id': 8525, 'roll_size': '40', 'act_yard_cut_wt': '7.835', 'knit_style_base': 3410, 'id': 6355, 'active': 1, 'created_date': '2025-09-03', 'version': 'TUB1'}",2025-09-12 10:36:09.680374,1.00,0,1,4.0,1,Required,71.5,,,3930.2,389.8,2025-09-05,2025-09-04 12:02:28.11132,,2025-09-04 12:02:28.11132,,,"{'id': 3410, 'active': 1, 'foreign_id': 5330, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5500'}",9,34285,,27,lbs,2025-10-03,379.3,6603,1,9
K2509007,,9,Open,,6400,,,,,7.85144,115,"{'foreign_id': 8159, 'roll_size': '50', 'target_yard_cut_wt': '11.00', 'created_time': '11:36:16.78898', 'modified': '2025-07-25 12:58:44.90066', 'price': '0.80', 'active': 1, 'id': 6051, 'created_date': '2025-04-08', 'version': 'BB', 'act_yard_cut_wt': '12.05', 'knit_style_base': 614}",2025-09-11 18:01:12.663163,0.80,0,1,1.0,1,Required,12.1,,,5860,540.0,2025-09-08,2025-09-03 12:58:02.982768,,2025-09-03 12:58:02.982768,,,"{'foreign_id': 495, 'active': 1, 'id': 614, 'base_style': '71246', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}",9,34270,,540.0,lbs,2025-10-03,12.1,6602,1,9
K2509006,,9,Open,,11200,,,,,7.35,44,"{'id': 5107, 'active': 1, 'version': 'B', 'created_date': '2024-01-31', 'act_yard_cut_wt': '10.22', 'knit_style_base': 765, 'foreign_id': 7079, 'roll_size': '50', 'created_time': '15:49:41.0976', 'target_yard_cut_wt': '8.75', 'price': '0.75', 'modified': '2025-09-11 08:36:31.101736'}",2025-09-08 22:09:12.40019,0.75,0,1,1.0,1,Required,,,,11200,0,2025-10-17,2025-09-03 12:57:00.755907,,2025-09-03 12:57:00.755907,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': 'DFF446J', 'foreign_id': 716, 'id': 765, 'active': 1}",9,34269,,,lbs,2025-11-28,,6601,1,5
