inspection_machine,qty_lbs_at_creation,actual_created_dt,dol_attach_log,greige_summary,knit_order,roll_number,vendor_roll_number,knit_machine,greige_purchase_order,knit_date,cost,sales_order,document,unit_cost_yarn,unit_cost,knit_version,bh_customer,qty_yds,memo_dt,inspector,bh_sales_order,roll_number_sort,ship_dt,void_dt,ship_date,unit_cost_knit,return,qty_lbs,created_by,created_dt,dye_order_line,roll_width,id,knitter,unit_cost_purchase,warehouse
08,48.8,2021-06-25 01:16:04.733695,,563,1409,033973011,,075,,2021-06-24,308.501888,,K2106028,5.32176,6.32176,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400'}, 'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50'}",,72.5,,06654,,339730110,,,,1.00,,48.8,,2021-06-24 23:59:59,,35,82839,01592,,G00
08,50.9,2021-06-25 01:26:08.755651,,563,1409,033973014,,075,,2021-06-24,321.777584,,K2106028,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'id': 763, 'foreign_id': 496}}",,76.1,,06654,,339730140,,,,1.00,,50.9,,2021-06-24 23:59:59,,35,82843,01592,,G00
02,57.7,2021-06-30 00:51:06.473013,,563,1409,033973018,,075,,2021-06-25,364.765552,,K2106028,5.32176,6.32176,"{'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'id': 763, 'foreign_id': 496}, 'active': 0, 'id': 1917, 'version': '582L', 'created_date': '2020-12-09'}",,86.3,,06654,,339730180,,,,1.00,,57.7,,2021-06-25 23:59:59,,35,83545,01592,,G00
02,55.9,2021-06-30 05:41:18.480536,,563,1409,133973020,,075,,2021-06-25,353.386384,,K2106028,5.32176,6.32176,"{'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917, 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888'}",,86.4,,06654,,339730201,,,,1.00,,55.9,,2021-06-25 23:59:59,,35,83593,01592,,G00
02,43.6,2021-06-29 12:51:23.660815,,563,1409,133973023,,075,,2021-06-28,275.628736,,K2106028,5.32176,6.32176,"{'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978'}",,68,,06138,,339730231,,,,1.00,,43.6,,2021-06-28 23:59:59,,0,83441,01592,,G00
02,54.8,2021-06-29 14:36:05.634295,,563,1409,033973024,,075,,2021-06-29,346.432448,,K2106028,5.32176,6.32176,"{'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400', 'foreign_id': 496, 'active': 1, 'id': 763}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10'}",,87.7,,06138,,339730240,,,,1.00,,54.8,,2021-06-29 23:59:59,,32,83456,06351,,G00
02,54.8,2021-06-30 02:46:04.939632,,563,1409,033973026,,075,,2021-06-29,346.432448,,K2106028,5.32176,6.32176,"{'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'id': 763, 'active': 1}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",,86.4,,06654,,339730260,,,,1.00,,54.8,,2021-06-29 23:59:59,,35,83559,01592,,G00
02,46.9,2021-06-30 21:46:05.103616,,563,1409,033973028,,075,,2021-06-30,296.490544,,K2106028,5.32176,6.32176,"{'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'active': 1, 'id': 763}, 'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00'}",,78,,06636,,339730280,,,,1.00,,46.9,,2021-06-30 23:59:59,,35,83633,01592,,G00
07,45.3,2021-07-01 09:36:05.601936,,563,1409,033973029,,075,,2021-06-30,286.375728,,K2106028,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'id': 763, 'active': 1}}",,68.7,,06586,,339730290,,,,1.00,,45.3,,2021-06-30 23:59:59,,32,83694,01592,,G00
07,45.5,2021-07-01 09:56:05.220577,,563,1409,033973030,,075,,2021-06-30,287.64008,,K2106028,5.32176,6.32176,"{'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L'}",,79.9,,06586,,339730300,,,,1.00,,45.5,,2021-06-30 23:59:59,,35,83696,01592,,G00
07,53.5,2021-07-01 10:21:04.949748,,563,1409,033973031,,075,,2021-06-30,338.21416,,K2106028,5.32176,6.32176,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 763, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0}",,83.7,,06586,,339730310,,,,1.00,,53.5,,2021-06-30 23:59:59,,35,83698,01592,,G00
07,48.8,2021-07-01 10:31:09.056061,,563,1409,033973032,,075,,2021-06-30,308.501888,,K2106028,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400'}}",,76.9,,06586,,339730320,,,,1.00,,48.8,,2021-06-30 23:59:59,,35,83700,01592,,G00
01,55,2021-07-03 10:46:05.150183,,563,1409,033973045,,075,,2021-07-02,347.6968,,K2106028,5.32176,6.32176,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50'}",,89.5,,06586,,339730450,,,,1.00,,55,,2021-07-02 23:59:59,,35,83940,01592,,G00
01,50,2021-07-06 13:11:30.365554,,563,1409,033973047,,075,,2021-07-06,316.088,,K2106028,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'active': 0, 'id': 1917, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}}",,89.2,,08569,,339730470,,,,1.00,,50,,2021-07-06 23:59:59,,32,84054,06351,,G00
01,55,2021-07-06 15:06:05.70169,,563,1409,033973048,,075,,2021-07-06,347.6968,,K2106028,5.32176,6.32176,"{'knit_style_base': {'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 763, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",,86.3,,08569,,339730480,,,,1.00,,55,,2021-07-06 23:59:59,,33,84093,06351,,G00
01,50.6,2021-07-07 07:16:04.77365,,563,1409,133973050,,075,,2021-07-06,319.881056,,K2106028,5.32176,6.32176,"{'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163}",,91,,06654,,339730501,,,,1.00,,50.6,,2021-07-06 23:59:59,,35,84176,06351,,G00
01,53.7,2021-07-07 06:36:05.505457,,563,1409,033973054,,075,,2021-07-06,339.478512,,K2106028,5.32176,6.32176,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'id': 763, 'active': 1}, 'active': 0, 'id': 1917, 'version': '582L', 'created_date': '2020-12-09', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50'}",,83.5,,06654,,339730540,,,,1.00,,53.7,,2021-07-06 23:59:59,,36,84168,01592,,G00
10,39.8,2021-07-23 15:51:05.333502,,726,1488,034258001,,075,,2021-07-23,116.614,,K2107038,2.18,2.93,"{'id': 2128, 'active': 1, 'created_date': '2021-04-15', 'version': '0', 'act_yard_cut_wt': '10.88', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5022', 'foreign_id': 2340, 'active': 1, 'id': 1142}, 'foreign_id': 3509, 'roll_size': '40', 'target_yard_cut_wt': '10.75', 'created_time': '11:01:01.355854', 'modified': '2023-11-29 22:59:50.072491', 'price': '0.75'}",,67,,06586,,342580010,,,,0.75,,39.8,,2021-07-23 23:59:59,,33,86747,06611,,G00
00,39.3,2021-07-23 21:56:13.592689,,726,1488,034258002,,075,,2021-07-23,115.149,,K2107038,2.18,2.93,"{'target_yard_cut_wt': '10.75', 'created_time': '11:01:01.355854', 'modified': '2023-11-29 22:59:50.072491', 'price': '0.75', 'foreign_id': 3509, 'roll_size': '40', 'act_yard_cut_wt': '10.88', 'knit_style_base': {'active': 1, 'id': 1142, 'foreign_id': 2340, 'base_style': 'CF5022', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'active': 1, 'id': 2128, 'created_date': '2021-04-15', 'version': '0'}",,60.7,,06636,,342580020,,,,0.75,,39.3,,2021-07-23 23:59:59,,33,86771,01592,,G00
00,39.4,2021-07-26 05:36:06.00355,,726,1488,034258003,,075,,2021-07-23,115.442,,K2107038,2.18,2.93,"{'roll_size': '40', 'foreign_id': 3509, 'modified': '2023-11-29 22:59:50.072491', 'price': '0.75', 'target_yard_cut_wt': '10.75', 'created_time': '11:01:01.355854', 'created_date': '2021-04-15', 'version': '0', 'active': 1, 'id': 2128, 'knit_style_base': {'id': 1142, 'active': 1, 'foreign_id': 2340, 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5022'}, 'act_yard_cut_wt': '10.88'}",,62.4,,06654,,342580030,,,,0.75,,39.4,,2021-07-23 23:59:59,,33,86879,01592,,G00
00,39.3,2021-07-26 05:11:05.227204,,726,1488,034258004,,075,,2021-07-23,115.149,,K2107038,2.18,2.93,"{'foreign_id': 3509, 'roll_size': '40', 'target_yard_cut_wt': '10.75', 'created_time': '11:01:01.355854', 'modified': '2023-11-29 22:59:50.072491', 'price': '0.75', 'active': 1, 'id': 2128, 'created_date': '2021-04-15', 'version': '0', 'act_yard_cut_wt': '10.88', 'knit_style_base': {'id': 1142, 'active': 1, 'foreign_id': 2340, 'base_style': 'CF5022', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}}",,62.4,,06654,,342580040,,,,0.75,,39.3,,2021-07-23 23:59:59,,33,86875,01592,,G00
00,39.7,2021-07-26 06:46:14.005242,,726,1488,034258005,,075,,2021-07-23,116.321,,K2107038,2.18,2.93,"{'created_date': '2021-04-15', 'version': '0', 'id': 2128, 'active': 1, 'knit_style_base': {'base_style': 'CF5022', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 1142, 'active': 1, 'foreign_id': 2340}, 'act_yard_cut_wt': '10.88', 'roll_size': '40', 'foreign_id': 3509, 'modified': '2023-11-29 22:59:50.072491', 'price': '0.75', 'target_yard_cut_wt': '10.75', 'created_time': '11:01:01.355854'}",,61.3,,06654,,342580050,,,,0.75,,39.7,,2021-07-23 23:59:59,,33,86887,03434,,G00
10,38.7,2021-07-26 09:31:05.385632,,726,1488,034258006,,075,,2021-07-24,113.391,,K2107038,2.18,2.93,"{'modified': '2023-11-29 22:59:50.072491', 'price': '0.75', 'target_yard_cut_wt': '10.75', 'created_time': '11:01:01.355854', 'roll_size': '40', 'foreign_id': 3509, 'knit_style_base': {'foreign_id': 2340, 'active': 1, 'id': 1142, 'base_style': 'CF5022', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None}, 'act_yard_cut_wt': '10.88', 'created_date': '2021-04-15', 'version': '0', 'id': 2128, 'active': 1}",,59.1,,06586,,342580060,,,,0.75,,38.7,,2021-07-24 23:59:59,,34,86924,03434,,G00
10,39.4,2021-07-26 09:41:05.737636,,726,1488,034258007,,075,,2021-07-24,115.442,,K2107038,2.18,2.93,"{'roll_size': '40', 'foreign_id': 3509, 'modified': '2023-11-29 22:59:50.072491', 'price': '0.75', 'target_yard_cut_wt': '10.75', 'created_time': '11:01:01.355854', 'created_date': '2021-04-15', 'version': '0', 'id': 2128, 'active': 1, 'knit_style_base': {'base_style': 'CF5022', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 2340, 'id': 1142, 'active': 1}, 'act_yard_cut_wt': '10.88'}",,61.9,,06586,,342580070,,,,0.75,,39.4,,2021-07-24 23:59:59,,34,86930,03434,,G00
10,39.5,2021-07-26 12:31:05.5762,,726,1488,034258008,,075,,2021-07-26,115.735,,K2107038,2.18,2.93,"{'act_yard_cut_wt': '10.88', 'knit_style_base': {'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5022', 'active': 1, 'id': 1142, 'foreign_id': 2340}, 'active': 1, 'id': 2128, 'version': '0', 'created_date': '2021-04-15', 'created_time': '11:01:01.355854', 'target_yard_cut_wt': '10.75', 'price': '0.75', 'modified': '2023-11-29 22:59:50.072491', 'foreign_id': 3509, 'roll_size': '40'}",,61.8,,06586,,342580080,,,,0.75,,39.5,,2021-07-26 23:59:59,,33,86978,06014,,G00
