related_dye_order_plan,purchase_order,sched_done_by,bki,status,ship_to,qty_ordered,serial_number,split_from,sched_enter_by,schedule_status,customer_service_rep,ship_to_processor,active,knit_price,modified,costing_exception_overridden,unit_cost_yarn,machine,knit_version,knit_style_base,close_dt,created_by,note,created_date,internal_notes,balance,sched_done_dt,qty_received,knit_start,sched_enter_dt,seconds,instructions,updated_by,quoted_date,requested_date,uom,qty_G00,id,qty_shipped,knitter,job
9106.0,,,45471,Open,,4000,K2509026,,52,Required,19,,1,1.25,2025-09-12 15:28:16.983884,0,1.53623,201,"{'knit_style_base': 2130, 'act_yard_cut_wt': '42.60', 'version': '1D', 'created_date': '2025-09-09', 'active': 1, 'id': 6365, 'price': '1.25', 'modified': '2025-09-12 15:26:04.074752', 'created_time': '16:14:46.574802', 'target_yard_cut_wt': '42.00', 'roll_size': '250', 'foreign_id': 8538}","{'foreign_id': 3694, 'id': 2130, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CEE2838'}",,52,,2025-09-09 16:53:00.772706,,4000,,0,2025-09-11,2025-09-09 16:53:00.772706,,,52,,2025-10-02,lbs,,6621,,1,34389
9103.0,,,,Open,,5000,K2509025,,52,Required,19,,1,1.25,2025-09-12 17:36:18.526648,0,1.53724,212,"{'act_yard_cut_wt': '40.80', 'knit_style_base': 2395, 'id': 6361, 'active': 1, 'version': '1P', 'created_date': '2025-09-09', 'created_time': '11:08:19.132651', 'target_yard_cut_wt': '39.60', 'price': '1.25', 'modified': '2025-09-09 13:36:57.161446', 'foreign_id': 8534, 'roll_size': '250'}","{'id': 2395, 'active': 1, 'foreign_id': 4009, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2840'}",,52,,2025-09-09 13:29:58.49298,,4247,,753,2025-09-09,2025-09-09 13:29:58.49298,,,52,,2025-09-23,lbs,505,6620,248,1,34369
9102.0,,,,Open,,14750,K2509024,,52,Required,19,,1,1.25,2025-09-12 19:26:18.313341,0,1.52919,135,"{'roll_size': '250', 'foreign_id': 8516, 'price': '1.25', 'modified': '2025-08-28 08:55:59.555743', 'created_time': '14:14:12.407594', 'target_yard_cut_wt': '31.00', 'version': '1D', 'created_date': '2025-08-27', 'active': 1, 'id': 6346, 'knit_style_base': 2257, 'act_yard_cut_wt': '31.70'}","{'active': 1, 'id': 2257, 'foreign_id': 3841, 'base_style': 'CEE3050', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,52,,2025-09-09 11:11:46.443514,,13865,,885,2025-09-09,2025-09-09 11:11:46.443514,,,52,,2025-10-07,lbs,443,6619,442,1,34366
,,,45463,Open,,50,K2509023,,80,Required,16,,1,1.25,2025-09-08 13:24:55.302958,0,2.22212,15,"{'target_yard_cut_wt': '22.00', 'created_time': '11:34:25.198091', 'modified': '2025-09-08 13:12:35.988836', 'price': '1.25', 'foreign_id': 8532, 'roll_size': '50', 'act_yard_cut_wt': None, 'knit_style_base': 3529, 'active': 1, 'id': 6359, 'created_date': '2025-09-08', 'version': '1'}","{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4811A', 'active': 1, 'id': 3529, 'foreign_id': 5487}",,80,,2025-09-08 13:16:20.294973,,50,,0,2025-09-10,2025-09-08 13:16:20.294973,,,80,,2025-09-12,lbs,,6618,,1,34343
9094.0,,,,Open,,500,K2509022,,9,Required,1,3.0,1,1.25,2025-09-06 11:02:09.057392,0,4.29878,37,"{'act_yard_cut_wt': '26.04', 'knit_style_base': 2982, 'active': 1, 'id': 5317, 'created_date': '2024-05-14', 'version': '0', 'target_yard_cut_wt': '23.50', 'created_time': '13:46:46.971027', 'modified': '2025-02-11 13:53:19.809013', 'price': '1.25', 'foreign_id': 7318, 'roll_size': '80'}","{'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '1SM0824-60', 'id': 2982, 'active': 1, 'foreign_id': 4795}",,9,,2025-09-06 11:01:39.576378,,500,,0,2025-09-22,2025-09-06 11:01:39.576378,,,9,,2025-09-26,lbs,,6617,,1,34335
9093.0,,,,Open,,1500,K2509021,,9,Required,1,3.0,1,1.50,2025-09-06 11:00:37.521606,0,3.90837,84,"{'id': 1307, 'active': 1, 'version': '0', 'created_date': '2018-03-26', 'act_yard_cut_wt': '23.48', 'knit_style_base': 749, 'foreign_id': 61, 'roll_size': '100', 'created_time': '10:25:49.325466', 'target_yard_cut_wt': '23.50', 'price': '1.50', 'modified': '2025-01-13 11:38:49.932044'}","{'base_style': '661SM0781', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 61, 'id': 749, 'active': 1}",,9,,2025-09-06 11:00:18.515454,,1500,,0,2025-09-15,2025-09-06 11:00:18.515454,,,9,,2025-09-26,lbs,,6616,,1,34334
9092.0,,,,Open,,9900,K2509020,,9,Required,1,3.0,1,1.25,2025-09-06 10:59:03.51279,0,3.3911,45,"{'knit_style_base': 542, 'act_yard_cut_wt': '28.36', 'created_date': '2018-06-22', 'version': '1', 'active': 1, 'id': 1045, 'modified': '2023-11-29 22:58:58.768231', 'price': '1.25', 'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493', 'roll_size': '125', 'foreign_id': 290}","{'foreign_id': 290, 'active': 1, 'id': 542, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '751SM0780'}",,9,,2025-09-06 10:58:39.482546,,9900,,0,2025-10-06,2025-09-06 10:58:39.482546,,,9,,2025-11-07,lbs,,6615,,1,34333
9091.0,,,,Open,,1700,K2509019,,9,Required,1,3.0,1,0.60,2025-09-06 10:57:17.320269,0,4.13447,45,"{'foreign_id': 2912, 'roll_size': '80', 'created_time': '11:46:10.770839', 'target_yard_cut_wt': '24.5', 'price': '0.60', 'modified': '2024-02-22 08:45:10.369645', 'id': 1767, 'active': 1, 'version': '1', 'created_date': '2020-08-25', 'act_yard_cut_wt': '29.04', 'knit_style_base': 691}","{'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '721SM0627', 'id': 691, 'active': 1, 'foreign_id': 221}",,9,,2025-09-06 10:56:42.562156,,1700,,0,2025-09-29,2025-09-06 10:56:42.562156,,,9,,2025-10-17,lbs,,6614,,1,34332
9090.0,,,,Open,,3400,K2509018,,9,Required,1,3.0,1,0.60,2025-09-06 10:55:52.969565,0,4.19,45,"{'knit_style_base': 657, 'act_yard_cut_wt': '25.98', 'version': 'U', 'created_date': '2018-07-20', 'id': 1207, 'active': 1, 'price': '0.60', 'modified': '2023-12-08 14:23:47.553408', 'created_time': '16:48:33.114705', 'target_yard_cut_wt': '27.00', 'roll_size': '80', 'foreign_id': 389}","{'foreign_id': 399, 'active': 1, 'id': 657, 'base_style': '721SM0470', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None}",,9,,2025-09-06 10:55:24.987491,,3400,,0,2025-10-06,2025-09-06 10:55:24.987491,,,9,,2025-10-31,lbs,,6613,,1,34331
9089.0,,,,Open,,1300,K2509017,,9,Required,1,3.0,1,1.25,2025-09-06 10:54:28.465274,0,4.29989,45,"{'target_yard_cut_wt': '26.40', 'created_time': '09:54:48.123885', 'modified': '2025-09-02 13:46:58.952881', 'price': '1.25', 'foreign_id': 2611, 'roll_size': '80', 'act_yard_cut_wt': '25.72', 'knit_style_base': 891, 'id': 1545, 'active': 1, 'created_date': '2020-05-08', 'version': '0'}","{'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '701SM0824', 'id': 891, 'active': 1, 'foreign_id': 1875}",,9,,2025-09-06 10:53:45.715029,,1300,,0,2025-09-29,2025-09-06 10:53:45.715029,,,9,,2025-10-13,lbs,,6612,,1,34330
9088.0,,,,Open,,800,K2509016,,9,Required,1,3.0,1,0.50,2025-09-06 10:52:39.637087,0,4.3046,37,"{'active': 1, 'id': 1245, 'version': '0', 'created_date': '2018-05-31', 'act_yard_cut_wt': '24.38', 'knit_style_base': 693, 'foreign_id': 214, 'roll_size': '80', 'created_time': '11:55:52.834119', 'target_yard_cut_wt': '22', 'price': '0.50', 'modified': '2024-02-22 08:40:28.19768'}","{'foreign_id': 218, 'active': 1, 'id': 693, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '641SM0693'}",,9,,2025-09-06 10:52:06.979902,,800,,0,2025-09-29,2025-09-06 10:52:06.979902,,,9,,2025-10-17,lbs,,6611,,1,34329
9087.0,,,,Open,,3100,K2509015,,9,Required,1,3.0,1,0.80,2025-09-06 10:51:11.111761,0,4.33042,37,"{'created_time': '14:51:33.186626', 'target_yard_cut_wt': '29.00', 'price': '0.80', 'modified': '2023-11-29 22:59:16.399766', 'foreign_id': 844, 'roll_size': '80', 'act_yard_cut_wt': '26.20', 'knit_style_base': 505, 'id': 996, 'active': 1, 'version': '2', 'created_date': '2018-11-06'}","{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '601SM0654', 'foreign_id': 198, 'active': 1, 'id': 505}",,9,,2025-09-06 10:50:17.855538,,3100,,0,2025-09-29,2025-09-06 10:50:17.855538,,,9,,2025-11-07,lbs,,6610,,1,34328
9086.0,,,,Open,,1500,K2509014,,9,Required,1,3.0,1,0.50,2025-09-06 10:49:02.176866,0,4.24132,37,"{'version': 'M2', 'created_date': '2021-02-04', 'id': 1997, 'active': 1, 'knit_style_base': 211, 'act_yard_cut_wt': '30.38', 'roll_size': '100', 'foreign_id': 3301, 'price': '0.50', 'modified': '2025-02-07 09:00:11.655141', 'created_time': '15:37:10.015726', 'target_yard_cut_wt': '32.80'}","{'active': 1, 'id': 211, 'foreign_id': 1064, 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '601SM0312'}",,9,,2025-09-06 10:48:22.389714,,1500,,0,2025-09-29,2025-09-06 10:48:22.389714,,,9,,2025-11-07,lbs,,6609,,1,34327
9085.0,,,,Open,,11000,K2509013,,9,Required,1,3.0,1,0.60,2025-09-08 22:37:40.15819,0,4.19,127,"{'roll_size': '100', 'foreign_id': 692, 'modified': '2023-11-29 22:59:37.035053', 'price': '0.60', 'target_yard_cut_wt': '19.70', 'created_time': '16:46:28.100415', 'created_date': '2018-10-03', 'version': '30G', 'active': 1, 'id': 860, 'knit_style_base': 422, 'act_yard_cut_wt': '22.58'}","{'id': 422, 'active': 1, 'foreign_id': 644, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '1SM0470'}",,9,,2025-09-06 10:46:24.61912,,11000,,0,2025-09-24,2025-09-06 10:46:24.61912,,,5,,2025-11-07,lbs,,6608,,1,34326
9084.0,,,,Open,,1000,K2509012,,52,,19,,1,0.85,2025-09-05 11:36:02.096144,0,1.7488,,"{'created_date': '2025-04-22', 'version': '1L', 'id': 6071, 'active': 1, 'knit_style_base': 3003, 'act_yard_cut_wt': '22.10', 'roll_size': '250', 'foreign_id': 8183, 'modified': '2025-04-30 09:40:24.735752', 'price': '0.85', 'target_yard_cut_wt': '24.32', 'created_time': '16:28:28.004098'}","{'base_style': 'C1B4378A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3003, 'active': 1, 'foreign_id': 4826}",,52,,2025-09-05 11:34:41.291269,,1000,,0,2025-09-08,2025-09-05 11:34:41.291269,,Serta,52,,2025-10-03,lbs,,6607,,1,34305
9083.0,,,,Open,,5000,K2509011,,52,Required,19,,1,1.25,2025-09-12 18:46:08.909077,0,1.5356,211,"{'target_yard_cut_wt': '37.50', 'created_time': '10:23:58.924877', 'modified': '2025-09-05 16:17:30.780139', 'price': '1.25', 'foreign_id': 8529, 'roll_size': '250', 'act_yard_cut_wt': '41.82', 'knit_style_base': 2131, 'id': 6357, 'active': 1, 'created_date': '2025-09-05', 'version': '1DE'}","{'base_style': 'CEE2839', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 2131, 'active': 1, 'foreign_id': 3695}",,52,,2025-09-05 10:07:33.075352,,3781.7,,1218.3,2025-09-05,2025-09-05 10:07:33.075352,48.7,,5,,2025-09-26,lbs,449.3,6606,769,1,34304
9081.0,,,45452,Open,,450,K2509010,,80,Required,16,,1,1.00,2025-09-04 15:57:21.719595,0,0.95,538,"{'roll_size': '50', 'foreign_id': 8524, 'modified': '2025-09-12 14:50:04.531069', 'price': '1.00', 'target_yard_cut_wt': '17.5', 'created_time': '16:54:03.026868', 'created_date': '2025-09-02', 'version': '0', 'active': 1, 'id': 6354, 'knit_style_base': 3528, 'act_yard_cut_wt': '17.555'}","{'base_style': 'CT4808', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3528, 'foreign_id': 5484}",,80,,2025-09-04 15:47:29.371355,,450,,0,2025-09-11,2025-09-04 15:47:29.371355,,,80,,2025-09-22,lbs,,6605,,1,34295
9080.0,,,,Open,,5000,K2509009,,9,Required,1,3.0,1,1.25,2025-09-08 22:48:26.458205,0,3.3911,100,"{'roll_size': '125', 'foreign_id': 290, 'modified': '2023-11-29 22:58:58.768231', 'price': '1.25', 'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493', 'created_date': '2018-06-22', 'version': '1', 'active': 1, 'id': 1045, 'knit_style_base': 542, 'act_yard_cut_wt': '28.36'}","{'foreign_id': 290, 'active': 1, 'id': 542, 'base_style': '751SM0780', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None}",,9,,2025-09-04 13:20:09.308775,,5000,,0,2025-09-15,2025-09-04 13:20:09.308775,,,5,,2025-10-10,lbs,,6604,,1,34287
9078.0,,,,Open,,4320,K2509008,,9,Required,1,4.0,1,1.00,2025-09-12 10:36:09.680374,0,4.59504,542,"{'id': 6355, 'active': 1, 'created_date': '2025-09-03', 'version': 'TUB1', 'act_yard_cut_wt': '7.835', 'knit_style_base': 3410, 'foreign_id': 8525, 'roll_size': '40', 'target_yard_cut_wt': '7.50', 'created_time': '09:45:52.30056', 'modified': '2025-09-05 16:45:04.392268', 'price': '1.00'}","{'base_style': 'CF5500', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'foreign_id': 5330, 'active': 1, 'id': 3410}",,9,,2025-09-04 12:02:28.11132,,3930.2,,389.8,2025-09-05,2025-09-04 12:02:28.11132,71.5,,9,,2025-10-03,lbs,27,6603,379.3,1,34285
,,,,Open,,6400,K2509007,,9,Required,1,1.0,1,0.80,2025-09-11 18:01:12.663163,0,7.85144,115,"{'act_yard_cut_wt': '12.05', 'knit_style_base': 614, 'active': 1, 'id': 6051, 'created_date': '2025-04-08', 'version': 'BB', 'target_yard_cut_wt': '11.00', 'created_time': '11:36:16.78898', 'modified': '2025-07-25 12:58:44.90066', 'price': '0.80', 'foreign_id': 8159, 'roll_size': '50'}","{'base_style': '71246', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 495, 'active': 1, 'id': 614}",,9,,2025-09-03 12:58:02.982768,,5860,,540.0,2025-09-08,2025-09-03 12:58:02.982768,12.1,,9,,2025-10-03,lbs,540.0,6602,12.1,1,34270
,,,,Open,,11200,K2509006,,9,Required,1,1.0,1,0.75,2025-09-08 22:09:12.40019,0,7.35,44,"{'roll_size': '50', 'foreign_id': 7079, 'modified': '2025-09-11 08:36:31.101736', 'price': '0.75', 'target_yard_cut_wt': '8.75', 'created_time': '15:49:41.0976', 'created_date': '2024-01-31', 'version': 'B', 'active': 1, 'id': 5107, 'knit_style_base': 765, 'act_yard_cut_wt': '10.22'}","{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': 'DFF446J', 'foreign_id': 716, 'id': 765, 'active': 1}",,9,,2025-09-03 12:57:00.755907,,11200,,0,2025-10-17,2025-09-03 12:57:00.755907,,,5,,2025-11-28,lbs,,6601,,1,34269
