Desc#,Supplier,Description,Blend,Type,Color,Desc_1,Desc_2,Desc_3,On_Order,Allocated,Planning_Ballance,Cost_Pound,Total_Cast
18332,SPUNLAB,30/1,80/12/8,Polyester/Rayon/Cotton, 60% Black,60%,60%,Black,0.00,0.00,170.24,$2.76 ,$469.87 
18465,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Capri,,,,0.00,0.00,156.32,$3.31 ,$517.41 
18109,KC TEX INC,20/1,100%,Karded Cotton,Natural,NAT,ORGANI,RS,0.00,0.00,200.00,$2.77 ,$554.00 
18866,DECA GLOBAL,1/150/96,100%,Polyester,OB,,,,0.00,0.00,711.00,$0.80 ,$568.80 
18660,UNIFI,4/300/68,100%,Polyester,Natural,Repreve,,,0.00,0.00,270.00,$2.15 ,$580.51 
18423,BURLINGTON MANUFACTURING SERVICE,1/150/48,100%,Polyester,EMERALD,7714,,,0.00,0.00,151.00,$3.95 ,$596.45 
18314,PROMPTEX YARNS INC,1/160/36,100%,Polyester,Black,STRNTS,,,0.00,0.00,517.00,$1.20 ,$620.40 
12116,UNIFI,1/150/48,100%,Polyester,GRASLANDS,0831M,,,0.00,0.00,224.80,$2.83 ,$636.19 
18713,MINIFIBERS,1/150/50,100%,Polyethylene,Natural,MUST,HAVE,APPROVAL,0.00,0.00,114.37,$5.58 ,$638.18 
18782,DECA GLOBAL,30/1,100%,Combed Cotton,Natural,Natural,Organic,RS,0.00,0.00,192.00,$3.40 ,$652.80 
18609,MERIDIAN SPECIALTY YARN GROUP INC,2/150/50,100%,Polyester,Sand,Dollar,C39705Y,,0.00,0.00,131.00,$5.11 ,$669.41 
11536,BURLINGTON MANUFACTURING SERVICE,1/150/48,100%,Polyester,ROBINSEGG,340320,,,0.00,-2.10,355.60,$1.92 ,$686.78 
18318,SPUNLAB,30/1,70/10/20,Polyester/Cotton/Rayon, 12% Black,12%,12%,Black,0.00,0.00,229.00,$3.04 ,$696.16 
18784,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Azulon,Azulon,recyled,poly/recycled,0.00,0.00,206.00,$3.46 ,$712.76 
18644,PROMPTEX YARNS INC,2/150/48,100%,Polyester,Black,,,,0.00,0.00,614.00,$1.26 ,$773.64 
18475,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,China Grey,Grey,,,0.00,0.00,245.00,$3.36 ,$823.20 
18830,MERIDIAN SPECIALTY YARN GROUP INC,1/1,100%,Lurex,Silver,Metalic,,,0.00,0.00,88.00,$9.49 ,$835.12 
6938,UNIFI,1/150/48,100%,Polyester,Natural,NONTS,,,0.00,0.00,811.00,$1.05 ,$851.55 
18852,SPUNLAB,20/1,60/40,Celliant/Polyester,Natural,,,,0.00,0.00,160.00,$5.39 ,$862.40 
18233,PROMPTEX YARNS INC,1/150/48,100%,Polyester,BRT TRILOB,TRILOB,,,"5,000.00","-2,014.93","3,839.69",$1.05 ,$897.36 
18153,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,LAVENDER,,,,0.00,0.00,310.00,$2.90 ,$899.00 
18319,KC TEX INC,24/1,100%,Bamboo,Natural,,,,0.00,0.00,307.30,$2.97 ,$912.68 
18856,MINIFIBERS,1/300/100,100%,Polyethylene,Natural,MUST,HAVE,APPROVAL,0.00,-339.76,-111.39,$4.15 ,$947.74 
18453,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,ICE BLUE,BLUE,ICE BLUE,,0.00,0.00,296.34,$3.34 ,$989.78 
18629,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Evening Haze,Haze,Evening Haze,recycled,500.00,-336.00,435.75,$3.65 ,$991.89 
18618,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Silver,,,,0.00,-45.74,536.56,$1.81 ,"$1,053.97 "
18853,PARKDALE YARN MILLS,18/1,98/2,Karded Cotton/Poly, 2% Black,2%,Black,,0.00,0.00,673.20,$1.57 ,"$1,056.92 "
18639,PROMPTEX YARNS INC,2/225/68,100%,Polyester,Natural,,,,0.00,0.00,808.00,$1.35 ,"$1,090.80 "
18145,KC TEX INC,1/150/48,100%,Polyester,Pewter,PEWTER,KC PEWTER,,0.00,0.00,408.00,$2.68 ,"$1,093.44 "
18357,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,SLATE,1273,,,0.00,0.00,417.00,$2.75 ,"$1,146.75 "
18457,CS AMERICA,1/75/72,100%,Polyester,Natural,Dull,CICLO,RPET,0.00,0.00,950.00,$1.21 ,"$1,149.50 "
18358,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,COBALT,1275,,,"1,155.00",-27.03,"1,548.53",$2.75 ,"$1,156.55 "
18725,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Lookout,4015-0178-A,,,0.00,0.00,348.00,$3.36 ,"$1,169.28 "
19006,PARKDALE YARN MILLS,24/1,50/40/10,Karded Cotton/Poly, 10% Black,10%,Ashe,,0.00,-206.61,690.31,$1.41 ,"$1,264.66 "
18142,OMARA TEXTILES,1/150/48,100%,Polyester,JAVA,JAVA,U614,,0.00,0.00,399.00,$3.20 ,"$1,276.80 "
18630,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Marrion,Marrion,recycled,poly/recycled,0.00,0.00,365.80,$3.58 ,"$1,309.56 "
18356,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,CARIBBEAN,1274,,,0.00,0.00,480.00,$2.75 ,"$1,320.00 "
11937,OMARA TEXTILES,1/145/34,100%,Polyester,BROWN,J360,,,0.00,0.00,514.00,$2.63 ,"$1,351.82 "
18616,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Blue Navy,Navy,Blue Navy,,0.00,0.00,648.00,$2.23 ,"$1,445.04 "
18966,Betareks A. S.,1/1,100%,Lurex,Silver,2X20,silver,lurex,0.00,-293.28,-141.08,$9.50 ,"$1,445.90 "
18373,DECA GLOBAL,2/150/48,100%,Polyester,Black,,,,60.00,0.00,"1,235.33",$1.25 ,"$1,469.16 "
12306,NASP,1/150/48,100%,Polyester,COPPER,407J,,,0.00,0.00,542.30,$2.71 ,"$1,469.63 "
18849,MINIFIBERS,1/150/50,100%,Polyethylene,Black,MUST,HAVE,APPROVAL,0.00,0.00,297.00,$4.97 ,"$1,476.09 "
12308,NASP,1/150/48,100%,Polyester,SAND,015K,,,0.00,0.00,548.90,$2.85 ,"$1,564.37 "
18466,BUHLER QUALITY YARNS CORP,30/1,100%,Tencel,Natural,A100,RS,,0.00,0.00,351.00,$4.54 ,"$1,593.54 "
18442,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,MINK,,,,94.00,-155.01,424.32,$3.39 ,"$1,645.25 "
18728,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,INDIGO,4015-01709-A,,,0.00,0.00,495.00,$3.36 ,"$1,663.20 "
18164,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,GLACRGREY,,,,0.00,-280.00,234.39,$3.33 ,"$1,712.90 "
18819,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Brown Mink,Mink,,,68.00,0.00,583.36,$3.36 ,"$1,731.60 "
18229,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,LT GREY,GREY,LT GREY,,0.00,0.00,530.00,$3.30 ,"$1,749.00 "
18987,DECA GLOBAL,4/300/72,100%,Polyester,Natural,Dull,stretch,,"17,782.80","-2,066.40","17,367.22",$1.10 ,"$1,815.91 "
18047,OMARA TEXTILES,1/150/48,100%,Polyester,Pewter,,,,402.00,0.00,890.00,$3.74 ,"$1,825.12 "
18937,MINIFIBERS,1/300/68,100%,Polypropylene,Navy,,,,0.00,0.00,451.58,$4.25 ,"$1,919.20 "
18753,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Natural,4015-01670,,,0.00,0.00,583.00,$3.36 ,"$1,958.88 "
18649,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Optico,Optico,31,,0.00,0.00,538.90,$3.65 ,"$1,966.99 "
11461,SPDY,1/150/48,100%,Polyester,PALEGREEN,11247,,,0.00,0.00,731.00,$2.70 ,"$1,973.70 "
18653,UNIFI,1/180/204,100%,Polyester,Natural,Repreve,REPREV,,0.00,0.00,645.90,$3.09 ,"$1,995.83 "
18139,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Blue,142,,,0.00,0.00,713.00,$2.80 ,"$1,996.40 "
18622,OMARA TEXTILES,1/150/48,100%,Polyester,Basalt,HOY,Flat,Bright,0.00,0.00,759.00,$2.66 ,"$2,018.94 "
18960,MERIDIAN SPECIALTY YARN GROUP INC,20/1,100%,Polyester,Black,RS,,,0.00,-424.31,-126.68,$6.91 ,"$2,056.62 "
11942,AMES (Do not Use),1/167/46,100%,Polyester,RAGGIO,,,,0.00,0.00,577.00,$3.63 ,"$2,094.51 "
18748,PARKDALE YARN MILLS,20/1,90/10,Karded Cotton/Poly,Black,Black,10%,RS,0.00,0.00,806.70,$2.69 ,"$2,170.02 "
18143,OMARA TEXTILES,1/150/48,100%,Polyester,PENNY,U622,,,0.00,0.00,645.22,$3.49 ,"$2,251.82 "
18726,PARKDALE YARN MILLS,8/1,100%,Karded Cotton,Natural,Natural,OE,,0.00,0.00,"1,571.00",$1.44 ,"$2,262.24 "
18836,MERIDIAN SPECIALTY YARN GROUP INC,20/1,100%,Combed Cotton,Almond,Almond,GOTS,-,0.00,0.00,362.00,$6.27 ,"$2,269.74 "
18293,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,MAR ROYAL,ROYAL,MAR ROYAL,,0.00,0.00,687.75,$3.36 ,"$2,310.83 "
18361,BUHLER QUALITY YARNS CORP,20/1,100%,Tencel,Natural,RS,,,0.00,0.00,826.90,$2.90 ,"$2,398.01 "
18559,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Daybreak,,,,0.00,0.00,767.25,$3.29 ,"$2,524.27 "
18724,OMARA TEXTILES,1/150/68,100%,Nylon,Natural,Flat,Econyl,K716,0.00,0.00,473.00,$5.46 ,"$2,582.58 "
12047,OMARA TEXTILES,1/150/48,100%,Polyester,Silver,FLTBRT,,,"3,000.00","-1,665.55","2,124.19",$3.33 ,"$2,629.84 "
18328,SPUNLAB,30/1,80/12/8,Polyester/Rayon/Cotton,CAVRN,40%,Black,,0.00,0.00,763.00,$3.47 ,"$2,647.61 "
18734,OMARA TEXTILES,1/200,100%,Polyethylene,STORMY,,,,0.00,0.00,538.00,$5.00 ,"$2,690.00 "
11570,OMARA TEXTILES,1/150/48,100%,Polyester,SANDAL,U249,,,0.00,0.00,767.00,$3.60 ,"$2,761.20 "
18086,KC TEX INC,30/1,100%,Rayon,Natural,,,,0.00,0.00,"1,298.00",$2.16 ,"$2,803.68 "
18430,SPUNLAB,30/1,100%,Celliant,Natural,,,,0.00,0.00,552.00,$5.11 ,"$2,820.72 "
18876,DUNAWAY YARNS INC,20/1,100%,Combed Cotton,Natural,Natural,GOTS,RS,0.00,0.00,"1,071.91",$2.65 ,"$2,840.56 "
18835,MERIDIAN SPECIALTY YARN GROUP INC,20/1,100%,Combed Cotton,Caraway,Caraway,GOTS,-,0.00,0.00,452.42,$6.34 ,"$2,868.36 "
18939,MINIFIBERS,1/300/68,100%,Polypropylene,Tan,,,,0.00,0.00,677.18,$4.25 ,"$2,878.03 "
18307,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,IRIS,,,,0.00,0.00,867.49,$3.36 ,"$2,914.78 "
18610,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Lime,1459,,,0.00,0.00,883.00,$3.38 ,"$2,984.54 "
18794,DECA GLOBAL,2/300/68,100%,Polyester,Black,S&Z,BSD,DH,0.00,-902.89,921.83,$1.65 ,"$3,010.77 "
12329,FILSPEC Yarns,30/1,90/10,Tencel/Silk,Natural,SILK,,,0.00,0.00,416.90,$7.25 ,"$3,022.53 "
18396,UNIFI,1/70/68,100%,Polyester,OYST MUSH,MUSH,OYST MUSH,,0.00,0.00,558.00,$5.45 ,"$3,041.10 "
18613,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Merrimack,Grey Merrimack,,,0.00,-236.46,"1,161.43",$2.18 ,"$3,047.40 "
18556,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Dorian,Grey,4015-01524-F2,,0.00,0.00,"1,099.00",$2.80 ,"$3,077.20 "
18150,KC TEX INC,30/1,100%,Bamboo,Natural,RS,,,0.00,0.00,"1,363.00",$2.26 ,"$3,080.38 "
18513,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Ash,Grey,4015-01470,,0.00,0.00,"1,110.00",$2.80 ,"$3,108.00 "
18327,SPUNLAB,30/1,80/12/8,Polyester/Rayon/Cotton,OXFRD HTH,HTH,OXFRD HTH,RS,0.00,0.00,"1,029.00",$3.05 ,"$3,138.45 "
18570,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Dovetail,,,,0.00,0.00,"1,156.00",$2.80 ,"$3,236.80 "
18383,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,SILVRCOIN,SETLTS,,,0.00,0.00,"1,169.00",$2.80 ,"$3,273.20 "
18888,"EDPA USA, LLC",30/1,50/50,Polyester/Cotton, 50% Black,50%,,,0.00,0.00,"1,286.80",$2.56 ,"$3,294.21 "
19000,DECA GLOBAL,30/1,90/10,Polyester, 10% Black,10%,RS,,"3,731.30",0.00,"5,700.00",$1.69 ,"$3,327.10 "
18372,DECA GLOBAL,1/150/48,100%,Polyester,Black,,,,186.00,-338.69,"3,247.95",$1.03 ,"$3,502.66 "
18444,OMARA TEXTILES,2/150/36,100%,Polyester,Merrimack,A368,,,0.00,0.00,924.00,$3.84 ,"$3,548.16 "
18312,PROMPTEX YARNS INC,30/1,100%,Polyester,OB,RS,,,0.00,0.00,"2,647.60",$1.35 ,"$3,574.26 "
18930,MERIDIAN SPECIALTY YARN GROUP INC,30/1,100%,Combed Cotton,Caraway,Caraway,GOTS,-,0.00,0.00,558.00,$6.44 ,"$3,593.52 "
18710,PARKDALE YARN MILLS,18/1,90/10,Karded Cotton/Poly,Black,Black,10%,OE,0.00,0.00,"2,286.00",$1.62 ,"$3,703.32 "
18593,UNIFI,1/150/136,100%,Polyester,Natural,Repreve,PC,-,0.00,0.00,"1,312.40",$2.86 ,"$3,753.46 "
18766,OMARA TEXTILES,1/150/48,100%,Polyester,Aqua,A487,,,0.00,0.00,"1,120.00",$3.40 ,"$3,808.00 "
11429,OMARA TEXTILES,1/150/48,100%,Polyester,Blue,LIGHT,U324,,0.00,0.00,"1,047.00",$3.70 ,"$3,873.90 "
18605,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Lino,Lino,recycled,polyester/recycled,0.00,0.00,"1,104.90",$3.53 ,"$3,900.30 "
18555,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Blush,4015-01461-A,,,0.00,0.00,"1,200.00",$3.26 ,"$3,912.00 "
18878,DECA GLOBAL,18/1,65/35,Polyester/Cotton, 65% Black,65%,,,0.00,-89.58,"2,655.39",$1.47 ,"$4,035.10 "
18476,TEXPERTS CANADA INC,1/200/100,100%,Polyethylene,Natural,Set,,,0.00,0.00,450.70,$9.25 ,"$4,168.98 "
18923,MINIFIBERS,1/300/68,100%,Polypropylene,Natural,100%,Recycled,,0.00,0.00,"1,098.00",$3.82 ,"$4,194.36 "
18625,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Aqua,,,,0.00,0.00,"1,520.00",$2.91 ,"$4,423.20 "
18477,TEXPERTS CANADA INC,1/210/144,40/60,Polyethylene/Polyester,Natural,Set,,,0.00,0.00,565.00,$8.00 ,"$4,520.00 "
11344,UNIFI,2/70/68,100%,Nylon,FD,T66STR,,,"1,800.00","-1,386.11","1,299.30",$5.15 ,"$4,559.88 "
18893,DECA GLOBAL,1/150/48,100%,Polyester,Connect Blue,Blue,Connect Blue,,"12,000.00",-70.42,"14,201.54",$2.20 ,"$4,998.29 "
18547,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Pewter,,,,0.00,-1.98,"1,794.02",$2.80 ,"$5,028.80 "
18854,PARKDALE YARN MILLS,30/1,98/2,Karded Cotton/Poly,Black,Black,2%,2%,0.00,0.00,"2,946.10",$1.82 ,"$5,361.90 "
19030,DUNAWAY YARNS INC,30/1,100%,Polyester,Natural,RS,,,0.00,0.00,"4,000.80",$1.35 ,"$5,401.08 "
7716,PARKDALE YARN MILLS,24/1,100%,Combed Cotton,Natural,NAT,RS,,"5,217.00","-2,400.00","5,173.00",$2.31 ,"$5,442.36 "
18628,OMARA TEXTILES,1/150/48,100%,Polyester,Bahama,HOY,Flat,Bright,0.00,0.00,"1,910.00",$2.91 ,"$5,558.10 "
18679,UNIFI,1/70/68,100%,Polyester,Natural,Celliant,Repreve,,0.00,"-1,208.38",918.17,$2.67 ,"$5,677.87 "
18993,DECA GLOBAL,1/75/36,100%,Polyester,Black,,,,"36,704.20",0.00,"40,000.00",$1.75 ,"$5,767.65 "
18895,MURAT YAPI,28/1,67/33,Polyester/Viscose, 2% Black,PV,KARIP,,0.00,0.00,"3,815.40",$1.52 ,"$5,799.41 "
18208,UNIFI,2/70/130,100%,Polyester,HEATHER,SET,TS,,0.00,-165.15,"2,146.24",$2.60 ,"$6,009.64 "
18228,NORMTEX,1/75/36,100%,Polyester,Black,SOLDY,SETNTS,,0.00,-35.06,"4,801.84",$1.25 ,"$6,046.12 "
18931,MERIDIAN SPECIALTY YARN GROUP INC,30/1,100%,Combed Cotton,Almond,Almond,GOTS,-,0.00,0.00,961.00,$6.37 ,"$6,121.57 "
18363,PROMPTEX YARNS INC,1/75/36,100%,Polyester,Black,SOLDY,STRLTS,,0.00,0.00,"3,659.80",$1.68 ,"$6,148.46 "
18469,HYOSUNG HOLDINGS USA INC,1/50/1,100%,Polyester,Natural,Dull,Monofilament,,0.00,-517.21,"4,039.91",$1.37 ,"$6,243.26 "
18891,"EDPA USA, LLC",30/1,50/50,Polyester/Cotton,Evening Haze,Haze,Evening Haze,,0.00,0.00,"2,441.40",$2.56 ,"$6,249.98 "
18133,OMARA TEXTILES,1/150/48,100%,Polyester,MOKKA,J133,,,0.00,0.00,"1,592.00",$3.98 ,"$6,336.16 "
18623,OMARA TEXTILES,1/150/48,100%,Polyester,Maldive,HOY,Flat,Bright,0.00,0.00,"2,172.00",$2.92 ,"$6,342.24 "
18598,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Paris Blue,Blue,Paris Blue,,0.00,"-1,878.13",20.51,$3.36 ,"$6,379.42 "
11967,OMARA TEXTILES,1/150/48,100%,Polyester,Merrimack,A368,,,885.00,-58.30,"2,579.44",$3.70 ,"$6,485.12 "
18935,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Tide,,,,0.00,0.00,"1,969.00",$3.36 ,"$6,615.84 "
18845,CS AMERICA,1/75/72,100%,Polyester,Natural,Non,Metered,-,"14,491.00","-14,805.80","5,359.06",$1.20 ,"$6,808.63 "
18821,MERIDIAN SPECIALTY YARN GROUP INC,24/1,100%,Combed Cotton,Hazelnut,Hazelnut,RS,,0.00,0.00,811.00,$8.55 ,"$6,934.05 "
18887,"EDPA USA, LLC",24/1,100%,Polyester, 2% Black,,,,0.00,0.00,"3,768.50",$1.91 ,"$7,197.84 "
18452,DECA GLOBAL,1/150/72,100%,Polyester,BLK/WHT,STRIAT,,,0.00,"-3,890.78","1,920.73",$1.25 ,"$7,264.38 "
18184,OMARA TEXTILES,1/150/48,100%,Polyester,CAPRI,U640,,,"1,019.00",0.00,"3,038.56",$3.69 ,"$7,452.17 "
18317,CS AMERICA,1/200/192,100%,Polyester,Natural,SETSTS,,,0.00,0.00,"3,972.00",$1.90 ,"$7,546.80 "
18359,PROMPTEX YARNS INC,20/1,100%,Polyester,Natural,RS,,,0.00,0.00,"6,461.70",$1.20 ,"$7,754.04 "
18865,UNIFI,1/70/34,100%,Polyester,Natural,Set,TS,-,"11,553.70","-76,272.42","-57,463.60",$1.10 ,"$7,980.63 "
18990,PARKDALE YARN MILLS,30/1,90/10,Combed Cotton/Poly,Black,Black,10%,10%,0.00,0.00,"4,781.29",$1.75 ,"$8,367.26 "
10742,UNIFI,1/150/48,100%,Polyester,LTCUPRBEI,1%,,,0.00,0.00,"1,082.90",$7.88 ,"$8,533.25 "
18961,OMARA TEXTILES,1/150/48,100%,Polyester,Dawn Grey,Grey,,,0.00,"-1,593.66","1,912.85",$2.45 ,"$8,590.96 "
18285,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Navy,NTS,,,0.00,"-2,458.48",50.34,$3.45 ,"$8,655.44 "
19021,PARKDALE YARN MILLS,28/1,90/10,Combed Cotton/Poly,Black,Black,10%,10%,0.00,0.00,"3,624.08",$2.40 ,"$8,697.78 "
18776,VERTEX,1/300/120,100%,Polyethylene,Argent,Melange,,,20.00,0.00,"1,194.00",$7.45 ,"$8,746.30 "
