job,updated_by,quoted_date,uom,qty_G00,requested_date,qty_shipped,id,knitter,sched_done_dt,balance,qty_received,knit_start,sched_enter_dt,seconds,instructions,close_dt,knit_style_base,created_by,note,created_date,internal_notes,modified,costing_exception_overridden,knit_price,unit_cost_yarn,machine,knit_version,schedule_status,customer_service_rep,active,ship_to_processor,qty_ordered,status,ship_to,split_from,serial_number,sched_enter_by,related_dye_order_plan,sched_done_by,purchase_order,bki
34394,9,,lbs,,2025-09-19,,6622,1,,200,0,2025-09-11,2025-09-10 09:05:28.493991,,,,"{'base_style': 'CF1088N', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 2261, 'id': 1089, 'active': 1}",9,,2025-09-10 09:05:28.493991,,2025-09-10 09:05:28.493991,0,1.10,9.39097,519,"{'active': 1, 'id': 6358, 'created_date': '2025-09-05', 'version': '2', 'act_yard_cut_wt': None, 'knit_style_base': 1089, 'foreign_id': 8530, 'roll_size': '50', 'target_yard_cut_wt': '10.6', 'created_time': '11:33:55.229649', 'modified': '2025-09-10 09:04:20.781456', 'price': '1.10'}",Required,1,1,4.0,200,Open,,,K2509027,9,,,,
34389,52,,lbs,,2025-10-02,,6621,1,,4000,0,2025-09-11,2025-09-09 16:53:00.772706,,,,"{'id': 2130, 'active': 1, 'foreign_id': 3694, 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2838'}",52,,2025-09-09 16:53:00.772706,,2025-09-12 15:28:16.983884,0,1.25,1.53623,201,"{'id': 6365, 'active': 1, 'version': '1D', 'created_date': '2025-09-09', 'act_yard_cut_wt': '42.60', 'knit_style_base': 2130, 'foreign_id': 8538, 'roll_size': '250', 'created_time': '16:14:46.574802', 'target_yard_cut_wt': '42.00', 'price': '1.25', 'modified': '2025-09-12 15:26:04.074752'}",Required,19,1,,4000,Open,,,K2509026,52,9106.0,,,45471
34369,52,,lbs,505,2025-09-23,248,6620,1,,4247,753,2025-09-09,2025-09-09 13:29:58.49298,,,,"{'active': 1, 'id': 2395, 'foreign_id': 4009, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2840'}",52,,2025-09-09 13:29:58.49298,,2025-09-12 17:36:18.526648,0,1.25,1.53724,212,"{'target_yard_cut_wt': '39.60', 'created_time': '11:08:19.132651', 'modified': '2025-09-09 13:36:57.161446', 'price': '1.25', 'foreign_id': 8534, 'roll_size': '250', 'act_yard_cut_wt': '40.80', 'knit_style_base': 2395, 'id': 6361, 'active': 1, 'created_date': '2025-09-09', 'version': '1P'}",Required,19,1,,5000,Open,,,K2509025,52,9103.0,,,
34366,52,,lbs,443,2025-10-07,442,6619,1,,13865,885,2025-09-09,2025-09-09 11:11:46.443514,,,,"{'active': 1, 'id': 2257, 'foreign_id': 3841, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE3050'}",52,,2025-09-09 11:11:46.443514,,2025-09-12 19:26:18.313341,0,1.25,1.52919,135,"{'version': '1D', 'created_date': '2025-08-27', 'id': 6346, 'active': 1, 'knit_style_base': 2257, 'act_yard_cut_wt': '31.70', 'roll_size': '250', 'foreign_id': 8516, 'price': '1.25', 'modified': '2025-08-28 08:55:59.555743', 'created_time': '14:14:12.407594', 'target_yard_cut_wt': '31.00'}",Required,19,1,,14750,Open,,,K2509024,52,9102.0,,,
34343,80,,lbs,,2025-09-12,,6618,1,,50,0,2025-09-10,2025-09-08 13:16:20.294973,,,,"{'base_style': 'CV4811A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3529, 'foreign_id': 5487}",80,,2025-09-08 13:16:20.294973,,2025-09-08 13:24:55.302958,0,1.25,2.22212,15,"{'roll_size': '50', 'foreign_id': 8532, 'price': '1.25', 'modified': '2025-09-08 13:12:35.988836', 'created_time': '11:34:25.198091', 'target_yard_cut_wt': '22.00', 'version': '1', 'created_date': '2025-09-08', 'active': 1, 'id': 6359, 'knit_style_base': 3529, 'act_yard_cut_wt': None}",Required,16,1,,50,Open,,,K2509023,80,,,,45463
34335,9,,lbs,,2025-09-26,,6617,1,,500,0,2025-09-22,2025-09-06 11:01:39.576378,,,,"{'base_style': '1SM0824-60', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 2982, 'foreign_id': 4795}",9,,2025-09-06 11:01:39.576378,,2025-09-06 11:02:09.057392,0,1.25,4.29878,37,"{'created_date': '2024-05-14', 'version': '0', 'id': 5317, 'active': 1, 'knit_style_base': 2982, 'act_yard_cut_wt': '26.04', 'roll_size': '80', 'foreign_id': 7318, 'modified': '2025-02-11 13:53:19.809013', 'price': '1.25', 'target_yard_cut_wt': '23.50', 'created_time': '13:46:46.971027'}",Required,1,1,3.0,500,Open,,,K2509022,9,9094.0,,,
34334,9,,lbs,,2025-09-26,,6616,1,,1500,0,2025-09-15,2025-09-06 11:00:18.515454,,,,"{'foreign_id': 61, 'active': 1, 'id': 749, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '661SM0781'}",9,,2025-09-06 11:00:18.515454,,2025-09-06 11:00:37.521606,0,1.50,3.90837,84,"{'active': 1, 'id': 1307, 'version': '0', 'created_date': '2018-03-26', 'act_yard_cut_wt': '23.48', 'knit_style_base': 749, 'foreign_id': 61, 'roll_size': '100', 'created_time': '10:25:49.325466', 'target_yard_cut_wt': '23.50', 'price': '1.50', 'modified': '2025-01-13 11:38:49.932044'}",Required,1,1,3.0,1500,Open,,,K2509021,9,9093.0,,,
34333,9,,lbs,,2025-11-07,,6615,1,,9900,0,2025-10-06,2025-09-06 10:58:39.482546,,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '751SM0780', 'foreign_id': 290, 'id': 542, 'active': 1}",9,,2025-09-06 10:58:39.482546,,2025-09-06 10:59:03.51279,0,1.25,3.3911,45,"{'id': 1045, 'active': 1, 'created_date': '2018-06-22', 'version': '1', 'act_yard_cut_wt': '28.36', 'knit_style_base': 542, 'foreign_id': 290, 'roll_size': '125', 'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493', 'modified': '2023-11-29 22:58:58.768231', 'price': '1.25'}",Required,1,1,3.0,9900,Open,,,K2509020,9,9092.0,,,
34332,9,,lbs,,2025-10-17,,6614,1,,1700,0,2025-09-29,2025-09-06 10:56:42.562156,,,,"{'active': 1, 'id': 691, 'foreign_id': 221, 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '721SM0627'}",9,,2025-09-06 10:56:42.562156,,2025-09-06 10:57:17.320269,0,0.60,4.13447,45,"{'created_date': '2020-08-25', 'version': '1', 'active': 1, 'id': 1767, 'knit_style_base': 691, 'act_yard_cut_wt': '29.04', 'roll_size': '80', 'foreign_id': 2912, 'modified': '2024-02-22 08:45:10.369645', 'price': '0.60', 'target_yard_cut_wt': '24.5', 'created_time': '11:46:10.770839'}",Required,1,1,3.0,1700,Open,,,K2509019,9,9091.0,,,
34331,9,,lbs,,2025-10-31,,6613,1,,3400,0,2025-10-06,2025-09-06 10:55:24.987491,,,,"{'id': 657, 'active': 1, 'foreign_id': 399, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '721SM0470'}",9,,2025-09-06 10:55:24.987491,,2025-09-06 10:55:52.969565,0,0.60,4.19,45,"{'foreign_id': 389, 'roll_size': '80', 'target_yard_cut_wt': '27.00', 'created_time': '16:48:33.114705', 'modified': '2023-12-08 14:23:47.553408', 'price': '0.60', 'id': 1207, 'active': 1, 'created_date': '2018-07-20', 'version': 'U', 'act_yard_cut_wt': '25.98', 'knit_style_base': 657}",Required,1,1,3.0,3400,Open,,,K2509018,9,9090.0,,,
34330,9,,lbs,,2025-10-13,,6612,1,,1300,0,2025-09-29,2025-09-06 10:53:45.715029,,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '701SM0824', 'foreign_id': 1875, 'id': 891, 'active': 1}",9,,2025-09-06 10:53:45.715029,,2025-09-06 10:54:28.465274,0,1.25,4.29989,45,"{'roll_size': '80', 'foreign_id': 2611, 'price': '1.25', 'modified': '2025-09-02 13:46:58.952881', 'created_time': '09:54:48.123885', 'target_yard_cut_wt': '26.40', 'version': '0', 'created_date': '2020-05-08', 'active': 1, 'id': 1545, 'knit_style_base': 891, 'act_yard_cut_wt': '25.72'}",Required,1,1,3.0,1300,Open,,,K2509017,9,9089.0,,,
34329,9,,lbs,,2025-10-17,,6611,1,,800,0,2025-09-29,2025-09-06 10:52:06.979902,,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '641SM0693', 'foreign_id': 218, 'active': 1, 'id': 693}",9,,2025-09-06 10:52:06.979902,,2025-09-06 10:52:39.637087,0,0.50,4.3046,37,"{'created_time': '11:55:52.834119', 'target_yard_cut_wt': '22', 'price': '0.50', 'modified': '2024-02-22 08:40:28.19768', 'foreign_id': 214, 'roll_size': '80', 'act_yard_cut_wt': '24.38', 'knit_style_base': 693, 'active': 1, 'id': 1245, 'version': '0', 'created_date': '2018-05-31'}",Required,1,1,3.0,800,Open,,,K2509016,9,9088.0,,,
34328,9,,lbs,,2025-11-07,,6610,1,,3100,0,2025-09-29,2025-09-06 10:50:17.855538,,,,"{'active': 1, 'id': 505, 'foreign_id': 198, 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '601SM0654'}",9,,2025-09-06 10:50:17.855538,,2025-09-06 10:51:11.111761,0,0.80,4.33042,37,"{'knit_style_base': 505, 'act_yard_cut_wt': '26.20', 'created_date': '2018-11-06', 'version': '2', 'id': 996, 'active': 1, 'modified': '2023-11-29 22:59:16.399766', 'price': '0.80', 'target_yard_cut_wt': '29.00', 'created_time': '14:51:33.186626', 'roll_size': '80', 'foreign_id': 844}",Required,1,1,3.0,3100,Open,,,K2509015,9,9087.0,,,
34327,9,,lbs,,2025-11-07,,6609,1,,1500,0,2025-09-29,2025-09-06 10:48:22.389714,,,,"{'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '601SM0312', 'active': 1, 'id': 211, 'foreign_id': 1064}",9,,2025-09-06 10:48:22.389714,,2025-09-06 10:49:02.176866,0,0.50,4.24132,37,"{'foreign_id': 3301, 'roll_size': '100', 'target_yard_cut_wt': '32.80', 'created_time': '15:37:10.015726', 'modified': '2025-02-07 09:00:11.655141', 'price': '0.50', 'active': 1, 'id': 1997, 'created_date': '2021-02-04', 'version': 'M2', 'act_yard_cut_wt': '30.38', 'knit_style_base': 211}",Required,1,1,3.0,1500,Open,,,K2509014,9,9086.0,,,
34326,5,,lbs,,2025-11-07,,6608,1,,11000,0,2025-09-24,2025-09-06 10:46:24.61912,,,,"{'base_style': '1SM0470', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'foreign_id': 644, 'active': 1, 'id': 422}",9,,2025-09-06 10:46:24.61912,,2025-09-08 22:37:40.15819,0,0.60,4.19,127,"{'foreign_id': 692, 'roll_size': '100', 'target_yard_cut_wt': '19.70', 'created_time': '16:46:28.100415', 'modified': '2023-11-29 22:59:37.035053', 'price': '0.60', 'id': 860, 'active': 1, 'created_date': '2018-10-03', 'version': '30G', 'act_yard_cut_wt': '22.58', 'knit_style_base': 422}",Required,1,1,3.0,11000,Open,,,K2509013,9,9085.0,,,
34305,52,,lbs,,2025-10-03,,6607,1,,1000,0,2025-09-08,2025-09-05 11:34:41.291269,,Serta,,"{'base_style': 'C1B4378A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 4826, 'active': 1, 'id': 3003}",52,,2025-09-05 11:34:41.291269,,2025-09-05 11:36:02.096144,0,0.85,1.7488,,"{'act_yard_cut_wt': '22.10', 'knit_style_base': 3003, 'active': 1, 'id': 6071, 'created_date': '2025-04-22', 'version': '1L', 'target_yard_cut_wt': '24.32', 'created_time': '16:28:28.004098', 'modified': '2025-04-30 09:40:24.735752', 'price': '0.85', 'foreign_id': 8183, 'roll_size': '250'}",,19,1,,1000,Open,,,K2509012,52,9084.0,,,
34304,5,,lbs,449.3,2025-09-26,769,6606,1,,3781.7,1218.3,2025-09-05,2025-09-05 10:07:33.075352,48.7,,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2839', 'id': 2131, 'active': 1, 'foreign_id': 3695}",52,,2025-09-05 10:07:33.075352,,2025-09-12 18:46:08.909077,0,1.25,1.5356,211,"{'active': 1, 'id': 6357, 'version': '1DE', 'created_date': '2025-09-05', 'act_yard_cut_wt': '41.82', 'knit_style_base': 2131, 'foreign_id': 8529, 'roll_size': '250', 'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'price': '1.25', 'modified': '2025-09-05 16:17:30.780139'}",Required,19,1,,5000,Open,,,K2509011,52,9083.0,,,
34295,80,,lbs,,2025-09-22,,6605,1,,450,0,2025-09-11,2025-09-04 15:47:29.371355,,,,"{'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CT4808', 'active': 1, 'id': 3528, 'foreign_id': 5484}",80,,2025-09-04 15:47:29.371355,,2025-09-04 15:57:21.719595,0,1.00,0.95,538,"{'price': '1.00', 'modified': '2025-09-12 14:50:04.531069', 'created_time': '16:54:03.026868', 'target_yard_cut_wt': '17.5', 'roll_size': '50', 'foreign_id': 8524, 'knit_style_base': 3528, 'act_yard_cut_wt': '17.555', 'version': '0', 'created_date': '2025-09-02', 'id': 6354, 'active': 1}",Required,16,1,,450,Open,,,K2509010,80,9081.0,,,45452
34287,5,,lbs,,2025-10-10,,6604,1,,5000,0,2025-09-15,2025-09-04 13:20:09.308775,,,,"{'foreign_id': 290, 'active': 1, 'id': 542, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '751SM0780'}",9,,2025-09-04 13:20:09.308775,,2025-09-08 22:48:26.458205,0,1.25,3.3911,100,"{'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493', 'modified': '2023-11-29 22:58:58.768231', 'price': '1.25', 'foreign_id': 290, 'roll_size': '125', 'act_yard_cut_wt': '28.36', 'knit_style_base': 542, 'active': 1, 'id': 1045, 'created_date': '2018-06-22', 'version': '1'}",Required,1,1,3.0,5000,Open,,,K2509009,9,9080.0,,,
34285,9,,lbs,27,2025-10-03,379.3,6603,1,,3930.2,389.8,2025-09-05,2025-09-04 12:02:28.11132,71.5,,,"{'base_style': 'CF5500', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3410, 'foreign_id': 5330}",9,,2025-09-04 12:02:28.11132,,2025-09-12 10:36:09.680374,0,1.00,4.59504,542,"{'act_yard_cut_wt': '7.835', 'knit_style_base': 3410, 'id': 6355, 'active': 1, 'created_date': '2025-09-03', 'version': 'TUB1', 'target_yard_cut_wt': '7.50', 'created_time': '09:45:52.30056', 'modified': '2025-09-05 16:45:04.392268', 'price': '1.00', 'foreign_id': 8525, 'roll_size': '40'}",Required,1,1,4.0,4320,Open,,,K2509008,9,9078.0,,,
34270,9,,lbs,540.0,2025-10-03,12.1,6602,1,,5860,540.0,2025-09-08,2025-09-03 12:58:02.982768,12.1,,,"{'foreign_id': 495, 'id': 614, 'active': 1, 'base_style': '71246', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}",9,,2025-09-03 12:58:02.982768,,2025-09-11 18:01:12.663163,0,0.80,7.85144,115,"{'roll_size': '50', 'foreign_id': 8159, 'modified': '2025-07-25 12:58:44.90066', 'price': '0.80', 'target_yard_cut_wt': '11.00', 'created_time': '11:36:16.78898', 'created_date': '2025-04-08', 'version': 'BB', 'active': 1, 'id': 6051, 'knit_style_base': 614, 'act_yard_cut_wt': '12.05'}",Required,1,1,1.0,6400,Open,,,K2509007,9,,,,
34269,5,,lbs,,2025-11-28,,6601,1,,11200,0,2025-10-17,2025-09-03 12:57:00.755907,,,,"{'base_style': 'DFF446J', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 765, 'active': 1, 'foreign_id': 716}",9,,2025-09-03 12:57:00.755907,,2025-09-08 22:09:12.40019,0,0.75,7.35,44,"{'id': 5107, 'active': 1, 'version': 'B', 'created_date': '2024-01-31', 'act_yard_cut_wt': '10.22', 'knit_style_base': 765, 'foreign_id': 7079, 'roll_size': '50', 'created_time': '15:49:41.0976', 'target_yard_cut_wt': '8.75', 'price': '0.75', 'modified': '2025-09-11 08:36:31.101736'}",Required,1,1,1.0,11200,Open,,,K2509006,9,,,,
