job,uom,qty_G00,requested_date,quoted_date,knitter,qty_shipped,id,updated_by,seconds,instructions,sched_done_dt,balance,knit_start,sched_enter_dt,qty_received,created_date,note,internal_notes,knit_style_base,close_dt,created_by,machine,unit_cost_yarn,knit_version,knit_price,modified,costing_exception_overridden,customer_service_rep,active,ship_to_processor,schedule_status,sched_enter_by,split_from,serial_number,status,ship_to,qty_ordered,sched_done_by,purchase_order,related_dye_order_plan,bki
34402,lbs,,2025-09-16,,1,,6628,80,,,,50,2025-09-15,2025-09-10 11:30:49.244401,0,2025-09-10 11:30:49.244401,,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4806A', 'active': 1, 'id': 3532, 'foreign_id': 5490}",,80,15,1.66174,"{'act_yard_cut_wt': None, 'knit_style_base': 3532, 'active': 1, 'id': 6363, 'version': '1', 'created_date': '2025-09-09', 'created_time': '13:01:59.210668', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-10 11:29:25.386043', 'foreign_id': 8536, 'roll_size': '50'}",1.25,2025-09-10 13:06:26.310657,0,16,1,,Required,80,,K2509033,Open,,50,,,,45479
34399,lbs,,2025-09-16,,1,,6626,80,,,,50,2025-09-15,2025-09-10 11:01:28.554245,0,2025-09-10 11:01:28.554245,,,"{'id': 3533, 'active': 1, 'foreign_id': 5491, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4810A'}",,80,15,1.66174,"{'active': 1, 'id': 6364, 'version': '1', 'created_date': '2025-09-09', 'act_yard_cut_wt': None, 'knit_style_base': 3533, 'foreign_id': 8537, 'roll_size': '50', 'created_time': '15:16:55.719858', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-10 03:16:55.459887'}",1.25,2025-09-10 11:22:50.864522,0,16,1,,Required,80,,K2509031,Open,,50,,,,45477
34397,lbs,,2025-09-16,,1,,6625,80,,,,50,2025-09-15,2025-09-10 10:30:52.018665,0,2025-09-10 10:30:52.018665,,,"{'id': 3531, 'active': 1, 'foreign_id': 5489, 'base_style': 'CV4809A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,80,15,1.66174,"{'knit_style_base': 3531, 'act_yard_cut_wt': None, 'version': '1', 'created_date': '2025-09-09', 'id': 6362, 'active': 1, 'price': '1.25', 'modified': '2025-09-10 03:16:54.758829', 'created_time': '13:00:38.005686', 'target_yard_cut_wt': '22.00', 'roll_size': '50', 'foreign_id': 8535}",1.25,2025-09-10 11:14:45.846138,0,16,1,,Required,80,,K2509030,Open,,50,,,,45476
34396,lbs,,2025-09-16,,1,,6624,80,,,,50,2025-09-15,2025-09-10 10:18:36.314521,0,2025-09-10 10:18:36.314521,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4812A', 'foreign_id': 5488, 'id': 3530, 'active': 1}",,80,15,1.4,"{'foreign_id': 8533, 'roll_size': '50', 'created_time': '10:55:44.75943', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-09 14:04:31.181941', 'id': 6360, 'active': 1, 'version': '1', 'created_date': '2025-09-09', 'act_yard_cut_wt': None, 'knit_style_base': 3530}",1.25,2025-09-10 10:27:17.302652,0,16,1,,Required,80,,K2509029,Open,,50,,,,45475
34395,lbs,489,2025-10-08,,1,489,6623,52,,Purple,,11522,2025-09-10,2025-09-10 09:45:39.868184,978,2025-09-10 09:45:39.868184,,,"{'foreign_id': 3695, 'id': 2131, 'active': 1, 'base_style': 'CEE2839', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,52,213,1.5356,"{'roll_size': '250', 'foreign_id': 8529, 'price': '1.25', 'modified': '2025-09-05 16:17:30.780139', 'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'version': '1DE', 'created_date': '2025-09-05', 'id': 6357, 'active': 1, 'knit_style_base': 2131, 'act_yard_cut_wt': '41.82'}",1.25,2025-09-13 12:16:10.25031,0,19,1,,Required,52,,K2509028,Open,,12500,,,9107.0,45474
34394,lbs,,2025-09-19,,1,,6622,9,,,,200,2025-09-11,2025-09-10 09:05:28.493991,0,2025-09-10 09:05:28.493991,,,"{'foreign_id': 2261, 'id': 1089, 'active': 1, 'base_style': 'CF1088N', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}",,9,519,9.39097,"{'foreign_id': 8530, 'roll_size': '50', 'created_time': '11:33:55.229649', 'target_yard_cut_wt': '10.6', 'price': '1.10', 'modified': '2025-09-10 09:04:20.781456', 'id': 6358, 'active': 1, 'version': '2', 'created_date': '2025-09-05', 'act_yard_cut_wt': None, 'knit_style_base': 1089}",1.10,2025-09-10 09:05:28.493991,0,1,1,4.0,Required,9,,K2509027,Open,,200,,,,
34389,lbs,,2025-10-02,,1,,6621,52,,,,4000,2025-09-11,2025-09-09 16:53:00.772706,0,2025-09-09 16:53:00.772706,,,"{'base_style': 'CEE2838', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'foreign_id': 3694, 'active': 1, 'id': 2130}",,52,201,1.53623,"{'act_yard_cut_wt': '42.60', 'knit_style_base': 2130, 'active': 1, 'id': 6365, 'version': '1D', 'created_date': '2025-09-09', 'created_time': '16:14:46.574802', 'target_yard_cut_wt': '42.00', 'price': '1.25', 'modified': '2025-09-12 15:26:04.074752', 'foreign_id': 8538, 'roll_size': '250'}",1.25,2025-09-12 15:28:16.983884,0,19,1,,Required,52,,K2509026,Open,,4000,,,9106.0,45471
34369,lbs,758,2025-09-23,,1,248,6620,52,,,,3994,2025-09-09,2025-09-09 13:29:58.49298,1006,2025-09-09 13:29:58.49298,,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2840', 'active': 1, 'id': 2395, 'foreign_id': 4009}",,52,212,1.53724,"{'roll_size': '250', 'foreign_id': 8534, 'modified': '2025-09-09 13:36:57.161446', 'price': '1.25', 'target_yard_cut_wt': '39.60', 'created_time': '11:08:19.132651', 'created_date': '2025-09-09', 'version': '1P', 'active': 1, 'id': 6361, 'knit_style_base': 2395, 'act_yard_cut_wt': '40.80'}",1.25,2025-09-13 11:26:10.796564,0,19,1,,Required,52,,K2509025,Open,,5000,,,9103.0,
34366,lbs,666,2025-10-07,,1,442,6619,52,,,,13642,2025-09-09,2025-09-09 11:11:46.443514,1108,2025-09-09 11:11:46.443514,,,"{'foreign_id': 3841, 'id': 2257, 'active': 1, 'base_style': 'CEE3050', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,52,135,1.52919,"{'created_time': '14:14:12.407594', 'target_yard_cut_wt': '31.00', 'price': '1.25', 'modified': '2025-08-28 08:55:59.555743', 'foreign_id': 8516, 'roll_size': '250', 'act_yard_cut_wt': '31.70', 'knit_style_base': 2257, 'active': 1, 'id': 6346, 'version': '1D', 'created_date': '2025-08-27'}",1.25,2025-09-13 09:06:11.614211,0,19,1,,Required,52,,K2509024,Open,,14750,,,9102.0,
34343,lbs,,2025-09-12,,1,,6618,80,,,,50,2025-09-10,2025-09-08 13:16:20.294973,0,2025-09-08 13:16:20.294973,,,"{'foreign_id': 5487, 'id': 3529, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CV4811A'}",,80,15,2.22212,"{'act_yard_cut_wt': None, 'knit_style_base': 3529, 'active': 1, 'id': 6359, 'created_date': '2025-09-08', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '11:34:25.198091', 'modified': '2025-09-08 13:12:35.988836', 'price': '1.25', 'foreign_id': 8532, 'roll_size': '50'}",1.25,2025-09-08 13:24:55.302958,0,16,1,,Required,80,,K2509023,Open,,50,,,,45463
34335,lbs,,2025-09-26,,1,,6617,9,,,,500,2025-09-22,2025-09-06 11:01:39.576378,0,2025-09-06 11:01:39.576378,,,"{'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '1SM0824-60', 'id': 2982, 'active': 1, 'foreign_id': 4795}",,9,37,4.29878,"{'knit_style_base': 2982, 'act_yard_cut_wt': '26.04', 'version': '0', 'created_date': '2024-05-14', 'id': 5317, 'active': 1, 'price': '1.25', 'modified': '2025-02-11 13:53:19.809013', 'created_time': '13:46:46.971027', 'target_yard_cut_wt': '23.50', 'roll_size': '80', 'foreign_id': 7318}",1.25,2025-09-06 11:02:09.057392,0,1,1,3.0,Required,9,,K2509022,Open,,500,,,9094.0,
34334,lbs,,2025-09-26,,1,,6616,9,,,,1500,2025-09-15,2025-09-06 11:00:18.515454,0,2025-09-06 11:00:18.515454,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '661SM0781', 'foreign_id': 61, 'active': 1, 'id': 749}",,9,84,3.90837,"{'foreign_id': 61, 'roll_size': '100', 'target_yard_cut_wt': '23.50', 'created_time': '10:25:49.325466', 'modified': '2025-01-13 11:38:49.932044', 'price': '1.50', 'id': 1307, 'active': 1, 'created_date': '2018-03-26', 'version': '0', 'act_yard_cut_wt': '23.48', 'knit_style_base': 749}",1.50,2025-09-06 11:00:37.521606,0,1,1,3.0,Required,9,,K2509021,Open,,1500,,,9093.0,
34333,lbs,,2025-11-07,,1,,6615,9,,,,9900,2025-10-06,2025-09-06 10:58:39.482546,0,2025-09-06 10:58:39.482546,,,"{'foreign_id': 290, 'active': 1, 'id': 542, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '751SM0780'}",,9,88,3.3911,"{'created_date': '2018-06-22', 'version': '1', 'id': 1045, 'active': 1, 'knit_style_base': 542, 'act_yard_cut_wt': '28.36', 'roll_size': '125', 'foreign_id': 290, 'modified': '2023-11-29 22:58:58.768231', 'price': '1.25', 'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493'}",1.25,2025-09-13 11:54:19.655964,0,1,1,3.0,Required,9,,K2509020,Open,,9900,,,9092.0,
34332,lbs,,2025-10-17,,1,,6614,9,,,,1700,2025-09-29,2025-09-06 10:56:42.562156,0,2025-09-06 10:56:42.562156,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '721SM0627', 'foreign_id': 221, 'id': 691, 'active': 1}",,9,45,4.13447,"{'roll_size': '80', 'foreign_id': 2912, 'modified': '2024-02-22 08:45:10.369645', 'price': '0.60', 'target_yard_cut_wt': '24.5', 'created_time': '11:46:10.770839', 'created_date': '2020-08-25', 'version': '1', 'id': 1767, 'active': 1, 'knit_style_base': 691, 'act_yard_cut_wt': '29.04'}",0.60,2025-09-06 10:57:17.320269,0,1,1,3.0,Required,9,,K2509019,Open,,1700,,,9091.0,
34331,lbs,,2025-10-31,,1,,6613,9,,,,3400,2025-10-06,2025-09-06 10:55:24.987491,0,2025-09-06 10:55:24.987491,,,"{'foreign_id': 399, 'id': 657, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '721SM0470'}",,9,45,4.19,"{'target_yard_cut_wt': '27.00', 'created_time': '16:48:33.114705', 'modified': '2023-12-08 14:23:47.553408', 'price': '0.60', 'foreign_id': 389, 'roll_size': '80', 'act_yard_cut_wt': '25.98', 'knit_style_base': 657, 'active': 1, 'id': 1207, 'created_date': '2018-07-20', 'version': 'U'}",0.60,2025-09-06 10:55:52.969565,0,1,1,3.0,Required,9,,K2509018,Open,,3400,,,9090.0,
34330,lbs,,2025-10-13,,1,,6612,9,,,,1300,2025-09-29,2025-09-06 10:53:45.715029,0,2025-09-06 10:53:45.715029,,,"{'active': 1, 'id': 891, 'foreign_id': 1875, 'base_style': '701SM0824', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,9,45,4.29989,"{'price': '1.25', 'modified': '2025-09-02 13:46:58.952881', 'created_time': '09:54:48.123885', 'target_yard_cut_wt': '26.40', 'roll_size': '80', 'foreign_id': 2611, 'knit_style_base': 891, 'act_yard_cut_wt': '25.72', 'version': '0', 'created_date': '2020-05-08', 'active': 1, 'id': 1545}",1.25,2025-09-06 10:54:28.465274,0,1,1,3.0,Required,9,,K2509017,Open,,1300,,,9089.0,
34329,lbs,,2025-10-17,,1,,6611,9,,,,800,2025-09-29,2025-09-06 10:52:06.979902,0,2025-09-06 10:52:06.979902,,,"{'base_style': '641SM0693', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 218, 'active': 1, 'id': 693}",,9,37,4.3046,"{'roll_size': '80', 'foreign_id': 214, 'modified': '2024-02-22 08:40:28.19768', 'price': '0.50', 'target_yard_cut_wt': '22', 'created_time': '11:55:52.834119', 'created_date': '2018-05-31', 'version': '0', 'active': 1, 'id': 1245, 'knit_style_base': 693, 'act_yard_cut_wt': '24.38'}",0.50,2025-09-06 10:52:39.637087,0,1,1,3.0,Required,9,,K2509016,Open,,800,,,9088.0,
34328,lbs,,2025-11-07,,1,,6610,9,,,,3100,2025-09-29,2025-09-06 10:50:17.855538,0,2025-09-06 10:50:17.855538,,,"{'base_style': '601SM0654', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 505, 'foreign_id': 198}",,9,37,4.33042,"{'knit_style_base': 505, 'act_yard_cut_wt': '26.20', 'created_date': '2018-11-06', 'version': '2', 'active': 1, 'id': 996, 'modified': '2023-11-29 22:59:16.399766', 'price': '0.80', 'target_yard_cut_wt': '29.00', 'created_time': '14:51:33.186626', 'roll_size': '80', 'foreign_id': 844}",0.80,2025-09-06 10:51:11.111761,0,1,1,3.0,Required,9,,K2509015,Open,,3100,,,9087.0,
34327,lbs,,2025-11-07,,1,,6609,9,,,,1500,2025-09-29,2025-09-06 10:48:22.389714,0,2025-09-06 10:48:22.389714,,,"{'base_style': '601SM0312', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 211, 'foreign_id': 1064}",,9,37,4.24132,"{'active': 1, 'id': 1997, 'version': 'M2', 'created_date': '2021-02-04', 'act_yard_cut_wt': '30.38', 'knit_style_base': 211, 'foreign_id': 3301, 'roll_size': '100', 'created_time': '15:37:10.015726', 'target_yard_cut_wt': '32.80', 'price': '0.50', 'modified': '2025-02-07 09:00:11.655141'}",0.50,2025-09-06 10:49:02.176866,0,1,1,3.0,Required,9,,K2509014,Open,,1500,,,9086.0,
34326,lbs,,2025-11-07,,1,,6608,5,,,,11000,2025-09-24,2025-09-06 10:46:24.61912,0,2025-09-06 10:46:24.61912,,,"{'id': 422, 'active': 1, 'foreign_id': 644, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '1SM0470'}",,9,127,4.19,"{'act_yard_cut_wt': '22.58', 'knit_style_base': 422, 'active': 1, 'id': 860, 'created_date': '2018-10-03', 'version': '30G', 'target_yard_cut_wt': '19.70', 'created_time': '16:46:28.100415', 'modified': '2023-11-29 22:59:37.035053', 'price': '0.60', 'foreign_id': 692, 'roll_size': '100'}",0.60,2025-09-08 22:37:40.15819,0,1,1,3.0,Required,9,,K2509013,Open,,11000,,,9085.0,
34305,lbs,,2025-10-03,,1,,6607,52,,Serta,,1000,2025-09-08,2025-09-05 11:34:41.291269,0,2025-09-05 11:34:41.291269,,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4378A', 'id': 3003, 'active': 1, 'foreign_id': 4826}",,52,,1.7488,"{'version': '1L', 'created_date': '2025-04-22', 'active': 1, 'id': 6071, 'knit_style_base': 3003, 'act_yard_cut_wt': '22.10', 'roll_size': '250', 'foreign_id': 8183, 'price': '0.85', 'modified': '2025-04-30 09:40:24.735752', 'created_time': '16:28:28.004098', 'target_yard_cut_wt': '24.32'}",0.85,2025-09-05 11:36:02.096144,0,19,1,,,52,,K2509012,Open,,1000,,,9084.0,
