modified,knit_price,costing_exception_overridden,knit_version,machine,unit_cost_yarn,schedule_status,ship_to_processor,active,customer_service_rep,qty_ordered,status,ship_to,sched_enter_by,serial_number,split_from,bki,sched_done_by,purchase_order,related_dye_order_plan,job,updated_by,knitter,id,qty_shipped,requested_date,uom,qty_G00,quoted_date,knit_start,sched_enter_dt,qty_received,sched_done_dt,balance,instructions,seconds,created_by,close_dt,knit_style_base,internal_notes,created_date,note
2025-09-10 09:05:28.493991,1.10,0,"{'foreign_id': 8530, 'roll_size': '50', 'created_time': '11:33:55.229649', 'target_yard_cut_wt': '10.6', 'price': '1.10', 'modified': '2025-09-10 09:04:20.781456', 'id': 6358, 'active': 1, 'version': '2', 'created_date': '2025-09-05', 'act_yard_cut_wt': None, 'knit_style_base': 1089}",519,9.39097,Required,4.0,1,1,200,Open,,9,K2509027,,,,,,34394,9,1,6622,,2025-09-19,lbs,,,2025-09-11,2025-09-10 09:05:28.493991,0,,200,,,9,,"{'id': 1089, 'active': 1, 'foreign_id': 2261, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF1088N'}",,2025-09-10 09:05:28.493991,
2025-09-12 15:28:16.983884,1.25,0,"{'id': 6365, 'active': 1, 'version': '1D', 'created_date': '2025-09-09', 'act_yard_cut_wt': '42.60', 'knit_style_base': 2130, 'foreign_id': 8538, 'roll_size': '250', 'created_time': '16:14:46.574802', 'target_yard_cut_wt': '42.00', 'price': '1.25', 'modified': '2025-09-12 15:26:04.074752'}",201,1.53623,Required,,1,19,4000,Open,,52,K2509026,,45471,,,9106.0,34389,52,1,6621,,2025-10-02,lbs,,,2025-09-11,2025-09-09 16:53:00.772706,0,,4000,,,52,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2838', 'id': 2130, 'active': 1, 'foreign_id': 3694}",,2025-09-09 16:53:00.772706,
2025-09-12 17:36:18.526648,1.25,0,"{'roll_size': '250', 'foreign_id': 8534, 'modified': '2025-09-09 13:36:57.161446', 'price': '1.25', 'target_yard_cut_wt': '39.60', 'created_time': '11:08:19.132651', 'created_date': '2025-09-09', 'version': '1P', 'active': 1, 'id': 6361, 'knit_style_base': 2395, 'act_yard_cut_wt': '40.80'}",212,1.53724,Required,,1,19,5000,Open,,52,K2509025,,,,,9103.0,34369,52,1,6620,248,2025-09-23,lbs,505,,2025-09-09,2025-09-09 13:29:58.49298,753,,4247,,,52,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2840', 'id': 2395, 'active': 1, 'foreign_id': 4009}",,2025-09-09 13:29:58.49298,
2025-09-12 19:26:18.313341,1.25,0,"{'version': '1D', 'created_date': '2025-08-27', 'active': 1, 'id': 6346, 'knit_style_base': 2257, 'act_yard_cut_wt': '31.70', 'roll_size': '250', 'foreign_id': 8516, 'price': '1.25', 'modified': '2025-08-28 08:55:59.555743', 'created_time': '14:14:12.407594', 'target_yard_cut_wt': '31.00'}",135,1.52919,Required,,1,19,14750,Open,,52,K2509024,,,,,9102.0,34366,52,1,6619,442,2025-10-07,lbs,443,,2025-09-09,2025-09-09 11:11:46.443514,885,,13865,,,52,,"{'active': 1, 'id': 2257, 'foreign_id': 3841, 'base_style': 'CEE3050', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-09 11:11:46.443514,
2025-09-08 13:24:55.302958,1.25,0,"{'act_yard_cut_wt': None, 'knit_style_base': 3529, 'active': 1, 'id': 6359, 'created_date': '2025-09-08', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '11:34:25.198091', 'modified': '2025-09-08 13:12:35.988836', 'price': '1.25', 'foreign_id': 8532, 'roll_size': '50'}",15,2.22212,Required,,1,16,50,Open,,80,K2509023,,45463,,,,34343,80,1,6618,,2025-09-12,lbs,,,2025-09-10,2025-09-08 13:16:20.294973,0,,50,,,80,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CV4811A', 'foreign_id': 5487, 'active': 1, 'id': 3529}",,2025-09-08 13:16:20.294973,
2025-09-06 11:02:09.057392,1.25,0,"{'knit_style_base': 2982, 'act_yard_cut_wt': '26.04', 'created_date': '2024-05-14', 'version': '0', 'active': 1, 'id': 5317, 'modified': '2025-02-11 13:53:19.809013', 'price': '1.25', 'target_yard_cut_wt': '23.50', 'created_time': '13:46:46.971027', 'roll_size': '80', 'foreign_id': 7318}",37,4.29878,Required,3.0,1,1,500,Open,,9,K2509022,,,,,9094.0,34335,9,1,6617,,2025-09-26,lbs,,,2025-09-22,2025-09-06 11:01:39.576378,0,,500,,,9,,"{'id': 2982, 'active': 1, 'foreign_id': 4795, 'base_style': '1SM0824-60', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-06 11:01:39.576378,
2025-09-06 11:00:37.521606,1.50,0,"{'target_yard_cut_wt': '23.50', 'created_time': '10:25:49.325466', 'modified': '2025-01-13 11:38:49.932044', 'price': '1.50', 'foreign_id': 61, 'roll_size': '100', 'act_yard_cut_wt': '23.48', 'knit_style_base': 749, 'active': 1, 'id': 1307, 'created_date': '2018-03-26', 'version': '0'}",84,3.90837,Required,3.0,1,1,1500,Open,,9,K2509021,,,,,9093.0,34334,9,1,6616,,2025-09-26,lbs,,,2025-09-15,2025-09-06 11:00:18.515454,0,,1500,,,9,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '661SM0781', 'foreign_id': 61, 'active': 1, 'id': 749}",,2025-09-06 11:00:18.515454,
2025-09-06 10:59:03.51279,1.25,0,"{'roll_size': '125', 'foreign_id': 290, 'price': '1.25', 'modified': '2023-11-29 22:58:58.768231', 'created_time': '09:59:43.909493', 'target_yard_cut_wt': '29.00', 'version': '1', 'created_date': '2018-06-22', 'id': 1045, 'active': 1, 'knit_style_base': 542, 'act_yard_cut_wt': '28.36'}",45,3.3911,Required,3.0,1,1,9900,Open,,9,K2509020,,,,,9092.0,34333,9,1,6615,,2025-11-07,lbs,,,2025-10-06,2025-09-06 10:58:39.482546,0,,9900,,,9,,"{'id': 542, 'active': 1, 'foreign_id': 290, 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '751SM0780'}",,2025-09-06 10:58:39.482546,
2025-09-06 10:57:17.320269,0.60,0,"{'foreign_id': 2912, 'roll_size': '80', 'target_yard_cut_wt': '24.5', 'created_time': '11:46:10.770839', 'modified': '2024-02-22 08:45:10.369645', 'price': '0.60', 'id': 1767, 'active': 1, 'created_date': '2020-08-25', 'version': '1', 'act_yard_cut_wt': '29.04', 'knit_style_base': 691}",45,4.13447,Required,3.0,1,1,1700,Open,,9,K2509019,,,,,9091.0,34332,9,1,6614,,2025-10-17,lbs,,,2025-09-29,2025-09-06 10:56:42.562156,0,,1700,,,9,,"{'foreign_id': 221, 'id': 691, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '721SM0627'}",,2025-09-06 10:56:42.562156,
2025-09-06 10:55:52.969565,0.60,0,"{'id': 1207, 'active': 1, 'version': 'U', 'created_date': '2018-07-20', 'act_yard_cut_wt': '25.98', 'knit_style_base': 657, 'foreign_id': 389, 'roll_size': '80', 'created_time': '16:48:33.114705', 'target_yard_cut_wt': '27.00', 'price': '0.60', 'modified': '2023-12-08 14:23:47.553408'}",45,4.19,Required,3.0,1,1,3400,Open,,9,K2509018,,,,,9090.0,34331,9,1,6613,,2025-10-31,lbs,,,2025-10-06,2025-09-06 10:55:24.987491,0,,3400,,,9,,"{'base_style': '721SM0470', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 657, 'foreign_id': 399}",,2025-09-06 10:55:24.987491,
2025-09-06 10:54:28.465274,1.25,0,"{'foreign_id': 2611, 'roll_size': '80', 'created_time': '09:54:48.123885', 'target_yard_cut_wt': '26.40', 'price': '1.25', 'modified': '2025-09-02 13:46:58.952881', 'id': 1545, 'active': 1, 'version': '0', 'created_date': '2020-05-08', 'act_yard_cut_wt': '25.72', 'knit_style_base': 891}",45,4.29989,Required,3.0,1,1,1300,Open,,9,K2509017,,,,,9089.0,34330,9,1,6612,,2025-10-13,lbs,,,2025-09-29,2025-09-06 10:53:45.715029,0,,1300,,,9,,"{'id': 891, 'active': 1, 'foreign_id': 1875, 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '701SM0824'}",,2025-09-06 10:53:45.715029,
2025-09-06 10:52:39.637087,0.50,0,"{'price': '0.50', 'modified': '2024-02-22 08:40:28.19768', 'created_time': '11:55:52.834119', 'target_yard_cut_wt': '22', 'roll_size': '80', 'foreign_id': 214, 'knit_style_base': 693, 'act_yard_cut_wt': '24.38', 'version': '0', 'created_date': '2018-05-31', 'active': 1, 'id': 1245}",37,4.3046,Required,3.0,1,1,800,Open,,9,K2509016,,,,,9088.0,34329,9,1,6611,,2025-10-17,lbs,,,2025-09-29,2025-09-06 10:52:06.979902,0,,800,,,9,,"{'base_style': '641SM0693', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'foreign_id': 218, 'id': 693, 'active': 1}",,2025-09-06 10:52:06.979902,
2025-09-06 10:51:11.111761,0.80,0,"{'price': '0.80', 'modified': '2023-11-29 22:59:16.399766', 'created_time': '14:51:33.186626', 'target_yard_cut_wt': '29.00', 'roll_size': '80', 'foreign_id': 844, 'knit_style_base': 505, 'act_yard_cut_wt': '26.20', 'version': '2', 'created_date': '2018-11-06', 'active': 1, 'id': 996}",37,4.33042,Required,3.0,1,1,3100,Open,,9,K2509015,,,,,9087.0,34328,9,1,6610,,2025-11-07,lbs,,,2025-09-29,2025-09-06 10:50:17.855538,0,,3100,,,9,,"{'active': 1, 'id': 505, 'foreign_id': 198, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '601SM0654'}",,2025-09-06 10:50:17.855538,
2025-09-06 10:49:02.176866,0.50,0,"{'knit_style_base': 211, 'act_yard_cut_wt': '30.38', 'version': 'M2', 'created_date': '2021-02-04', 'active': 1, 'id': 1997, 'price': '0.50', 'modified': '2025-02-07 09:00:11.655141', 'created_time': '15:37:10.015726', 'target_yard_cut_wt': '32.80', 'roll_size': '100', 'foreign_id': 3301}",37,4.24132,Required,3.0,1,1,1500,Open,,9,K2509014,,,,,9086.0,34327,9,1,6609,,2025-11-07,lbs,,,2025-09-29,2025-09-06 10:48:22.389714,0,,1500,,,9,,"{'foreign_id': 1064, 'id': 211, 'active': 1, 'base_style': '601SM0312', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-06 10:48:22.389714,
2025-09-08 22:37:40.15819,0.60,0,"{'knit_style_base': 422, 'act_yard_cut_wt': '22.58', 'created_date': '2018-10-03', 'version': '30G', 'active': 1, 'id': 860, 'modified': '2023-11-29 22:59:37.035053', 'price': '0.60', 'target_yard_cut_wt': '19.70', 'created_time': '16:46:28.100415', 'roll_size': '100', 'foreign_id': 692}",127,4.19,Required,3.0,1,1,11000,Open,,9,K2509013,,,,,9085.0,34326,5,1,6608,,2025-11-07,lbs,,,2025-09-24,2025-09-06 10:46:24.61912,0,,11000,,,9,,"{'base_style': '1SM0470', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'foreign_id': 644, 'id': 422, 'active': 1}",,2025-09-06 10:46:24.61912,
2025-09-05 11:36:02.096144,0.85,0,"{'roll_size': '250', 'foreign_id': 8183, 'modified': '2025-04-30 09:40:24.735752', 'price': '0.85', 'target_yard_cut_wt': '24.32', 'created_time': '16:28:28.004098', 'created_date': '2025-04-22', 'version': '1L', 'id': 6071, 'active': 1, 'knit_style_base': 3003, 'act_yard_cut_wt': '22.10'}",,1.7488,,,1,19,1000,Open,,52,K2509012,,,,,9084.0,34305,52,1,6607,,2025-10-03,lbs,,,2025-09-08,2025-09-05 11:34:41.291269,0,,1000,Serta,,52,,"{'foreign_id': 4826, 'active': 1, 'id': 3003, 'base_style': 'C1B4378A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,2025-09-05 11:34:41.291269,
2025-09-12 18:46:08.909077,1.25,0,"{'roll_size': '250', 'foreign_id': 8529, 'price': '1.25', 'modified': '2025-09-05 16:17:30.780139', 'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'version': '1DE', 'created_date': '2025-09-05', 'active': 1, 'id': 6357, 'knit_style_base': 2131, 'act_yard_cut_wt': '41.82'}",211,1.5356,Required,,1,19,5000,Open,,52,K2509011,,,,,9083.0,34304,5,1,6606,769,2025-09-26,lbs,449.3,,2025-09-05,2025-09-05 10:07:33.075352,1218.3,,3781.7,,48.7,52,,"{'active': 1, 'id': 2131, 'foreign_id': 3695, 'base_style': 'CEE2839', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-05 10:07:33.075352,
2025-09-04 15:57:21.719595,1.00,0,"{'act_yard_cut_wt': '17.555', 'knit_style_base': 3528, 'id': 6354, 'active': 1, 'created_date': '2025-09-02', 'version': '0', 'target_yard_cut_wt': '17.5', 'created_time': '16:54:03.026868', 'modified': '2025-09-12 14:50:04.531069', 'price': '1.00', 'foreign_id': 8524, 'roll_size': '50'}",538,0.95,Required,,1,16,450,Open,,80,K2509010,,45452,,,9081.0,34295,80,1,6605,,2025-09-22,lbs,,,2025-09-11,2025-09-04 15:47:29.371355,0,,450,,,80,,"{'base_style': 'CT4808', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 5484, 'active': 1, 'id': 3528}",,2025-09-04 15:47:29.371355,
2025-09-08 22:48:26.458205,1.25,0,"{'act_yard_cut_wt': '28.36', 'knit_style_base': 542, 'id': 1045, 'active': 1, 'version': '1', 'created_date': '2018-06-22', 'created_time': '09:59:43.909493', 'target_yard_cut_wt': '29.00', 'price': '1.25', 'modified': '2023-11-29 22:58:58.768231', 'foreign_id': 290, 'roll_size': '125'}",100,3.3911,Required,3.0,1,1,5000,Open,,9,K2509009,,,,,9080.0,34287,5,1,6604,,2025-10-10,lbs,,,2025-09-15,2025-09-04 13:20:09.308775,0,,5000,,,9,,"{'foreign_id': 290, 'active': 1, 'id': 542, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '751SM0780'}",,2025-09-04 13:20:09.308775,
2025-09-12 10:36:09.680374,1.00,0,"{'roll_size': '40', 'foreign_id': 8525, 'modified': '2025-09-05 16:45:04.392268', 'price': '1.00', 'target_yard_cut_wt': '7.50', 'created_time': '09:45:52.30056', 'created_date': '2025-09-03', 'version': 'TUB1', 'active': 1, 'id': 6355, 'knit_style_base': 3410, 'act_yard_cut_wt': '7.835'}",542,4.59504,Required,4.0,1,1,4320,Open,,9,K2509008,,,,,9078.0,34285,9,1,6603,379.3,2025-10-03,lbs,27,,2025-09-05,2025-09-04 12:02:28.11132,389.8,,3930.2,,71.5,9,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5500', 'foreign_id': 5330, 'active': 1, 'id': 3410}",,2025-09-04 12:02:28.11132,
2025-09-11 18:01:12.663163,0.80,0,"{'target_yard_cut_wt': '11.00', 'created_time': '11:36:16.78898', 'modified': '2025-07-25 12:58:44.90066', 'price': '0.80', 'foreign_id': 8159, 'roll_size': '50', 'act_yard_cut_wt': '12.05', 'knit_style_base': 614, 'id': 6051, 'active': 1, 'created_date': '2025-04-08', 'version': 'BB'}",115,7.85144,Required,1.0,1,1,6400,Open,,9,K2509007,,,,,,34270,9,1,6602,12.1,2025-10-03,lbs,540.0,,2025-09-08,2025-09-03 12:58:02.982768,540.0,,5860,,12.1,9,,"{'id': 614, 'active': 1, 'foreign_id': 495, 'base_style': '71246', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-03 12:58:02.982768,
2025-09-08 22:09:12.40019,0.75,0,"{'target_yard_cut_wt': '8.75', 'created_time': '15:49:41.0976', 'modified': '2025-09-11 08:36:31.101736', 'price': '0.75', 'foreign_id': 7079, 'roll_size': '50', 'act_yard_cut_wt': '10.22', 'knit_style_base': 765, 'active': 1, 'id': 5107, 'created_date': '2024-01-31', 'version': 'B'}",44,7.35,Required,1.0,1,1,11200,Open,,9,K2509006,,,,,,34269,5,1,6601,,2025-11-28,lbs,,,2025-10-17,2025-09-03 12:57:00.755907,0,,11200,,,9,,"{'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'DFF446J', 'active': 1, 'id': 765, 'foreign_id': 716}",,2025-09-03 12:57:00.755907,
