knit_version,unit_cost_yarn,machine,knit_price,modified,costing_exception_overridden,active,ship_to_processor,customer_service_rep,schedule_status,split_from,serial_number,sched_enter_by,status,ship_to,qty_ordered,bki,related_dye_order_plan,sched_done_by,purchase_order,job,id,qty_shipped,knitter,quoted_date,qty_G00,uom,requested_date,updated_by,instructions,seconds,qty_received,knit_start,sched_enter_dt,balance,sched_done_dt,internal_notes,note,created_date,created_by,close_dt,knit_style_base
"{'act_yard_cut_wt': None, 'knit_style_base': 1089, 'id': 6358, 'active': 1, 'created_date': '2025-09-05', 'version': '2', 'target_yard_cut_wt': '10.6', 'created_time': '11:33:55.229649', 'modified': '2025-09-10 09:04:20.781456', 'price': '1.10', 'foreign_id': 8530, 'roll_size': '50'}",9.39097,519,1.10,2025-09-10 09:05:28.493991,0,1,4.0,1,Required,,K2509027,9,Open,,200,,,,,34394,6622,,1,,,lbs,2025-09-19,9,,,0,2025-09-11,2025-09-10 09:05:28.493991,200,,,,2025-09-10 09:05:28.493991,9,,"{'id': 1089, 'active': 1, 'foreign_id': 2261, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF1088N'}"
"{'version': '1D', 'created_date': '2025-09-09', 'active': 1, 'id': 6365, 'knit_style_base': 2130, 'act_yard_cut_wt': '42.60', 'roll_size': '250', 'foreign_id': 8538, 'price': '1.25', 'modified': '2025-09-12 15:26:04.074752', 'created_time': '16:14:46.574802', 'target_yard_cut_wt': '42.00'}",1.53623,201,1.25,2025-09-12 15:28:16.983884,0,1,,19,Required,,K2509026,52,Open,,4000,45471,9106.0,,,34389,6621,,1,,,lbs,2025-10-02,52,,,0,2025-09-11,2025-09-09 16:53:00.772706,4000,,,,2025-09-09 16:53:00.772706,52,,"{'base_style': 'CEE2838', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 3694, 'id': 2130, 'active': 1}"
"{'created_time': '11:08:19.132651', 'target_yard_cut_wt': '39.60', 'price': '1.25', 'modified': '2025-09-09 13:36:57.161446', 'foreign_id': 8534, 'roll_size': '250', 'act_yard_cut_wt': '40.80', 'knit_style_base': 2395, 'id': 6361, 'active': 1, 'version': '1P', 'created_date': '2025-09-09'}",1.53724,212,1.25,2025-09-12 17:36:18.526648,0,1,,19,Required,,K2509025,52,Open,,5000,,9103.0,,,34369,6620,248,1,,505,lbs,2025-09-23,52,,,753,2025-09-09,2025-09-09 13:29:58.49298,4247,,,,2025-09-09 13:29:58.49298,52,,"{'foreign_id': 4009, 'id': 2395, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CEE2840'}"
"{'active': 1, 'id': 6346, 'created_date': '2025-08-27', 'version': '1D', 'act_yard_cut_wt': '31.70', 'knit_style_base': 2257, 'foreign_id': 8516, 'roll_size': '250', 'target_yard_cut_wt': '31.00', 'created_time': '14:14:12.407594', 'modified': '2025-08-28 08:55:59.555743', 'price': '1.25'}",1.52919,135,1.25,2025-09-12 19:26:18.313341,0,1,,19,Required,,K2509024,52,Open,,14750,,9102.0,,,34366,6619,442,1,,443,lbs,2025-10-07,52,,,885,2025-09-09,2025-09-09 11:11:46.443514,13865,,,,2025-09-09 11:11:46.443514,52,,"{'foreign_id': 3841, 'id': 2257, 'active': 1, 'base_style': 'CEE3050', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}"
"{'created_time': '11:34:25.198091', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-08 13:12:35.988836', 'foreign_id': 8532, 'roll_size': '50', 'act_yard_cut_wt': None, 'knit_style_base': 3529, 'active': 1, 'id': 6359, 'version': '1', 'created_date': '2025-09-08'}",2.22212,15,1.25,2025-09-08 13:24:55.302958,0,1,,16,Required,,K2509023,80,Open,,50,45463,,,,34343,6618,,1,,,lbs,2025-09-12,80,,,0,2025-09-10,2025-09-08 13:16:20.294973,50,,,,2025-09-08 13:16:20.294973,80,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4811A', 'id': 3529, 'active': 1, 'foreign_id': 5487}"
"{'foreign_id': 7318, 'roll_size': '80', 'target_yard_cut_wt': '23.50', 'created_time': '13:46:46.971027', 'modified': '2025-02-11 13:53:19.809013', 'price': '1.25', 'id': 5317, 'active': 1, 'created_date': '2024-05-14', 'version': '0', 'act_yard_cut_wt': '26.04', 'knit_style_base': 2982}",4.29878,37,1.25,2025-09-06 11:02:09.057392,0,1,3.0,1,Required,,K2509022,9,Open,,500,,9094.0,,,34335,6617,,1,,,lbs,2025-09-26,9,,,0,2025-09-22,2025-09-06 11:01:39.576378,500,,,,2025-09-06 11:01:39.576378,9,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '1SM0824-60', 'foreign_id': 4795, 'id': 2982, 'active': 1}"
"{'price': '1.50', 'modified': '2025-01-13 11:38:49.932044', 'created_time': '10:25:49.325466', 'target_yard_cut_wt': '23.50', 'roll_size': '100', 'foreign_id': 61, 'knit_style_base': 749, 'act_yard_cut_wt': '23.48', 'version': '0', 'created_date': '2018-03-26', 'active': 1, 'id': 1307}",3.90837,84,1.50,2025-09-06 11:00:37.521606,0,1,3.0,1,Required,,K2509021,9,Open,,1500,,9093.0,,,34334,6616,,1,,,lbs,2025-09-26,9,,,0,2025-09-15,2025-09-06 11:00:18.515454,1500,,,,2025-09-06 11:00:18.515454,9,,"{'foreign_id': 61, 'active': 1, 'id': 749, 'base_style': '661SM0781', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None}"
"{'active': 1, 'id': 1045, 'created_date': '2018-06-22', 'version': '1', 'act_yard_cut_wt': '28.36', 'knit_style_base': 542, 'foreign_id': 290, 'roll_size': '125', 'target_yard_cut_wt': '29.00', 'created_time': '09:59:43.909493', 'modified': '2023-11-29 22:58:58.768231', 'price': '1.25'}",3.3911,45,1.25,2025-09-06 10:59:03.51279,0,1,3.0,1,Required,,K2509020,9,Open,,9900,,9092.0,,,34333,6615,,1,,,lbs,2025-11-07,9,,,0,2025-10-06,2025-09-06 10:58:39.482546,9900,,,,2025-09-06 10:58:39.482546,9,,"{'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '751SM0780', 'active': 1, 'id': 542, 'foreign_id': 290}"
"{'act_yard_cut_wt': '29.04', 'knit_style_base': 691, 'active': 1, 'id': 1767, 'created_date': '2020-08-25', 'version': '1', 'target_yard_cut_wt': '24.5', 'created_time': '11:46:10.770839', 'modified': '2024-02-22 08:45:10.369645', 'price': '0.60', 'foreign_id': 2912, 'roll_size': '80'}",4.13447,45,0.60,2025-09-06 10:57:17.320269,0,1,3.0,1,Required,,K2509019,9,Open,,1700,,9091.0,,,34332,6614,,1,,,lbs,2025-10-17,9,,,0,2025-09-29,2025-09-06 10:56:42.562156,1700,,,,2025-09-06 10:56:42.562156,9,,"{'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '721SM0627', 'active': 1, 'id': 691, 'foreign_id': 221}"
"{'target_yard_cut_wt': '27.00', 'created_time': '16:48:33.114705', 'modified': '2023-12-08 14:23:47.553408', 'price': '0.60', 'foreign_id': 389, 'roll_size': '80', 'act_yard_cut_wt': '25.98', 'knit_style_base': 657, 'id': 1207, 'active': 1, 'created_date': '2018-07-20', 'version': 'U'}",4.19,45,0.60,2025-09-06 10:55:52.969565,0,1,3.0,1,Required,,K2509018,9,Open,,3400,,9090.0,,,34331,6613,,1,,,lbs,2025-10-31,9,,,0,2025-10-06,2025-09-06 10:55:24.987491,3400,,,,2025-09-06 10:55:24.987491,9,,"{'foreign_id': 399, 'active': 1, 'id': 657, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '721SM0470'}"
"{'target_yard_cut_wt': '26.40', 'created_time': '09:54:48.123885', 'modified': '2025-09-02 13:46:58.952881', 'price': '1.25', 'foreign_id': 2611, 'roll_size': '80', 'act_yard_cut_wt': '25.72', 'knit_style_base': 891, 'id': 1545, 'active': 1, 'created_date': '2020-05-08', 'version': '0'}",4.29989,45,1.25,2025-09-06 10:54:28.465274,0,1,3.0,1,Required,,K2509017,9,Open,,1300,,9089.0,,,34330,6612,,1,,,lbs,2025-10-13,9,,,0,2025-09-29,2025-09-06 10:53:45.715029,1300,,,,2025-09-06 10:53:45.715029,9,,"{'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '701SM0824', 'active': 1, 'id': 891, 'foreign_id': 1875}"
"{'foreign_id': 214, 'roll_size': '80', 'target_yard_cut_wt': '22', 'created_time': '11:55:52.834119', 'modified': '2024-02-22 08:40:28.19768', 'price': '0.50', 'id': 1245, 'active': 1, 'created_date': '2018-05-31', 'version': '0', 'act_yard_cut_wt': '24.38', 'knit_style_base': 693}",4.3046,37,0.50,2025-09-06 10:52:39.637087,0,1,3.0,1,Required,,K2509016,9,Open,,800,,9088.0,,,34329,6611,,1,,,lbs,2025-10-17,9,,,0,2025-09-29,2025-09-06 10:52:06.979902,800,,,,2025-09-06 10:52:06.979902,9,,"{'foreign_id': 218, 'active': 1, 'id': 693, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '641SM0693'}"
"{'roll_size': '80', 'foreign_id': 844, 'price': '0.80', 'modified': '2023-11-29 22:59:16.399766', 'created_time': '14:51:33.186626', 'target_yard_cut_wt': '29.00', 'version': '2', 'created_date': '2018-11-06', 'id': 996, 'active': 1, 'knit_style_base': 505, 'act_yard_cut_wt': '26.20'}",4.33042,37,0.80,2025-09-06 10:51:11.111761,0,1,3.0,1,Required,,K2509015,9,Open,,3100,,9087.0,,,34328,6610,,1,,,lbs,2025-11-07,9,,,0,2025-09-29,2025-09-06 10:50:17.855538,3100,,,,2025-09-06 10:50:17.855538,9,,"{'base_style': '601SM0654', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 198, 'active': 1, 'id': 505}"
"{'roll_size': '100', 'foreign_id': 3301, 'modified': '2025-02-07 09:00:11.655141', 'price': '0.50', 'target_yard_cut_wt': '32.80', 'created_time': '15:37:10.015726', 'created_date': '2021-02-04', 'version': 'M2', 'id': 1997, 'active': 1, 'knit_style_base': 211, 'act_yard_cut_wt': '30.38'}",4.24132,37,0.50,2025-09-06 10:49:02.176866,0,1,3.0,1,Required,,K2509014,9,Open,,1500,,9086.0,,,34327,6609,,1,,,lbs,2025-11-07,9,,,0,2025-09-29,2025-09-06 10:48:22.389714,1500,,,,2025-09-06 10:48:22.389714,9,,"{'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '601SM0312', 'id': 211, 'active': 1, 'foreign_id': 1064}"
"{'target_yard_cut_wt': '19.70', 'created_time': '16:46:28.100415', 'modified': '2023-11-29 22:59:37.035053', 'price': '0.60', 'foreign_id': 692, 'roll_size': '100', 'act_yard_cut_wt': '22.58', 'knit_style_base': 422, 'id': 860, 'active': 1, 'created_date': '2018-10-03', 'version': '30G'}",4.19,127,0.60,2025-09-08 22:37:40.15819,0,1,3.0,1,Required,,K2509013,9,Open,,11000,,9085.0,,,34326,6608,,1,,,lbs,2025-11-07,5,,,0,2025-09-24,2025-09-06 10:46:24.61912,11000,,,,2025-09-06 10:46:24.61912,9,,"{'id': 422, 'active': 1, 'foreign_id': 644, 'base_style': '1SM0470', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}"
"{'foreign_id': 8183, 'roll_size': '250', 'target_yard_cut_wt': '24.32', 'created_time': '16:28:28.004098', 'modified': '2025-04-30 09:40:24.735752', 'price': '0.85', 'active': 1, 'id': 6071, 'created_date': '2025-04-22', 'version': '1L', 'act_yard_cut_wt': '22.10', 'knit_style_base': 3003}",1.7488,,0.85,2025-09-05 11:36:02.096144,0,1,,19,,,K2509012,52,Open,,1000,,9084.0,,,34305,6607,,1,,,lbs,2025-10-03,52,Serta,,0,2025-09-08,2025-09-05 11:34:41.291269,1000,,,,2025-09-05 11:34:41.291269,52,,"{'base_style': 'C1B4378A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3003, 'foreign_id': 4826}"
"{'act_yard_cut_wt': '41.82', 'knit_style_base': 2131, 'id': 6357, 'active': 1, 'created_date': '2025-09-05', 'version': '1DE', 'target_yard_cut_wt': '37.50', 'created_time': '10:23:58.924877', 'modified': '2025-09-05 16:17:30.780139', 'price': '1.25', 'foreign_id': 8529, 'roll_size': '250'}",1.5356,211,1.25,2025-09-12 18:46:08.909077,0,1,,19,Required,,K2509011,52,Open,,5000,,9083.0,,,34304,6606,769,1,,449.3,lbs,2025-09-26,5,,48.7,1218.3,2025-09-05,2025-09-05 10:07:33.075352,3781.7,,,,2025-09-05 10:07:33.075352,52,,"{'foreign_id': 3695, 'id': 2131, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CEE2839'}"
"{'id': 6354, 'active': 1, 'version': '0', 'created_date': '2025-09-02', 'act_yard_cut_wt': '17.555', 'knit_style_base': 3528, 'foreign_id': 8524, 'roll_size': '50', 'created_time': '16:54:03.026868', 'target_yard_cut_wt': '17.5', 'price': '1.00', 'modified': '2025-09-12 14:50:04.531069'}",0.95,538,1.00,2025-09-04 15:57:21.719595,0,1,,16,Required,,K2509010,80,Open,,450,45452,9081.0,,,34295,6605,,1,,,lbs,2025-09-22,80,,,0,2025-09-11,2025-09-04 15:47:29.371355,450,,,,2025-09-04 15:47:29.371355,80,,"{'base_style': 'CT4808', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3528, 'active': 1, 'foreign_id': 5484}"
"{'foreign_id': 290, 'roll_size': '125', 'created_time': '09:59:43.909493', 'target_yard_cut_wt': '29.00', 'price': '1.25', 'modified': '2023-11-29 22:58:58.768231', 'active': 1, 'id': 1045, 'version': '1', 'created_date': '2018-06-22', 'act_yard_cut_wt': '28.36', 'knit_style_base': 542}",3.3911,100,1.25,2025-09-08 22:48:26.458205,0,1,3.0,1,Required,,K2509009,9,Open,,5000,,9080.0,,,34287,6604,,1,,,lbs,2025-10-10,5,,,0,2025-09-15,2025-09-04 13:20:09.308775,5000,,,,2025-09-04 13:20:09.308775,9,,"{'base_style': '751SM0780', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 290, 'active': 1, 'id': 542}"
"{'act_yard_cut_wt': '7.835', 'knit_style_base': 3410, 'id': 6355, 'active': 1, 'version': 'TUB1', 'created_date': '2025-09-03', 'created_time': '09:45:52.30056', 'target_yard_cut_wt': '7.50', 'price': '1.00', 'modified': '2025-09-05 16:45:04.392268', 'foreign_id': 8525, 'roll_size': '40'}",4.59504,542,1.00,2025-09-12 10:36:09.680374,0,1,4.0,1,Required,,K2509008,9,Open,,4320,,9078.0,,,34285,6603,379.3,1,,27,lbs,2025-10-03,9,,71.5,389.8,2025-09-05,2025-09-04 12:02:28.11132,3930.2,,,,2025-09-04 12:02:28.11132,9,,"{'id': 3410, 'active': 1, 'foreign_id': 5330, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5500'}"
"{'foreign_id': 8159, 'roll_size': '50', 'created_time': '11:36:16.78898', 'target_yard_cut_wt': '11.00', 'price': '0.80', 'modified': '2025-07-25 12:58:44.90066', 'active': 1, 'id': 6051, 'version': 'BB', 'created_date': '2025-04-08', 'act_yard_cut_wt': '12.05', 'knit_style_base': 614}",7.85144,115,0.80,2025-09-11 18:01:12.663163,0,1,1.0,1,Required,,K2509007,9,Open,,6400,,,,,34270,6602,12.1,1,,540.0,lbs,2025-10-03,9,,12.1,540.0,2025-09-08,2025-09-03 12:58:02.982768,5860,,,,2025-09-03 12:58:02.982768,9,,"{'active': 1, 'id': 614, 'foreign_id': 495, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71246'}"
"{'id': 5107, 'active': 1, 'created_date': '2024-01-31', 'version': 'B', 'act_yard_cut_wt': '10.22', 'knit_style_base': 765, 'foreign_id': 7079, 'roll_size': '50', 'target_yard_cut_wt': '8.75', 'created_time': '15:49:41.0976', 'modified': '2025-09-11 08:36:31.101736', 'price': '0.75'}",7.35,44,0.75,2025-09-08 22:09:12.40019,0,1,1.0,1,Required,,K2509006,9,Open,,11200,,,,,34269,6601,,1,,,lbs,2025-11-28,5,,,0,2025-10-17,2025-09-03 12:57:00.755907,11200,,,,2025-09-03 12:57:00.755907,9,,"{'foreign_id': 716, 'id': 765, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': 'DFF446J'}"
