Desc#,QS Cust,Supplier,Description,Color,Beginning Balance,Received,Consumed,Adjustments,Theoretical Balance,Misc,On Order,Allocated,Planning Balance,Reconcile Date,Cost/Pound,Total Cost
10027,CFAB,UNIFI,2/150/34 100% Polyester SOLDY BLK SET W/ TACKS SATURA,SOLDY BLK,"7,025.20","14,864.20","-18,797.40",,"3,092.00",,"5,000.00","-9,359.24","-1,267.23",2025-06-27,$2.60 ,"$8,039.21 "
10082,CFAB,The LYCRA Company LLC,1/40 100% Lycra BRT 275B,BRT,113.30,,0.00,,113.30,,0.00,0.00,113.30,2025-06-27,$0.00 ,$0.00 
10136,CFAB,The LYCRA Company LLC,1/20 100% Lycra BRT Low Temp HS 562B,BRT,26.00,,0.00,,26.00,,0.00,0.00,26.00,2025-06-27,$15.77 ,$410.02 
10153,CFAB,UNIFI,2/150/34 100% Polyester WHEAT 1196F,WHEAT,"2,719.40","3,201.80","-2,718.42",,"3,202.78",,0.00,"-2,838.38",364.40,2025-06-27,$4.77 ,"$15,277.24 "
10154,CFAB,UNIFI,2/150/34 100% Polyester WHEAT 2122F,WHEAT,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
10159,CFAB,OMARA TEXTILES,1/145/34 100% Polyester BEIGEBREZ 590,BEIGEBREZ,344.00,,0.00,,344.00,,0.00,0.00,344.00,2025-06-27,$3.28 ,"$1,128.32 "
10402,CFAB,UNIFI,1/150/96 100% Polyester Natural T56NTS,Natural,"2,123.50",,0.00,,"2,123.50",,0.00,"-1,206.86",916.64,2025-06-27,$1.98 ,"$4,204.53 "
10541,CFAB,NORMTEX,1/150/48 100% Polyester Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
10680,CFAB,The LYCRA Company LLC,1/55 100% Lycra BRT 162B,BRT,"1,761.70",,0.00,,"1,761.70",,0.00,0.00,"1,761.70",2025-06-27,$6.59 ,"$11,609.60 "
10720,CFAB,UNIFI,1/2150/424 Polyester Heather AIRTEX,Heather,"1,080.70",,0.00,,"1,080.70",,0.00,0.00,"1,080.70",2025-06-27,$2.95 ,"$3,188.07 "
10742,CFAB,UNIFI,1/150/34 Polyester LTCUPRBEI 1%,LTCUPRBEI,"1,082.90",,0.00,,"1,082.90",CT,0.00,0.00,"1,082.90",2025-06-27,$7.88 ,"$8,533.25 "
10795,CFAB,UNIFI,1/1950/408 100% Polyester BEIGEHEAT,BEIGEHEAT,"4,863.80","7,752.90","-3,539.92",,"9,076.78",,0.00,"-3,735.52","5,341.27",2025-06-27,$3.90 ,"$35,399.46 "
10832,CFAB,UNIFI,1/200/48 100% Polyester Slate 2957K,Slate,381.00,,0.00,,381.00,,0.00,0.00,381.00,2025-06-27,$5.17 ,"$1,969.77 "
10906,CFAB,GILL,30/1 100% Bamboo Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
10947,CFAB,KC TEX INC,30/1 100% Combed Cotton Natural,Natural,32.00,,0.00,,32.00,,0.00,0.00,32.00,2025-06-27,$1.76 ,$56.32 
10995,CFAB,UNIFI,1/2150/408 100% Polyester SOLID BLK,SOLID BLK,410.30,787.20,"-1,679.45",,-481.95,,0.00,-22.98,-504.92,2025-06-27,$4.39 ,"($2,115.74)"
11001,CFAB,DILLON YARNS,18/1 100% Polyester Natural,Natural,520.00,,0.00,,520.00,,0.00,0.00,520.00,2025-06-27,$1.37 ,$712.40 
11103,CFAB,SHAK,1/56 Polyester Black MON003,Black,484.90,,0.00,,484.90,,0.00,0.00,484.90,2025-06-27,$16.64 ,"$8,068.74 "
11104,CFAB,CS AMERICA,1/75/72 100% Polyester NAT-B Grade SET,NAT-B Grade,126.20,,0.00,,126.20,CT,0.00,0.00,126.20,2025-06-27,$1.01 ,$127.46 
11147,CFAB,PREMIERE FIBERS INC,1/70/17 Nylon BRT,BRT,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
11171,CFAB,PREMIERE FIBERS INC,1/70/13 Nylon Flat,Flat,"6,047.60",,0.00,,"6,047.60",,0.00,0.00,"6,047.60",2025-06-27,$3.38 ,"$20,440.89 "
11237,CFAB,LURE,1/69/50 60/40 Lurex Silver,Silver,9.00,,-0.79,,8.21,,0.00,0.00,8.21,2025-06-27,$7.20 ,$59.10 
11241,CFAB,PREMIERE FIBERS INC,1/20/7 100% Nylon Semi Dull,Semi Dull,243.00,,0.00,,243.00,,0.00,0.00,243.00,2025-06-27,$4.00 ,$972.00 
11249,CFAB,KC TEX INC,24/1 100% Rayon Natural,Natural,305.00,,0.00,,305.00,,0.00,0.00,305.00,2025-06-27,$2.37 ,$722.85 
11266,CFAB,PHARR YARNS,26/1 100% Kevlar Black 1.5,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$25.00 ,$0.00 
11267,CFAB,KC TEX INC,20/1 100% Rayon Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
11291,CFAB,BCF,1/765/122 Nylon BRT,BRT,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$1.15 ,$0.00 
11296,CFAB,USAM,1/150/48 100% Polyester LT GREY,LT GREY,85.00,,0.00,,85.00,,0.00,0.00,85.00,2025-06-27,$2.41 ,$204.85 
11299,CFAB,USAM,1/150/48 Polyester LILAC,LILAC,269.00,,0.00,,269.00,,0.00,0.00,269.00,2025-06-27,$2.41 ,$648.29 
11317,CFAB,DECA GLOBAL,2/300/96 100% Polyester Semi Dull SIM(slight intermingle)SH(single heater)Nodes per meter - less than 35 - BWS 15%+  STRTS,Semi Dull,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$0.92 ,$0.00 
11344,CFAB,UNIFI,2/70/68 100% Nylon FD T66STR,FD,"1,836.40",,0.00,,"1,836.40",CT,0.00,0.00,"1,836.40",2025-06-27,$4.58 ,"$8,410.71 "
11353,CFAB,FILSPEC Yarns,30/1 100% Coolmax Natural T729W,Natural,578.00,,0.00,,578.00,,0.00,0.00,578.00,2025-06-27,$5.70 ,"$3,294.60 "
11377,CFAB,UNIFI,1/150/48 Polyester Natural ZTW UV,Natural,467.90,,0.00,,467.90,,0.00,0.00,467.90,2025-06-27,$2.10 ,$982.59 
11386,CFAB,ESLO,1/30/1 100% Polyester Semi Dull,Semi Dull,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$2.25 ,$0.00 
11399,CFAB,BURLINGTON MANUFACTURING SERVICE,30/1 Karded Cotton LTLINENVD 890140,LTLINENVD,234.00,,0.00,,234.00,,0.00,0.00,234.00,2025-06-27,$4.73 ,"$1,106.82 "
11409,CFAB,TOPL,1/20/12 100% Polyester Semi Dull,Semi Dull,165.00,,0.00,,165.00,,0.00,-1.47,163.53,2025-06-27,$2.12 ,$349.80 
11419,CFAB,LURE,1/69/50 60/40 Lurex IRIS 130,IRIS,24.00,,0.00,,24.00,,0.00,0.00,24.00,2025-06-27,$14.95 ,$358.80 
11427,CFAB,OMARA TEXTILES,1/145/34 100% Polyester Almond H75,Almond,319.00,,-106.54,,212.46,,0.00,-31.50,180.97,2025-06-27,$3.75 ,$796.74 
11429,CFAB,OMARA TEXTILES,1/150/36 100% Polyester Blu Light U324,Blu Light,"1,047.00",,0.00,,"1,047.00",CT,0.00,0.00,"1,047.00",2025-06-27,$3.70 ,"$3,873.90 "
11440,CFAB,The LYCRA Company LLC,1/54 Lycra BRT 275B,BRT,713.00,,0.00,,713.00,,0.00,0.00,713.00,2025-06-27,$6.59 ,"$4,698.67 "
11461,CFAB,SPDY,1/150/34 100% Polyester PALEGREEN 11247,PALEGREEN,731.00,,0.00,,731.00,CT,0.00,0.00,731.00,2025-06-27,$2.70 ,"$1,973.70 "
11505,CFAB,UNIFI,1/2000/408 100% Polyester BLK/BRN SATUR,BLK/BRN,506.10,,-337.05,,169.05,,0.00,-99.65,69.40,2025-06-27,$4.03 ,$681.26 
11516,CFAB,BURLINGTON MANUFACTURING SERVICE,1/150/34 100% Polyester BLUE SEAL 242240,BLUE SEAL,935.10,,0.00,,935.10,,0.00,0.00,935.10,2025-06-27,$3.00 ,"$2,805.30 "
11532,CFAB,UNIFI,1/70/88 Coolmax Semi Dull T694,Semi Dull,131.00,,0.00,,131.00,,0.00,0.00,131.00,2025-06-27,$4.21 ,$551.51 
11536,CFAB,BURLINGTON MANUFACTURING SERVICE,1/150/34 100% Polyester ROBINSEGG 340320,ROBINSEGG,357.70,,-9.47,,348.23,CT,0.00,-6.94,341.29,2025-06-27,$1.92 ,$668.60 
11537,CFAB,BURLINGTON MANUFACTURING SERVICE,1/150/34 100% Polyester SIENNA 842460,SIENNA,"1,201.40",,0.00,,"1,201.40",,0.00,0.00,"1,201.40",2025-06-27,$2.96 ,"$3,556.14 "
11570,CFAB,OMARA TEXTILES,1/150/36 100% Polyester SANDAL U249,SANDAL,767.00,,0.00,,767.00,,0.00,0.00,767.00,2025-06-27,$3.60 ,"$2,761.20 "
11622,CFAB,GILL,36/1 Combed Cotton Natural ORGANC,Natural,77.00,,0.00,,77.00,,0.00,0.00,77.00,2025-06-27,$1.88 ,$144.76 
11626,CFAB,FILSPEC Yarns,24/1 90/10 Rayon/Cashmere Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
11631,CFAB,UNIFI,2/150/34 Polyester Red 3490L,Red,77.00,,0.00,,77.00,,0.00,0.00,77.00,2025-06-27,$3.22 ,$247.94 
11648,CFAB,SAPONA,1/40/34 100% Nylon Semi Dull STR,Semi Dull,132.00,,-5.39,,126.61,,0.00,-4.80,121.81,2025-06-27,$4.40 ,$557.10 
11689,CFAB,BURLINGTON MANUFACTURING SERVICE,1/150/34 100% Polyester MOCHA 842560,MOCHA,66.00,,0.00,,66.00,,0.00,0.00,66.00,2025-06-27,$3.05 ,$201.30 
11697,CFAB,MCMICHAELS MILL INC (SAPONA),1/110/34 24/76 Spandex/Polyester Natural 1/70 AE 1/70,Natural,38.00,,0.00,,38.00,,0.00,0.00,38.00,2025-06-27,$4.29 ,$163.02 
11707,CFAB,NASP,1/150/36 100% Polyester LT LINEN Z971,LT LINEN,"3,169.80",,0.00,,"3,169.80",,0.00,0.00,"3,169.80",2025-06-27,$2.77 ,"$8,780.35 "
11711,CFAB,KURARAY AMERICA INC,1/200/40 VECT Gold T150C,Gold,149.00,,0.00,,149.00,,0.00,0.00,149.00,2025-06-27,$32.99 ,"$4,915.51 "
11712,CFAB,KURARAY AMERICA INC,1/400/80 100% VECT PALE GOLD T150,PALE GOLD,51.00,,0.00,,51.00,,0.00,0.00,51.00,2025-06-27,$53.20 ,"$2,713.20 "
11734,CFAB,MCMICHAELS MILL INC (SAPONA),1/92/34 15/85 Spandex/Polyester Natural 1/40 AE 1/70,Natural,836.00,,0.00,,836.00,,0.00,0.00,836.00,2025-06-27,$3.74 ,"$3,126.64 "
11759,CFAB,UNIFI,1/150/34 100% Polyester Natural SETNTS,Natural,"2,965.90",,-30.17,,"2,935.73",,0.00,0.00,"2,935.73",2025-06-27,$1.23 ,"$3,610.95 "
11764,CFAB,OMARA TEXTILES,1/150/68 100% Polyester Burgundy J309,Burgundy,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$1.50 ,$0.00 
11783,CFAB,TEXF,4/70/68 100% Nylon Natural TCFSTR,Natural,"1,542.10",,0.00,,"1,542.10",,0.00,0.00,"1,542.10",2025-06-27,$2.45 ,"$3,778.15 "
11790,CFAB,NASP,1/150/36 Polyester FOAMGREN B364,FOAMGREN,979.80,,0.00,,979.80,,0.00,0.00,979.80,2025-06-27,$2.55 ,"$2,498.49 "
11798,CFAB,OMAR,1/150/36 Polyester Buff U404,Buff,32.00,,0.00,,32.00,CT,0.00,0.00,32.00,2025-06-27,$3.45 ,$110.40 
11803,CFAB,BUHLER QUALITY YARNS CORP,40/1 Combed Cotton Natural Z TW,Natural,97.00,,0.00,,97.00,,0.00,0.00,97.00,2025-06-27,$3.45 ,$334.65 
11810,CFAB,OMARA TEXTILES,1/150/34 100% Polyester LINEN J968,LINEN,153.00,,0.00,,153.00,,0.00,0.00,153.00,2025-06-27,$3.28 ,$501.84 
11811,CFAB,MULT,1/69/50 Lurex BRONZE 902,BRONZE,43.00,,0.00,,43.00,,0.00,0.00,43.00,2025-06-27,$0.00 ,$0.00 
11812,CFAB,MULT,1/69/50 Lurex Black P-859,Black,42.00,,0.00,,42.00,,0.00,0.00,42.00,2025-06-27,$12.25 ,$514.50 
11815,CFAB,BUHLER QUALITY YARNS CORP,18/1 Modal Natural Z TW,Natural,152.00,,0.00,,152.00,,0.00,0.00,152.00,2025-06-27,$3.10 ,$471.20 
11833,CFAB,NASP,1/150/36 100% Polyester APPLE GRN V925,APPLE GRN,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
11882,CFAB,NASP,1/150/36 100% Polyester Navy L585,Navy,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
11883,CFAB,NASP,1/150/36 100% Polyester LAVENDER L013,LAVENDER,444.30,,0.00,,444.30,,0.00,0.00,444.30,2025-06-27,$2.78 ,"$1,235.15 "
11885,CFAB,NASP,1/150/36 Polyester SALSA L057,SALSA,186.00,,0.00,,186.00,,0.00,0.00,186.00,2025-06-27,$2.80 ,$520.80 
11896,CFAB,UNIFI,1/750/192 100% Polyester BLK SATUR 56BXUV,BLK SATUR,969.90,"25,075.10","-15,424.52",,"10,620.48",,"12,000.00","-7,471.16","15,149.32",2025-06-27,$4.19 ,"$44,499.81 "
11900,CFAB,NASP,1/150/36 100% Polyester Tan L122,Tan,384.00,,0.00,,384.00,,0.00,0.00,384.00,2025-06-27,$2.78 ,"$1,067.52 "
11901,CFAB,NASP,1/150/36 Polyester REFLECTIO V928,REFLECTIO,193.00,,0.00,,193.00,,0.00,0.00,193.00,2025-06-27,$2.45 ,$472.85 
11902,CFAB,NASP,1/150/36 100% Polyester DK BROWN L583,DK BROWN,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
11912,CFAB,OMARA TEXTILES,1/150/34 Polyester NEWCARAML A259,NEWCARAML,387.00,,0.00,,387.00,,0.00,0.00,387.00,2025-06-27,$3.20 ,"$1,238.40 "
11913,CFAB,OMARA TEXTILES,1/150/34 100% Polyester Sandstone A352,Sandstone,28.00,,0.00,,28.00,,0.00,0.00,28.00,2025-06-27,$3.50 ,$98.00 
11920,CFAB,NASP,1/150/36 100% Polyester FUCHSIA M828,FUCHSIA,140.00,,0.00,,140.00,,0.00,0.00,140.00,2025-06-27,$2.80 ,$392.00 
11921,CFAB,NASP,1/150/36 100% Polyester Shamrock L771,Shamrock,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$2.70 ,$0.00 
11927,CFAB,UNIFI,2/300/68 100% Polyester Natural Non-Compliant STRTS,Natural,"11,353.70",,0.00,,"11,353.70",CT,0.00,0.00,"11,353.70",2025-06-27,$1.14 ,"$12,943.22 "
11937,CFAB,OMARA TEXTILES,1/145/34 100% Polyester Brown J360,Brown,514.00,,0.00,,514.00,,0.00,0.00,514.00,2025-06-27,$2.63 ,"$1,351.82 "
11942,CFAB,AMES (Do not Use),1/167/46 Polyester RAGGIO STRLIT,RAGGIO,577.00,,0.00,,577.00,CT,0.00,0.00,577.00,2025-06-27,$3.63 ,"$2,094.51 "
11945,CFAB,NASP,1/150/36 100% Polyester Pewter L470,Pewter,175.00,,0.00,,175.00,,0.00,0.00,175.00,2025-06-27,$2.80 ,$490.00 
11956,CFAB,OMARA TEXTILES,1/150/36 100% Polyester KONICA U386,KONICA,60.00,,0.00,,60.00,,0.00,0.00,60.00,2025-06-27,$3.53 ,$211.80 
11967,CFAB,OMARA TEXTILES,1/150/34 100% Polyester Merrimack A368,Merrimack,674.00,,0.00,,674.00,,885.00,0.00,"1,559.00",2025-06-27,$3.70 ,"$2,493.80 "
11971,CFAB,BELM,1/150/46 100% Polyester PERLA,PERLA,722.50,,0.00,,722.50,,0.00,0.00,722.50,2025-06-27,$3.03 ,"$2,189.18 "
11976,CFAB,SPUNLAB,11/1 Modacrylic/Glass Natural F12,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$4.14 ,$0.00 
11988,CFAB,OMARA TEXTILES,2/150/34 100% Polyester Black M706,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$1.65 ,$0.00 
11999,CFAB,UNIFI,1/150/34 100% Polyester CAFEAULAT 9430L,CAFEAULAT,"50,149.80",,-143.82,,"50,005.98",CT,0.00,-311.99,"49,693.99",2025-06-27,$3.91 ,"$195,523.37 "
12032,CFAB,UNIFI,1/750/192 Polyester Black 56BXUV,Black,124.60,,0.00,,124.60,,0.00,0.00,124.60,2025-06-27,$4.24 ,$528.30 
12038,CFAB,NASP,1/150/36 100% Polyester SILVRGREY V930,SILVRGREY,333.80,,0.00,,333.80,,0.00,0.00,333.80,2025-06-27,$2.71 ,$904.60 
12047,CFAB,OMARA TEXTILES,1/150/36 100%L44 Polyester Silver FLTBRT,Silver,943.80,"1,422.00",-804.07,,"1,561.73",,"1,578.00","-1,351.00","1,788.73",2025-06-27,$3.33 ,"$5,200.55 "
12060,CFAB,GILL,20/1 100% Rayon Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12066,CFAB,NOBLE BIOMATERIALS INC,1/70/34 100% Nylon Silver XSTATI,Silver,10.00,,0.00,,10.00,,0.00,-0.96,9.04,2025-06-27,$247.85 ,"$2,478.50 "
12078,CFAB,NASP,1/150/36 100% Polyester Paris Blue V931,Paris Blue,194.10,,-2.34,,191.76,,0.00,0.00,191.76,2025-06-27,$2.85 ,$546.53 
12081,CFAB,COMTRADE,20/1 100% Polyester Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12095,CFAB,PATRICK YARNS,8/1 55/35/10 Modacrylic/Karded Cotton/Blk Karded Cotton Grey F13BLK OE,Grey,350.00,,0.00,,350.00,,0.00,0.00,350.00,2025-06-27,$4.84 ,"$1,694.00 "
12111,CFAB,NASP,1/14 100% Wool Natural 14.5,Natural,723.90,,0.00,,723.90,,0.00,0.00,723.90,2025-06-27,$4.10 ,"$2,967.99 "
12116,CFAB,UNIFI,1/150/36 100% Polyester GRASLANDS 0831M,GRASLANDS,223.90,,0.00,,223.90,CT,0.00,0.00,223.90,2025-06-27,$2.83 ,$633.64 
12127,CFAB,PATRICK YARNS,10/1 Modacrylic/Karded Cotton/Blk Karded Cotton Grey BLK,Grey,25.00,,0.00,,25.00,,0.00,0.00,25.00,2025-06-27,$4.53 ,$113.25 
12134,CFAB,OMARA TEXTILES,1/145/34 Polyester CARMELTAN 662,CARMELTAN,256.00,,0.00,,256.00,CT,0.00,0.00,256.00,2025-06-27,$3.20 ,$819.20 
12145,CFAB,BEAL MANUFACTURING INC,21/1 Modacrylic/Fiberglass Natural F12,Natural,74.00,,0.00,,74.00,,0.00,0.00,74.00,2025-06-27,$5.37 ,$397.38 
12150,CFAB,UNIFI,1/70/34 100% Polyester Black SATURA,Black,"4,414.00",,-962.73,,"3,451.27",,0.00,0.00,"3,451.27",2025-06-27,$3.01 ,"$10,388.33 "
12155,CFAB,OMARA TEXTILES,1/150/36 100% Polyester BLK BRT L45FLT,BLK BRT,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12162,CFAB,PROMPTEX YARNS INC,60/1 100% Combed Cotton Natural RS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12175,CFAB,BROD,20/1 100% Rayon Natural VISCOS,Natural,192.00,,0.00,,192.00,,0.00,0.00,192.00,2025-06-27,$1.60 ,$307.20 
12176,CFAB,BROD,24/1 100% Rayon Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12189,CFAB,PARKDALE YARN MILLS,40/1 100% Combed Cotton Natural RS,Natural,185.00,,0.00,,185.00,,0.00,0.00,185.00,2025-06-27,$2.62 ,$484.70 
12190,CFAB,PARKDALE YARN MILLS,36/1 Combed Cotton Natural,Natural,30.00,,0.00,,30.00,,0.00,0.00,30.00,2025-06-27,$4.12 ,$123.60 
12198,CFAB,UNIFI,1/150/34 Polyester ROMA GOLD 2601M,ROMA GOLD,729.00,,0.00,,729.00,,0.00,0.00,729.00,2025-06-27,$2.83 ,"$2,063.07 "
12204,CFAB,KC TEX INC,30/1 100% Polyester Natural OB,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12205,CFAB,KC TEX INC,20/1 100% Polyester Natural,Natural,160.00,,0.00,,160.00,CT,0.00,0.00,160.00,2025-06-27,$1.53 ,$244.80 
12216,CFAB,UNIFI,1/150/34 100% Polyester BEACHGLAS 2266M,BEACHGLAS,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$2.71 ,$0.00 
12224,CFAB,UNIFI,1/70/36 100% Polyester Natural STRTS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12237,CFAB,BUHLER QUALITY YARNS CORP,40/1 100% Tencel Natural MICRO,Natural,62.00,,0.00,,62.00,,0.00,0.00,62.00,2025-06-27,$4.60 ,$285.20 
12243,CFAB,The LYCRA Company LLC,1/20 100% Lycra BRT 162B,BRT,"1,368.20",,-45.53,,"1,322.67",,0.00,-44.12,"1,278.55",2025-06-27,$8.47 ,"$11,203.04 "
12252,CFAB,PROMPTEX YARNS INC,40/1 100% Combed Cotton Natural,Natural,58.00,,0.00,,58.00,,0.00,0.00,58.00,2025-06-27,$3.80 ,$220.40 
12269,CFAB,BURLINGTON MANUFACTURING SERVICE,1/150/34 Polyester BRTLAVEND 741760,BRTLAVEND,257.40,,0.00,,257.40,,0.00,0.00,257.40,2025-06-27,$3.12 ,$803.09 
12280,CFAB,OMAR,1/150/36 100% Polyester Yellow U259,Yellow,405.00,,0.00,,405.00,,0.00,0.00,405.00,2025-06-27,$3.45 ,"$1,397.25 "
12306,CFAB,NASP,1/150/36 100% Polyester Copper 407J,Copper,542.30,,0.00,,542.30,,0.00,0.00,542.30,2025-06-27,$2.71 ,"$1,469.63 "
12308,CFAB,NASP,1/150/36 Polyester SEA SAND 015K,SEA SAND,548.90,,0.00,,548.90,,0.00,0.00,548.90,2025-06-27,$2.85 ,"$1,564.37 "
